user_id,true_avg_rating,pred_avg_rating,n_rows
0,4.8,3.78,5
1,4.4,3.78,5
2,4.0,3.78,5
3,5.0,3.96,5
4,5.0,3.78,5
5,3.6,3.78,5
6,4.0,3.78,5
7,4.0,3.78,5
8,2.2,3.78,5
9,3.2,3.78,5
10,3.4,3.74,5
11,3.8,3.78,5
12,5.0,3.81,5
13,3.0,3.39,5
14,5.0,3.78,5
15,2.4,3.78,5
16,4.0,3.78,5
17,4.2,3.9,5
18,3.6,3.78,5
19,5.0,3.78,5
20,4.2,3.78,5
21,4.0,3.95,5
22,3.6,3.78,5
23,2.6,3.58,5
24,2.8,3.43,5
25,3.4,3.38,5
26,4.6,3.84,5
27,2.0,3.78,5
28,3.6,3.78,5
29,4.0,3.78,5
30,3.8,3.78,5
31,4.6,3.84,5
32,4.0,3.79,5
33,5.0,3.78,5
34,4.0,3.78,5
35,2.0,3.78,5
36,4.0,3.87,5
37,2.8,2.64,5
38,3.6,3.54,5
39,2.8,3.78,5
40,1.8,3.48,5
41,4.8,4.29,5
42,3.2,3.8,5
43,4.8,4.29,5
44,3.8,3.46,5
45,3.8,3.8,5
46,5.0,3.78,5
47,4.4,3.78,5
48,3.6,3.72,5
49,3.4,3.78,5
50,4.2,3.78,5
51,4.0,4.08,5
52,1.6,3.78,5
53,5.0,3.78,5
54,4.4,3.78,5
55,5.0,3.78,5
56,4.0,3.78,5
57,3.8,3.78,5
58,2.6,3.78,5
59,4.0,3.78,5
60,3.6,3.78,5
61,5.0,4.06,5
62,2.8,3.78,5
63,5.0,3.78,4
64,4.25,3.78,4
65,4.0,3.78,4
66,4.0,3.86,4
67,3.5,3.78,4
68,3.6,3.68,5
69,4.2,3.78,5
70,4.4,3.78,5
71,4.2,3.86,5
72,4.6,4.0,5
73,4.2,3.78,5
74,2.6,3.78,5
75,4.2,3.84,5
76,2.0,3.78,1
77,3.0,3.78,1
78,4.0,3.78,1
79,4.0,4.07,1
