user_id,true_avg_rating,pred_avg_rating,n_rows
0,4.8,4.12,5
1,4.4,3.98,5
2,4.0,3.64,5
3,5.0,4.32,5
4,5.0,4.26,5
5,3.6,3.6,5
6,4.0,3.83,5
7,4.0,3.78,5
8,2.2,2.84,5
9,3.2,3.61,5
10,3.4,3.36,5
11,3.8,3.53,5
12,5.0,4.19,5
13,3.0,3.39,5
14,5.0,4.35,5
15,2.4,3.03,5
16,4.0,4.06,5
17,4.2,3.61,5
18,3.6,3.81,5
19,5.0,4.57,5
20,4.2,3.98,5
21,4.0,3.84,5
22,3.6,3.76,5
23,2.6,2.77,5
24,2.8,3.06,5
25,3.4,3.82,5
26,4.6,4.13,5
27,2.0,2.61,5
28,3.6,3.69,5
29,4.0,3.94,5
30,3.8,3.61,5
31,4.6,4.18,5
32,4.0,3.72,5
33,5.0,4.56,5
34,4.0,3.79,5
35,2.0,2.94,5
36,4.0,4.0,5
37,2.8,2.99,5
38,3.6,3.61,5
39,2.8,3.44,5
40,1.8,2.69,5
41,4.8,3.82,5
42,3.2,3.46,5
43,4.8,4.46,5
44,3.8,3.77,5
45,3.8,3.81,5
46,5.0,4.07,5
47,4.4,4.17,5
48,3.6,3.47,5
49,3.4,3.83,5
50,4.2,4.06,5
51,4.0,3.96,5
52,1.6,2.67,5
53,5.0,4.7,5
54,4.4,4.19,5
55,5.0,4.46,5
56,4.0,3.62,5
57,3.8,3.51,5
58,2.6,2.86,5
59,4.0,4.07,5
60,3.6,3.75,5
61,5.0,4.52,5
62,2.8,3.05,5
63,5.0,4.27,4
64,4.25,4.17,4
65,4.0,3.76,4
66,4.0,3.54,4
67,3.5,3.55,4
68,3.6,3.6,5
69,4.2,4.0,5
70,4.4,4.11,5
71,4.2,4.07,5
72,4.6,4.19,5
73,4.2,4.09,5
74,2.6,3.15,5
75,4.2,4.03,5
76,2.0,3.06,1
77,3.0,3.99,1
78,4.0,3.5,1
79,4.0,4.77,1
