user_id,true_avg,pred_avg,n_rows
0,4.8,4.28,5
1,4.4,4.0,5
2,4.0,3.87,5
3,5.0,4.4,5
4,5.0,4.52,5
5,3.6,3.57,5
6,4.0,3.66,5
7,4.0,3.77,5
8,2.2,2.62,5
9,3.2,3.28,5
10,3.4,3.68,5
11,3.8,3.74,5
12,5.0,4.46,5
13,3.0,3.47,5
14,5.0,4.46,5
15,2.4,3.25,5
16,4.0,3.85,5
17,4.2,3.93,5
18,3.6,3.63,5
19,5.0,4.4,5
20,4.2,3.97,5
21,4.0,4.23,5
22,3.6,3.97,5
23,2.6,2.66,5
24,2.8,3.01,5
25,3.4,3.73,5
26,4.6,4.01,5
27,2.0,2.63,5
28,3.6,3.68,5
29,4.0,3.96,5
30,3.8,3.82,5
31,4.6,4.16,5
32,4.0,3.95,5
33,5.0,4.46,5
34,4.0,3.82,5
35,2.0,2.92,5
36,4.0,3.97,5
37,2.8,2.74,5
38,3.6,3.69,5
39,2.8,3.1,5
40,1.8,2.45,5
41,4.8,4.15,5
42,3.2,3.61,5
43,4.8,4.74,5
44,3.8,3.87,5
45,3.8,3.63,5
46,5.0,4.0,5
47,4.4,4.33,5
48,3.6,3.57,5
49,3.4,3.48,5
50,4.2,4.08,5
51,4.0,3.73,5
52,1.6,2.46,5
53,5.0,4.73,5
54,4.4,4.29,5
55,5.0,4.64,5
56,4.0,3.72,5
57,3.8,3.74,5
58,2.6,3.0,5
59,4.0,4.0,5
60,3.6,3.65,5
61,5.0,4.49,5
62,2.8,3.02,5
63,5.0,4.26,4
64,4.25,4.02,4
65,4.0,3.75,4
66,4.0,3.62,4
67,3.5,3.52,4
68,3.6,3.51,5
69,4.2,4.04,5
70,4.4,3.86,5
71,4.2,4.0,5
72,4.6,3.97,5
73,4.2,4.02,5
74,2.6,3.05,5
75,4.2,4.16,5
76,2.0,2.54,1
77,3.0,4.69,1
78,4.0,2.97,1
79,4.0,4.02,1
