user_id,true_avg_rating,pred_avg_rating,n_rows
0,4.8,4.32,5
1,4.4,4.14,5
2,4.0,3.85,5
3,5.0,4.4,5
4,5.0,4.35,5
5,3.6,3.43,5
6,4.0,3.74,5
7,4.0,3.75,5
8,2.2,2.68,5
9,3.2,3.41,5
10,3.4,3.37,5
11,3.8,3.62,5
12,5.0,4.2,5
13,3.0,3.25,5
14,5.0,4.16,5
15,2.4,3.19,5
16,4.0,3.89,5
17,4.2,3.95,5
18,3.6,3.64,5
19,5.0,4.57,5
20,4.2,3.91,5
21,4.0,3.93,5
22,3.6,3.58,5
23,2.6,2.73,5
24,2.8,3.07,5
25,3.4,3.81,5
26,4.6,4.03,5
27,2.0,2.67,5
28,3.6,3.73,5
29,4.0,3.98,5
30,3.8,3.61,5
31,4.6,4.06,5
32,4.0,3.87,5
33,5.0,4.84,5
34,4.0,3.76,5
35,2.0,2.96,5
36,4.0,4.07,5
37,2.8,2.76,5
38,3.6,3.65,5
39,2.8,3.07,5
40,1.8,2.7,5
41,4.8,4.25,5
42,3.2,3.62,5
43,4.8,4.54,5
44,3.8,3.64,5
45,3.8,3.52,5
46,5.0,4.01,5
47,4.4,4.22,5
48,3.6,3.54,5
49,3.4,3.61,5
50,4.2,3.97,5
51,4.0,3.86,5
52,1.6,2.63,5
53,5.0,4.65,5
54,4.4,4.35,5
55,5.0,4.51,5
56,4.0,3.62,5
57,3.8,3.55,5
58,2.6,2.99,5
59,4.0,3.88,5
60,3.6,3.74,5
61,5.0,4.53,5
62,2.8,3.2,5
63,5.0,4.35,4
64,4.25,3.95,4
65,4.0,3.61,4
66,4.0,3.8,4
67,3.5,3.61,4
68,3.6,3.32,5
69,4.2,3.91,5
70,4.4,4.13,5
71,4.2,3.89,5
72,4.6,4.07,5
73,4.2,4.14,5
74,2.6,3.16,5
75,4.2,4.05,5
76,2.0,2.86,1
77,3.0,4.09,1
78,4.0,3.32,1
79,4.0,4.1,1
