user_id,true_avg_rating,pred_avg_rating,n_rows
0,4.8,4.43,5
1,4.4,4.23,5
2,4.0,3.64,5
3,5.0,4.43,5
4,5.0,4.52,5
5,3.6,3.59,5
6,4.0,3.78,5
7,4.0,3.87,5
8,2.2,2.71,5
9,3.2,3.54,5
10,3.4,3.72,5
11,3.8,3.75,5
12,5.0,4.63,5
13,3.0,3.42,5
14,5.0,4.25,5
15,2.4,3.24,5
16,4.0,3.81,5
17,4.2,3.93,5
18,3.6,3.87,5
19,5.0,4.59,5
20,4.2,3.92,5
21,4.0,3.87,5
22,3.6,3.61,5
23,2.6,2.83,5
24,2.8,3.01,5
25,3.4,3.55,5
26,4.6,4.03,5
27,2.0,2.68,5
28,3.6,3.69,5
29,4.0,4.03,5
30,3.8,3.76,5
31,4.6,4.16,5
32,4.0,3.89,5
33,5.0,4.54,5
34,4.0,3.74,5
35,2.0,2.9,5
36,4.0,4.14,5
37,2.8,2.53,5
38,3.6,3.75,5
39,2.8,2.88,5
40,1.8,2.61,5
41,4.8,4.01,5
42,3.2,3.58,5
43,4.8,4.14,5
44,3.8,3.57,5
45,3.8,3.76,5
46,5.0,4.05,5
47,4.4,4.05,5
48,3.6,3.62,5
49,3.4,3.71,5
50,4.2,4.08,5
51,4.0,3.95,5
52,1.6,2.49,5
53,5.0,4.72,5
54,4.4,4.17,5
55,5.0,4.58,5
56,4.0,3.81,5
57,3.8,3.53,5
58,2.6,2.72,5
59,4.0,3.93,5
60,3.6,3.84,5
61,5.0,4.57,5
62,2.8,2.97,5
63,5.0,4.24,4
64,4.25,3.84,4
65,4.0,3.66,4
66,4.0,3.54,4
67,3.5,3.4,4
68,3.6,3.56,5
69,4.2,4.11,5
70,4.4,4.17,5
71,4.2,4.01,5
72,4.6,4.22,5
73,4.2,4.18,5
74,2.6,3.27,5
75,4.2,3.95,5
76,2.0,2.67,1
77,3.0,4.35,1
78,4.0,3.97,1
79,4.0,3.76,1
