user_id,true_avg_rating,pred_avg_rating,n_rows
0,4.8,4.49,5
1,4.4,4.08,5
2,4.0,3.78,5
3,5.0,4.37,5
4,5.0,4.35,5
5,3.6,3.55,5
6,4.0,3.75,5
7,4.0,3.82,5
8,2.2,2.71,5
9,3.2,3.46,5
10,3.4,3.56,5
11,3.8,3.76,5
12,5.0,4.27,5
13,3.0,3.26,5
14,5.0,4.36,5
15,2.4,3.26,5
16,4.0,3.84,5
17,4.2,4.04,5
18,3.6,3.59,5
19,5.0,4.55,5
20,4.2,3.7,5
21,4.0,4.0,5
22,3.6,3.86,5
23,2.6,2.84,5
24,2.8,3.06,5
25,3.4,3.77,5
26,4.6,4.1,5
27,2.0,2.63,5
28,3.6,3.72,5
29,4.0,3.93,5
30,3.8,3.83,5
31,4.6,3.84,5
32,4.0,3.94,5
33,5.0,4.73,5
34,4.0,3.7,5
35,2.0,3.01,5
36,4.0,3.92,5
37,2.8,2.92,5
38,3.6,3.67,5
39,2.8,3.1,5
40,1.8,2.68,5
41,4.8,4.26,5
42,3.2,3.59,5
43,4.8,4.43,5
44,3.8,3.69,5
45,3.8,3.8,5
46,5.0,3.98,5
47,4.4,4.18,5
48,3.6,3.5,5
49,3.4,3.56,5
50,4.2,3.94,5
51,4.0,3.79,5
52,1.6,2.64,5
53,5.0,4.75,5
54,4.4,4.26,5
55,5.0,4.56,5
56,4.0,3.76,5
57,3.8,3.44,5
58,2.6,2.9,5
59,4.0,3.98,5
60,3.6,3.65,5
61,5.0,4.38,5
62,2.8,3.09,5
63,5.0,4.35,4
64,4.25,3.96,4
65,4.0,3.71,4
66,4.0,3.61,4
67,3.5,3.55,4
68,3.6,3.46,5
69,4.2,4.02,5
70,4.4,3.97,5
71,4.2,3.91,5
72,4.6,4.14,5
73,4.2,3.95,5
74,2.6,3.29,5
75,4.2,4.05,5
76,2.0,2.81,1
77,3.0,4.43,1
78,4.0,3.46,1
79,4.0,3.94,1
