user_id,true_avg_rating,pred_avg_rating,n_rows
0,4.8,4.17,5
1,4.4,4.11,5
2,4.0,3.68,5
3,5.0,4.15,5
4,5.0,4.34,5
5,3.6,3.48,5
6,4.0,3.61,5
7,4.0,3.62,5
8,2.2,3.06,5
9,3.2,3.61,5
10,3.4,3.61,5
11,3.8,3.19,5
12,5.0,4.07,5
13,3.0,3.61,5
14,5.0,4.51,5
15,2.4,3.1,5
16,4.0,3.91,5
17,4.2,3.88,5
18,3.6,3.49,5
19,5.0,4.3,5
20,4.2,4.03,5
21,4.0,3.32,5
22,3.6,3.71,5
23,2.6,3.15,5
24,2.8,3.46,5
25,3.4,3.81,5
26,4.6,3.97,5
27,2.0,2.82,5
28,3.6,3.6,5
29,4.0,4.14,5
30,3.8,3.53,5
31,4.6,4.08,5
32,4.0,4.08,5
33,5.0,3.95,5
34,4.0,3.97,5
35,2.0,3.28,5
36,4.0,3.96,5
37,2.8,3.29,5
38,3.6,3.59,5
39,2.8,3.32,5
40,1.8,3.09,5
41,4.8,4.29,5
42,3.2,3.6,5
43,4.8,4.35,5
44,3.8,3.96,5
45,3.8,4.16,5
46,5.0,4.33,5
47,4.4,4.19,5
48,3.6,3.53,5
49,3.4,3.52,5
50,4.2,4.18,5
51,4.0,3.83,5
52,1.6,2.97,5
53,5.0,4.4,5
54,4.4,3.9,5
55,5.0,3.98,5
56,4.0,3.43,5
57,3.8,3.47,5
58,2.6,3.36,5
59,4.0,3.77,5
60,3.6,3.75,5
61,5.0,4.34,5
62,2.8,3.07,5
63,5.0,4.16,4
64,4.25,3.71,4
65,4.0,3.61,4
66,4.0,3.77,4
67,3.5,3.45,4
68,3.6,3.86,5
69,4.2,3.62,5
70,4.4,3.98,5
71,4.2,3.89,5
72,4.6,4.16,5
73,4.2,4.01,5
74,2.6,3.23,5
75,4.2,3.9,5
76,2.0,3.27,1
77,3.0,4.66,1
78,4.0,3.29,1
79,4.0,4.39,1
