user_id,true_avg_rating,pred_avg_rating,n_rows
0,4.8,4.16,5
1,4.4,4.21,5
2,4.0,3.73,5
3,5.0,4.37,5
4,5.0,4.23,5
5,3.6,3.53,5
6,4.0,3.79,5
7,4.0,3.84,5
8,2.2,2.75,5
9,3.2,3.53,5
10,3.4,3.52,5
11,3.8,3.74,5
12,5.0,4.09,5
13,3.0,3.56,5
14,5.0,4.12,5
15,2.4,3.32,5
16,4.0,3.87,5
17,4.2,3.8,5
18,3.6,3.6,5
19,5.0,4.6,5
20,4.2,4.07,5
21,4.0,4.0,5
22,3.6,3.55,5
23,2.6,2.77,5
24,2.8,3.3,5
25,3.4,3.97,5
26,4.6,4.08,5
27,2.0,2.74,5
28,3.6,3.58,5
29,4.0,3.74,5
30,3.8,3.59,5
31,4.6,3.92,5
32,4.0,3.78,5
33,5.0,4.49,5
34,4.0,3.78,5
35,2.0,2.96,5
36,4.0,3.93,5
37,2.8,2.74,5
38,3.6,3.52,5
39,2.8,3.11,5
40,1.8,2.74,5
41,4.8,4.0,5
42,3.2,3.69,5
43,4.8,4.55,5
44,3.8,3.67,5
45,3.8,3.97,5
46,5.0,4.13,5
47,4.4,4.19,5
48,3.6,3.5,5
49,3.4,3.71,5
50,4.2,4.02,5
51,4.0,3.98,5
52,1.6,2.51,5
53,5.0,4.76,5
54,4.4,4.15,5
55,5.0,4.51,5
56,4.0,3.68,5
57,3.8,3.45,5
58,2.6,2.91,5
59,4.0,3.88,5
60,3.6,3.78,5
61,5.0,4.52,5
62,2.8,3.13,5
63,5.0,4.42,4
64,4.25,3.81,4
65,4.0,3.95,4
66,4.0,3.53,4
67,3.5,3.43,4
68,3.6,3.62,5
69,4.2,3.96,5
70,4.4,4.27,5
71,4.2,4.03,5
72,4.6,4.06,5
73,4.2,4.03,5
74,2.6,3.32,5
75,4.2,3.91,5
76,2.0,2.85,1
77,3.0,4.38,1
78,4.0,3.5,1
79,4.0,3.5,1
