user_id,file_id,rating,tokens,types,ttr,rttr,cttr,herdan_c,maas_a2,yules_k,mtld,hapax_ratio,dis_legomena_ratio,avg_word_len,pred_rating
0,0,4.0,464,148,0.319,6.8707,4.8583,0.8139,0.0303,82.8627,133.8958,0.0,0.7297,5.1466,3.98
1,0,5.0,1642,368,0.2241,9.0816,6.4216,0.798,0.0273,79.3646,112.5062,0.337,0.1875,5.0627,4.42
2,0,4.0,798,249,0.312,8.8145,6.2328,0.8257,0.0261,85.8977,161.2751,0.0,0.743,5.7845,3.63
3,0,5.0,2335,866,0.3709,17.9215,12.6724,0.8721,0.0165,46.6415,171.0394,0.5774,0.1767,5.0351,4.34
4,0,5.0,736,252,0.3424,9.2888,6.5682,0.8376,0.0246,74.1375,222.9782,0.0,0.7937,5.9022,4.47
5,0,4.0,750,252,0.336,9.2017,6.5066,0.8353,0.0249,64.8178,257.9437,0.0,0.7738,5.808,3.31
6,0,4.0,694,228,0.3285,8.6548,6.1198,0.8299,0.026,93.1409,184.5754,0.0,0.8026,5.7233,3.9
7,0,4.0,744,231,0.3105,8.4689,5.9884,0.8231,0.0268,78.7663,190.6826,0.0,0.7359,5.4624,3.92
8,0,2.0,517,195,0.3772,8.5761,6.0642,0.8439,0.025,83.2058,148.9084,0.2564,0.5077,5.6402,2.56
9,0,3.0,708,240,0.339,9.0198,6.3779,0.8352,0.0251,83.868,237.5037,0.0,0.8,5.5028,3.32
10,0,3.0,432,165,0.3819,7.9386,5.6134,0.8414,0.0261,83.5905,243.0026,0.0,0.8545,5.2685,3.16
11,0,4.0,580,185,0.319,7.6817,5.4318,0.8204,0.0282,97.3841,150.8869,0.0,0.7676,5.6586,3.67
12,0,5.0,994,304,0.3058,9.6423,6.8181,0.8283,0.0249,76.1308,166.6647,0.0,0.7796,5.5272,4.37
13,0,3.0,1327,321,0.2419,8.8119,6.231,0.8026,0.0274,67.8392,105.8017,0.2274,0.3614,5.2457,3.47
14,0,5.0,742,254,0.3423,9.3246,6.5935,0.8378,0.0245,84.8221,218.8697,0.0,0.8268,5.752,4.21
15,0,2.0,772,244,0.3161,8.7818,6.2096,0.8268,0.0261,79.5323,177.836,0.0,0.7459,5.5829,3.36
16,0,4.0,1886,598,0.3171,13.7699,9.7368,0.8477,0.0202,70.2053,138.2728,0.5468,0.1572,5.0695,3.88
17,0,4.0,1746,411,0.2354,9.836,6.9551,0.8062,0.026,87.9707,131.6338,0.0,0.6594,5.0183,4.01
18,0,4.0,1048,384,0.3664,11.8618,8.3876,0.8556,0.0208,67.7226,147.017,0.5078,0.2214,5.3635,3.89
19,0,5.0,2149,617,0.2871,13.3097,9.4114,0.8374,0.0212,50.2966,139.5681,0.4408,0.1961,5.1224,4.78
20,0,4.0,600,218,0.3633,8.8998,6.2931,0.8417,0.0247,86.4444,303.0272,0.0,0.8257,6.02,3.69
21,0,4.0,712,256,0.3596,9.594,6.784,0.8443,0.0237,60.4406,356.0,0.0,0.7812,5.868,3.61
22,0,3.0,618,226,0.3657,9.0911,6.4283,0.8435,0.0244,77.1358,315.7389,0.0,0.8097,5.9353,3.6
23,0,2.0,34,17,0.5,2.9155,2.0616,0.8034,0.0557,294.1176,34.0,0.0,1.0,4.3529,2.44
24,0,4.0,860,272,0.3163,9.2751,6.5585,0.8296,0.0252,91.9957,153.965,0.0,0.7941,5.4372,3.89
25,0,2.0,114,40,0.3509,3.7463,2.6491,0.7789,0.0467,223.1456,50.4633,0.0,0.7,5.1228,4.24
26,0,5.0,560,224,0.4,9.4657,6.6933,0.8552,0.0229,38.5204,338.3255,0.0,0.8304,5.8,4.41
27,0,2.0,574,183,0.3188,7.6383,5.4011,0.8201,0.0283,78.1241,126.5673,0.0,0.7486,5.5714,2.71
28,0,3.0,600,203,0.3383,8.2874,5.8601,0.8306,0.0265,86.4444,184.5201,0.0,0.798,5.5267,3.17
29,0,4.0,1588,334,0.2103,8.3815,5.9266,0.7885,0.0287,71.6092,182.1739,0.003,0.1677,5.0542,4.09
30,0,4.0,532,183,0.344,7.9341,5.6102,0.83,0.0271,114.0539,184.7105,0.0,0.8087,6.0639,3.15
31,0,5.0,32,15,0.4688,2.6517,1.875,0.7814,0.0631,390.625,28.0784,0.0,0.9333,5.25,4.3
32,0,4.0,1499,475,0.3169,12.2685,8.6752,0.8428,0.0215,55.603,196.1697,0.2147,0.4779,5.0187,4.09
33,0,5.0,2136,630,0.2949,13.6314,9.6388,0.8407,0.0208,50.411,199.9117,0.3651,0.2778,5.1498,4.62
34,0,4.0,762,236,0.3097,8.5494,6.0453,0.8234,0.0266,74.5724,164.0142,0.0,0.7034,5.6719,3.85
35,0,4.0,860,264,0.307,9.0023,6.3656,0.8252,0.0259,64.7377,167.1097,0.0,0.7273,5.393,4.06
36,0,4.0,30,14,0.4667,2.556,1.8074,0.7759,0.0659,422.2222,22.1053,0.0,0.9286,4.8,4.03
37,0,5.0,860,311,0.3616,10.605,7.4989,0.8495,0.0223,56.6252,379.6387,0.0,0.8264,5.4698,4.16
38,0,2.0,14,7,0.5,1.8708,1.3229,0.7374,0.0995,714.2857,14.0,0.0,1.0,5.4286,3.26
39,0,4.0,786,242,0.3079,8.6319,6.1036,0.8233,0.0265,79.0228,149.3574,0.0,0.7355,5.2824,3.98
40,0,2.0,1332,439,0.3296,12.0285,8.5055,0.8457,0.0214,65.0876,173.3188,0.4214,0.2802,5.4955,2.64
41,0,5.0,28,14,0.5,2.6458,1.8708,0.792,0.0624,357.1429,28.0,0.0,1.0,5.3571,4.43
42,0,2.0,58,23,0.3966,3.02,2.1355,0.7722,0.0561,315.1011,34.6139,0.0,0.7391,5.0345,4.06
43,0,4.0,16,8,0.5,2.0,1.4142,0.75,0.0902,625.0,16.0,0.0,1.0,4.75,3.92
44,0,4.0,56,23,0.4107,3.0735,2.1733,0.7789,0.0549,306.1224,40.4277,0.0,0.7826,4.7143,3.96
45,0,3.0,44,22,0.5,3.3166,2.3452,0.8168,0.0484,227.2727,44.0,0.0,1.0,4.5909,2.29
46,0,5.0,670,221,0.3299,8.538,6.0373,0.8296,0.0262,109.3785,167.9529,0.0,0.7783,5.6836,3.61
47,0,4.0,1166,314,0.2693,9.1956,6.5023,0.8142,0.0263,95.6047,138.5763,0.0,0.742,5.1715,3.73
48,0,4.0,46,19,0.413,2.8014,1.9809,0.7691,0.0603,368.62,31.4226,0.0,0.7895,4.8696,4.07
49,0,4.0,1134,303,0.2672,8.9978,6.3624,0.8124,0.0267,65.6788,116.2053,0.2541,0.3696,4.8854,3.99
50,0,4.0,588,194,0.3299,8.0004,5.6572,0.8261,0.0273,71.1509,166.1635,0.0,0.7268,5.3912,3.85
51,0,3.0,914,268,0.2932,8.8647,6.2683,0.8201,0.0264,88.4132,134.3048,0.0,0.7537,5.07,3.37
