user_id,file_id,rating,nli_mean_entail,nli_mean_contra,nli_max_contra,nli_frac_entail_gt50,nli_frac_contra_gt50,nli_pairs_evaluated,nli_r_to_q_entail,nli_q_to_r_entail,nli_r_to_q_contra,nli_q_to_r_contra,n_sentences_resp,pred_rating
0,0,4.0,0.7075,0.1886,0.8786,0.6667,0.2222,18.0,0.5672,0.2447,0.1484,0.1207,10.0,3.25
1,0,5.0,0.1295,0.8685,0.9966,0.0556,0.9444,18.0,0.9545,0.0735,0.0246,0.0144,10.0,4.52
2,0,4.0,0.3177,0.6613,0.9974,0.3333,0.6667,18.0,0.8422,0.8485,0.0089,0.0304,10.0,4.01
3,0,5.0,0.4256,0.5621,0.9982,0.4444,0.5556,18.0,0.5415,0.3942,0.3957,0.0373,10.0,4.05
4,0,5.0,0.3112,0.6815,0.9991,0.3333,0.6667,18.0,0.5747,0.8642,0.0159,0.028,10.0,4.4
5,0,4.0,0.506,0.4777,0.998,0.5,0.5,18.0,0.5122,0.9085,0.4324,0.0262,10.0,4.13
6,0,4.0,0.3308,0.6661,0.999,0.3333,0.6667,18.0,0.3379,0.6494,0.0106,0.0128,10.0,3.99
7,0,4.0,0.6247,0.3492,0.9911,0.6111,0.3889,18.0,0.9408,0.8991,0.0183,0.0045,10.0,3.88
8,0,2.0,0.792,0.1835,0.9473,0.8333,0.1667,18.0,0.8442,0.5056,0.0355,0.0082,10.0,2.74
9,0,3.0,0.0121,0.9874,0.9991,0.0,1.0,18.0,0.7549,0.5693,0.167,0.3743,10.0,3.84
10,0,3.0,0.497,0.4474,0.9965,0.4444,0.4444,18.0,0.4501,0.243,0.5232,0.7356,10.0,3.21
11,0,4.0,0.4909,0.4683,0.9981,0.5556,0.4444,18.0,0.1896,0.1896,0.1541,0.1541,10.0,3.81
12,0,5.0,0.3095,0.6328,0.9985,0.3333,0.6111,18.0,0.8596,0.7831,0.0205,0.0875,10.0,4.55
13,0,3.0,0.5526,0.389,0.9666,0.5,0.4444,18.0,0.9154,0.8815,0.0471,0.0104,10.0,3.47
14,0,5.0,0.4576,0.5213,0.9978,0.5,0.5,18.0,0.8266,0.8945,0.0621,0.0545,10.0,4.62
15,0,2.0,0.738,0.2277,0.9172,0.7222,0.2778,18.0,0.1691,0.8284,0.0193,0.0064,10.0,3.69
16,0,4.0,0.8993,0.0681,0.9249,0.9444,0.0556,18.0,0.8611,0.5695,0.0156,0.0046,10.0,3.62
17,0,4.0,0.6694,0.1769,0.9837,0.6111,0.1667,18.0,0.6974,0.863,0.0105,0.0054,10.0,3.91
18,0,4.0,0.653,0.3181,0.9963,0.6667,0.3333,18.0,0.4907,0.9939,0.0281,0.0029,10.0,3.85
19,0,5.0,0.2767,0.7098,0.9987,0.2778,0.7222,18.0,0.9504,0.1094,0.0277,0.0225,10.0,4.65
20,0,4.0,0.0388,0.96,0.9992,0.0556,0.9444,18.0,0.0466,0.0655,0.9411,0.9268,10.0,3.62
21,0,4.0,0.6807,0.2973,0.9874,0.7222,0.2778,18.0,0.6456,0.7878,0.2925,0.0325,10.0,3.84
22,0,3.0,0.0433,0.956,0.999,0.0556,0.9444,18.0,0.1096,0.142,0.82,0.7916,10.0,3.74
23,0,2.0,0.895,0.1021,0.2008,1.0,0.0,6.0,0.0077,0.0108,0.0011,0.0013,4.0,2.94
24,0,4.0,0.5743,0.3973,0.9985,0.5556,0.3889,18.0,0.7098,0.7912,0.1991,0.1475,10.0,4.03
25,0,2.0,0.8167,0.0939,0.3275,0.8571,0.0,14.0,0.2286,0.0392,0.0753,0.0325,8.0,3.84
26,0,5.0,0.3675,0.5822,0.9929,0.2778,0.6667,18.0,0.705,0.6728,0.2543,0.1601,10.0,4.59
27,0,2.0,0.5911,0.3562,0.9252,0.6111,0.3889,18.0,0.4462,0.1478,0.0347,0.3322,10.0,2.51
28,0,3.0,0.4816,0.5133,0.9845,0.4444,0.5556,18.0,0.0924,0.112,0.0037,0.0024,10.0,3.31
29,0,4.0,0.2533,0.7362,0.9983,0.2778,0.7222,18.0,0.1191,0.5597,0.0635,0.1246,10.0,4.12
30,0,4.0,0.5233,0.4476,0.997,0.5556,0.4444,18.0,0.1962,0.1962,0.5734,0.5734,10.0,3.18
31,0,5.0,0.0263,0.0044,0.0044,0.0,0.0,2.0,0.8788,0.7966,0.0316,0.0155,2.0,4.17
32,0,4.0,0.5735,0.3735,0.9795,0.5556,0.3333,18.0,0.7525,0.2131,0.0158,0.0108,10.0,3.88
33,0,5.0,0.8157,0.1442,0.9645,0.8333,0.1667,18.0,0.938,0.0834,0.0062,0.0032,10.0,3.29
34,0,4.0,0.5205,0.447,0.9989,0.5556,0.4444,18.0,0.5144,0.1704,0.0114,0.007,10.0,4.01
35,0,4.0,0.7264,0.2023,0.8472,0.7778,0.1667,18.0,0.5558,0.2014,0.0134,0.0042,10.0,3.79
36,0,4.0,0.0143,0.0039,0.0039,0.0,0.0,2.0,0.8536,0.4534,0.099,0.0265,2.0,4.09
37,0,5.0,0.4375,0.5276,0.9988,0.4444,0.5,18.0,0.0328,0.9733,0.9644,0.0074,10.0,4.34
38,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8834,0.7886,0.0358,0.187,1.0,3.12
39,0,4.0,0.7125,0.2613,0.9498,0.7778,0.2222,18.0,0.8514,0.8897,0.0561,0.0162,10.0,3.54
40,0,2.0,0.4274,0.5449,0.9984,0.4444,0.5556,18.0,0.4576,0.8664,0.0076,0.0378,10.0,3.07
41,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8072,0.8034,0.0297,0.079,1.0,4.57
42,0,2.0,0.8217,0.0072,0.0132,1.0,0.0,6.0,0.0354,0.0499,0.012,0.0126,4.0,3.52
