user_id,file_id,perplexity,rating,pred_rating
0,0,7.994,4.0,3.17
1,0,8.689,5.0,4.07
2,0,3.058,4.0,3.58
3,0,22.839,5.0,4.28
4,0,3.009,5.0,3.92
5,0,4.38,4.0,3.34
6,0,4.815,4.0,3.98
7,0,2.953,4.0,3.89
8,0,7.663,2.0,3.09
9,0,3.269,3.0,2.72
10,0,5.121,3.0,2.87
11,0,5.802,4.0,3.95
12,0,4.751,5.0,3.8
13,0,7.431,3.0,3.73
14,0,3.137,5.0,4.4
15,0,2.794,2.0,3.69
16,0,10.653,4.0,3.57
17,0,12.331,4.0,4.38
18,0,5.41,4.0,3.88
19,0,16.15,5.0,4.96
20,0,5.983,4.0,3.55
21,0,3.825,4.0,3.6
22,0,5.716,3.0,4.28
23,0,11.682,2.0,3.13
24,0,4.132,4.0,3.12
25,0,7.784,2.0,2.95
26,0,6.249,5.0,4.1
27,0,5.089,2.0,2.58
28,0,5.351,3.0,3.64
29,0,9.736,4.0,4.01
30,0,5.378,4.0,3.65
31,0,20.545,5.0,4.89
32,0,17.374,4.0,4.28
33,0,13.671,5.0,4.32
34,0,3.14,4.0,4.38
35,0,3.967,4.0,3.89
36,0,17.021,4.0,4.24
37,0,5.037,5.0,4.34
38,0,42.85,2.0,3.33
39,0,2.882,4.0,3.69
40,0,6.875,2.0,2.64
41,0,21.198,5.0,4.91
42,0,11.04,2.0,4.1
43,0,23.165,4.0,4.28
44,0,11.679,4.0,3.58
45,0,12.849,3.0,4.33
46,0,4.536,5.0,3.97
47,0,6.366,4.0,3.5
48,0,9.553,4.0,4.3
49,0,7.602,4.0,3.99
50,0,6.024,4.0,4.07
51,0,4.141,3.0,3.21
52,0,6.613,1.0,2.52
53,0,5.438,5.0,3.72
54,0,10.845,5.0,4.45
55,0,13.092,5.0,4.02
56,0,5.31,5.0,3.72
57,0,4.093,4.0,2.68
58,0,4.484,3.0,3.12
59,0,18.909,4.0,4.08
60,0,4.791,4.0,3.99
61,0,12.574,5.0,4.41
62,0,4.118,2.0,2.68
68,0,9.33,5.0,4.28
69,0,3.45,4.0,3.68
70,0,8.339,4.0,3.66
71,0,4.556,4.0,4.3
72,0,5.578,4.0,4.03
73,0,5.779,5.0,4.23
74,0,12.652,4.0,4.23
75,0,17.52,5.0,4.54
76,0,7.9,2.0,2.62
77,0,9.387,3.0,4.32
78,0,5.278,4.0,3.73
79,0,43.754,4.0,3.3
0,1,6.509,5.0,4.3
1,1,6.38,5.0,2.09
2,1,4.131,4.0,3.12
3,1,15.509,5.0,4.93
4,1,7.524,5.0,4.38
5,1,6.808,4.0,3.42
6,1,3.08,4.0,3.76
7,1,2.963,4.0,3.95
8,1,6.962,2.0,2.07
9,1,10.496,4.0,3.84
10,1,5.759,4.0,4.06
11,1,5.227,4.0,3.92
