user_id,file_id,rating,token_count,pos_count_NOUN,pos_ratio_NOUN,pos_count_VERB,pos_ratio_VERB,pos_count_ADJ,pos_ratio_ADJ,pos_count_ADV,pos_ratio_ADV,pos_count_PRON,pos_ratio_PRON,pos_count_PROPN,pos_ratio_PROPN,pos_count_AUX,pos_ratio_AUX,pos_count_ADP,pos_ratio_ADP,pos_count_DET,pos_ratio_DET,pos_count_CCONJ,pos_ratio_CCONJ,pos_count_SCONJ,pos_ratio_SCONJ,pos_count_PART,pos_ratio_PART,pos_count_NUM,pos_ratio_NUM,pos_entropy,pred_rating
0,0,4.0,478.0,130.0,0.272,44.0,0.0921,35.0,0.0732,4.0,0.0084,10.0,0.0209,121.0,0.2531,2.0,0.0042,40.0,0.0837,18.0,0.0377,18.0,0.0377,4.0,0.0084,2.0,0.0042,48.0,0.1004,2.8927,4.28
1,0,5.0,1655.0,365.0,0.2205,134.0,0.081,115.0,0.0695,40.0,0.0242,26.0,0.0157,532.0,0.3215,15.0,0.0091,197.0,0.119,115.0,0.0695,61.0,0.0369,16.0,0.0097,9.0,0.0054,30.0,0.0181,2.8725,4.73
2,0,4.0,814.0,270.0,0.3317,100.0,0.1229,110.0,0.1351,12.0,0.0147,32.0,0.0393,88.0,0.1081,16.0,0.0197,58.0,0.0713,52.0,0.0639,56.0,0.0688,8.0,0.0098,12.0,0.0147,0.0,0.0,2.9675,3.67
3,0,5.0,2431.0,588.0,0.2419,230.0,0.0946,176.0,0.0724,48.0,0.0197,70.0,0.0288,632.0,0.26,41.0,0.0169,225.0,0.0926,122.0,0.0502,72.0,0.0296,51.0,0.021,28.0,0.0115,140.0,0.0576,3.0682,4.31
4,0,5.0,768.0,260.0,0.3385,88.0,0.1146,94.0,0.1224,12.0,0.0156,26.0,0.0339,118.0,0.1536,14.0,0.0182,54.0,0.0703,34.0,0.0443,50.0,0.0651,8.0,0.0104,10.0,0.013,0.0,0.0,2.9128,4.27
5,0,4.0,784.0,260.0,0.3316,54.0,0.0689,98.0,0.125,6.0,0.0077,14.0,0.0179,184.0,0.2347,8.0,0.0102,72.0,0.0918,26.0,0.0332,42.0,0.0536,2.0,0.0026,6.0,0.0077,4.0,0.0051,2.7049,4.01
6,0,4.0,704.0,230.0,0.3267,76.0,0.108,106.0,0.1506,12.0,0.017,30.0,0.0426,76.0,0.108,10.0,0.0142,60.0,0.0852,32.0,0.0455,58.0,0.0824,6.0,0.0085,8.0,0.0114,0.0,0.0,2.9474,3.66
7,0,4.0,758.0,220.0,0.2902,100.0,0.1319,78.0,0.1029,30.0,0.0396,22.0,0.029,78.0,0.1029,36.0,0.0475,64.0,0.0844,48.0,0.0633,46.0,0.0607,10.0,0.0132,10.0,0.0132,0.0,0.0,3.0833,3.76
8,0,2.0,530.0,171.0,0.3226,32.0,0.0604,58.0,0.1094,6.0,0.0113,24.0,0.0453,119.0,0.2245,16.0,0.0302,42.0,0.0792,23.0,0.0434,33.0,0.0623,4.0,0.0075,2.0,0.0038,0.0,0.0,2.8513,2.66
9,0,3.0,728.0,224.0,0.3077,60.0,0.0824,74.0,0.1016,12.0,0.0165,24.0,0.033,170.0,0.2335,8.0,0.011,50.0,0.0687,30.0,0.0412,56.0,0.0769,4.0,0.0055,6.0,0.0082,2.0,0.0027,2.838,3.85
10,0,3.0,444.0,116.0,0.2613,40.0,0.0901,36.0,0.0811,6.0,0.0135,6.0,0.0135,140.0,0.3153,4.0,0.009,24.0,0.0541,24.0,0.0541,30.0,0.0676,2.0,0.0045,2.0,0.0045,2.0,0.0045,2.6898,3.3
