user_id,file_id,rating,n_sentences,n_words,n_chars,syllables,polysyllables,words_per_sentence,syllables_per_word,chars_per_word,polysyllable_rate,flesch_reading_ease,fk_grade_level,gunning_fog,smog_index,ari,coleman_liau,pred_rating
0,0,4.0,14,418,2294,750,84,29.8571,1.7943,5.488,0.201,24.7357,17.2265,19.9811,17.1224,19.3472,15.4783,4.27
1,0,5.0,146,1619,8286,2627,256,11.089,1.6226,5.118,0.1581,58.3071,7.8815,10.7605,10.6937,8.2202,11.6244,4.55
2,0,4.0,42,798,4616,1520,208,19.0,1.9048,5.7845,0.2607,26.4071,14.2962,18.0261,15.8422,15.3148,16.6547,3.52
3,0,5.0,183,2233,11461,3561,290,12.2022,1.5947,5.1326,0.1299,59.5368,7.9865,10.0757,10.3206,8.8454,11.9536,4.35
4,0,5.0,58,736,4344,1400,174,12.6897,1.9022,5.9022,0.2364,33.0311,11.8046,14.5324,13.0239,12.7141,16.5722,4.41
5,0,4.0,60,742,4348,1386,176,12.3667,1.8679,5.8598,0.2372,36.2564,11.2745,14.4345,12.9133,12.3532,16.2623,4.13
6,0,4.0,60,694,3972,1290,166,11.5667,1.8588,5.7233,0.2392,37.8412,10.8547,14.1944,12.6313,11.3103,15.2942,3.5
7,0,4.0,76,728,4048,1322,154,9.5789,1.8159,5.5604,0.2115,43.4843,9.5738,12.2931,11.2611,9.5491,13.8053,3.95
8,0,2.0,42,517,2916,973,123,12.3095,1.882,5.6402,0.2379,35.1227,11.4185,14.4403,12.9054,11.2903,14.9599,2.7
9,0,3.0,68,698,3886,1232,138,10.2647,1.765,5.5673,0.1977,47.0937,9.2407,12.0142,11.2673,9.9245,14.0523,3.84
10,0,3.0,62,418,2262,730,78,6.7419,1.7464,5.4115,0.1866,52.2455,7.647,10.1609,9.5367,7.4291,11.6291,3.23
11,0,4.0,36,580,3282,1070,128,16.1111,1.8448,5.6586,0.2207,34.4098,12.4623,15.272,13.9012,13.2777,15.6354,4.09
12,0,5.0,86,990,5482,1756,202,11.5116,1.7737,5.5374,0.204,45.0925,9.8296,12.7663,11.8844,10.4068,14.1884,4.44
13,0,3.0,91,1230,6760,2156,217,13.5165,1.7528,5.4959,0.1764,44.825,10.365,12.4635,11.9508,11.2141,14.3262,3.36
14,0,5.0,62,736,4262,1384,166,11.871,1.8804,5.7908,0.2255,35.7012,11.2288,13.7701,12.4768,11.78,15.7562,4.52
15,0,2.0,60,762,4300,1404,176,12.7,1.8425,5.643,0.231,38.0673,11.1047,14.3188,12.9133,11.4987,15.0504,3.63
16,0,4.0,139,1857,9528,3220,352,13.3597,1.734,5.1309,0.1896,46.5802,10.0812,12.926,12.22,9.4162,12.1538,4.01
17,0,4.0,106,1732,8748,2826,270,16.3396,1.6316,5.0508,0.1559,52.2136,10.0358,12.7714,12.2466,10.5291,12.0872,4.03
18,0,4.0,91,1028,5596,1822,206,11.2967,1.7724,5.4436,0.2004,45.426,9.7297,12.5342,11.7243,9.8576,13.588,4.03
19,0,5.0,103,1913,10506,3342,327,18.5728,1.747,5.4919,0.1709,40.1879,12.2679,14.2666,13.308,13.7232,14.8986,4.65
20,0,4.0,62,596,3608,1186,168,9.6129,1.9899,6.0537,0.2819,28.7296,11.6402,15.1203,12.5329,11.8893,16.7165,3.72
21,0,4.0,60,710,4172,1304,138,11.8333,1.8366,5.8761,0.1944,39.4461,10.6971,12.508,11.7929,12.1629,16.2498,4.03
22,0,3.0,64,618,3668,1172,132,9.6562,1.8964,5.9353,0.2136,36.5951,10.5539,12.4062,11.3334,11.3533,16.034,4.32
23,0,2.0,4,34,148,46,2,8.5,1.3529,4.3529,0.0588,83.7487,3.6897,5.7529,7.1686,3.3224,6.3129,2.93
24,0,4.0,106,842,4656,1466,138,7.9434,1.7411,5.5297,0.1639,51.476,8.0528,9.7332,9.6474,8.5865,12.9882,3.82
25,0,2.0,8,114,584,188,18,14.25,1.6491,5.1228,0.1579,52.8555,9.4271,12.0158,11.6982,9.8234,12.2449,3.91
26,0,5.0,64,542,3224,1044,136,8.4688,1.9262,5.9483,0.2509,35.2828,10.442,13.4244,11.4568,10.8211,15.681,4.44
27,0,2.0,68,560,3184,1028,110,8.2353,1.8357,5.6857,0.1964,43.1747,9.2832,11.1513,10.395,9.4674,14.0377,2.67
28,0,3.0,42,600,3316,1088,126,14.2857,1.8133,5.5267,0.21,38.927,11.3788,14.1143,13.0239,11.7435,14.6248,3.42
29,0,4.0,149,1535,7953,2706,269,10.302,1.7629,5.1811,0.1752,47.24,9.2296,11.1306,10.805,8.124,11.7917,4.15
30,0,4.0,74,518,3212,1040,138,7.0,2.0077,6.2008,0.2664,29.8767,10.8311,13.4564,10.9304,11.2756,16.432,3.78
31,0,5.0,2,32,168,54,6,16.0,1.6875,5.25,0.1875,47.8325,10.5625,13.9,13.0239,11.2975,13.22,3.63
32,0,4.0,104,1402,7334,2245,162,13.4808,1.6013,5.2311,0.1155,57.6834,8.5626,10.0143,10.259,9.9489,12.7631,3.95
33,0,5.0,169,2051,10854,3323,305,12.1361,1.6202,5.2921,0.1487,57.4492,8.2613,10.8028,10.8036,9.5636,12.8783,4.4
34,0,4.0,52,762,4322,1426,180,14.6538,1.8714,5.6719,0.2362,33.6417,12.2074,15.3104,13.7578,12.6116,15.5309,3.64
35,0,4.0,68,844,4622,1512,184,12.4118,1.7915,5.4763,0.218,42.6788,10.3899,13.6851,12.5263,10.5693,14.0158,3.87
36,0,4.0,2,30,144,48,4,15.0,1.6,4.8,0.1333,56.25,9.14,11.3333,11.2081,8.678,10.4507,3.95
37,0,5.0,80,850,4694,1498,156,10.625,1.7624,5.5224,0.1835,46.9556,9.3495,11.5912,11.1065,9.8928,13.8856,4.63
38,0,2.0,1,14,76,24,4,14.0,1.7143,5.4286,0.2857,47.5964,10.0986,17.0286,14.5546,11.1386,14.0057,2.87
39,0,4.0,54,776,4142,1364,160,14.3704,1.7577,5.3376,0.2062,43.545,10.7557,13.9956,12.9626,10.8954,13.5255,3.55
40,0,2.0,110,1326,7313,2300,244,12.0545,1.7345,5.5151,0.184,47.8576,9.5788,12.1823,11.6374,10.5733,14.1732,2.79
41,0,5.0,1,28,150,48,6,28.0,1.7143,5.3571,0.2143,33.3864,15.5586,19.7714,17.1224,17.8021,14.6429,4.58
42,0,2.0,4,58,292,96,8,14.5,1.6552,5.0345,0.1379,52.0899,9.596,11.3172,11.2081,9.5324,11.7614,3.97
43,0,4.0,2,16,76,24,2,8.0,1.5,4.75,0.125,71.815,5.23,8.2,8.8418,4.9425,8.43,3.76
44,0,4.0,4,56,264,80,4,14.0,1.4286,4.7143,0.0714,71.7679,6.7271,8.4571,8.8418,7.7743,9.8057,3.77
45,0,3.0,4,44,202,64,2,11.0,1.4545,4.5909,0.0455,72.6155,5.8636,6.2182,7.1686,5.6932,8.5036,3.18
46,0,5.0,52,670,3808,1218,144,12.8846,1.8179,5.6836,0.2149,39.9619,10.8863,13.7509,12.6357,11.782,15.3221,3.36
47,0,4.0,88,1156,6020,1946,198,13.1364,1.6834,5.2076,0.1713,51.0867,9.3972,12.1058,11.6982,9.666,12.5675,3.89
48,0,4.0,4,46,224,76,8,11.5,1.6522,4.8696,0.1739,55.3886,8.3907,11.5565,11.2081,7.2557,10.2591,3.53
49,0,4.0,94,1001,5291,1650,167,10.6489,1.6484,5.2857,0.1668,56.5758,8.0136,10.9329,10.7436,8.7902,12.5004,3.75
50,0,4.0,62,564,3142,1040,126,9.0968,1.844,5.5709,0.2234,41.6018,9.7166,12.5749,11.273,9.3574,13.7031,3.74
51,0,3.0,80,904,4624,1474,142,11.3,1.6305,5.115,0.1571,57.4226,8.0573,10.8032,10.7401,8.3119,11.657,3.28
52,0,1.0,42,386,2310,746,94,9.1905,1.9326,5.9845,0.2435,34.0051,10.7995,13.4171,11.6755,11.352,16.1679,2.52
53,0,5.0,30,708,3890,1266,134,23.6,1.7881,5.4944,0.1893,31.6047,14.714,17.0106,15.2027,16.2484,15.2525,4.71
54,0,5.0,116,1614,8696,2732,280,13.9138,1.6927,5.3879,0.1735,49.511,9.8101,12.5048,12.0046,10.9037,13.7532,4.49
55,0,5.0,154,1345,8094,2542,316,8.7338,1.89,6.0178,0.2349,38.0794,10.1177,12.8913,11.3124,11.2809,16.1958,4.1
56,0,5.0,68,666,3676,1156,116,9.7941,1.7357,5.5195,0.1742,50.0507,8.7114,10.8846,10.5905,9.464,13.6326,3.87
57,0,4.0,84,840,4868,1546,180,10.0,1.8405,5.7952,0.2143,40.9807,10.0276,12.5714,11.4917,10.8656,15.316,3.34
