user_id,file_id,rating,proportion_top10,proportion_top100,proportion_top1000,proportion_over1000,mean_rank,median_rank,rank_entropy,n_pred_tokens,pred_rating
0,0,4.0,0.7948,0.0975,0.0742,0.0335,162.03,1.0,1.0335,687,4.45
1,0,5.0,0.7509,0.1263,0.091,0.0318,140.22,1.0,1.1603,2264,4.65
2,0,4.0,0.8468,0.0847,0.0552,0.0133,65.95,1.0,0.8184,1051,3.78
3,0,5.0,0.646,0.1859,0.128,0.0402,220.35,3.0,1.4245,3508,4.79
4,0,5.0,0.8426,0.0933,0.0564,0.0078,37.97,1.0,0.8158,1029,3.89
5,0,4.0,0.7711,0.1154,0.0861,0.0275,117.9,1.0,1.0958,1127,3.62
6,0,4.0,0.8536,0.0883,0.0484,0.0097,40.19,1.0,0.7804,929,3.87
7,0,4.0,0.8445,0.1001,0.0496,0.0058,32.99,1.0,0.7964,1029,3.37
8,0,2.0,0.8031,0.11,0.0691,0.0179,77.89,1.0,0.9745,782,2.76
9,0,3.0,0.8227,0.0963,0.0582,0.0229,76.32,1.0,0.9201,1049,3.96
10,0,3.0,0.8317,0.0906,0.0561,0.0216,74.22,1.0,0.8878,695,3.15
11,0,4.0,0.8248,0.1019,0.0571,0.0161,109.52,1.0,0.8969,805,3.82
12,0,5.0,0.785,0.1218,0.0759,0.0174,83.32,1.0,1.028,1437,4.16
13,0,3.0,0.7737,0.1121,0.09,0.0241,131.6,1.0,1.0826,2033,3.44
14,0,5.0,0.831,0.0952,0.0579,0.0159,50.98,1.0,0.8779,1071,4.46
15,0,2.0,0.8528,0.0967,0.0443,0.0063,38.34,1.0,0.7671,1107,3.12
16,0,4.0,0.7346,0.1456,0.0943,0.0254,123.84,2.0,1.1877,2830,4.05
17,0,4.0,0.7067,0.1886,0.0873,0.0175,83.15,2.0,1.2169,2291,3.93
18,0,4.0,0.7782,0.134,0.0687,0.019,90.62,1.0,1.0444,1470,3.87
19,0,5.0,0.6855,0.1717,0.1092,0.0336,154.6,2.0,1.3233,3361,4.86
20,0,4.0,0.8135,0.0922,0.0715,0.0228,95.06,1.0,0.9559,965,3.95
21,0,4.0,0.7881,0.1127,0.0784,0.0207,69.0,1.0,1.0298,1109,3.78
22,0,3.0,0.8194,0.0824,0.0785,0.0196,93.22,1.0,0.9318,1019,3.91
23,0,2.0,0.7674,0.186,0.0,0.0465,87.56,1.0,0.9503,43,2.12
24,0,4.0,0.8177,0.0939,0.0659,0.0225,85.03,1.0,0.9397,1289,3.87
25,0,2.0,0.8129,0.0863,0.0863,0.0144,92.45,1.0,0.9411,139,3.02
26,0,5.0,0.8264,0.0703,0.082,0.0213,97.93,1.0,0.9107,939,4.37
27,0,2.0,0.8351,0.0871,0.0685,0.0093,51.04,1.0,0.8516,861,2.6
28,0,3.0,0.8393,0.0885,0.0503,0.0219,75.04,1.0,0.8592,915,3.1
29,0,4.0,0.7329,0.1274,0.1026,0.037,149.91,1.0,1.2204,2621,4.18
30,0,4.0,0.8293,0.1032,0.0561,0.0115,51.28,1.0,0.869,785,3.35
31,0,5.0,0.6842,0.1842,0.0789,0.0526,388.95,1.0,1.3369,38,3.93
32,0,4.0,0.6516,0.1749,0.135,0.0385,239.01,3.0,1.4135,2259,4.25
33,0,5.0,0.7,0.1579,0.1116,0.0305,177.3,2.0,1.2874,3110,4.75
34,0,4.0,0.8459,0.0752,0.0571,0.0219,101.57,1.0,0.8414,1051,3.97
35,0,4.0,0.8041,0.112,0.0664,0.0174,67.43,1.0,0.9683,1205,3.8
36,0,4.0,0.7568,0.0541,0.1622,0.027,511.22,1.0,1.0982,37,3.6
37,0,5.0,0.7706,0.1055,0.1007,0.0232,127.5,1.0,1.0915,1251,4.44
38,0,2.0,0.6471,0.1765,0.0588,0.1176,348.53,1.0,1.4517,17,2.87
39,0,4.0,0.8546,0.0951,0.0419,0.0084,33.85,1.0,0.7662,1073,3.64
40,0,2.0,0.7512,0.1429,0.0913,0.0146,92.29,1.0,1.1155,1917,2.51
41,0,5.0,0.6571,0.1429,0.1143,0.0857,286.63,1.0,1.4605,35,4.7
42,0,2.0,0.8028,0.0986,0.0563,0.0423,200.14,1.0,1.0106,71,2.81
43,0,4.0,0.619,0.2857,0.0476,0.0476,133.38,1.0,1.363,21,3.68
44,0,4.0,0.7692,0.1231,0.0308,0.0769,174.38,1.0,1.1023,65,3.62
45,0,3.0,0.6981,0.1887,0.0566,0.0566,159.26,1.0,1.2849,53,3.76
46,0,5.0,0.8638,0.0712,0.0557,0.0093,41.18,1.0,0.7487,969,3.46
47,0,4.0,0.781,0.1098,0.0911,0.0181,126.93,1.0,1.0482,1767,3.73
