user_id,true_avg_rating,pred_avg_rating,n_rows
0,4.6,3.87,5
1,3.4,3.86,5
2,3.2,3.26,5
3,5.0,4.49,5
4,1.8,3.28,5
5,3.8,3.61,5
6,2.8,3.28,5
7,1.6,2.61,5
8,1.8,3.24,5
9,3.2,2.97,5
10,3.4,3.84,5
11,3.6,3.65,5
12,4.4,3.66,5
13,2.4,3.27,5
14,4.2,3.64,5
15,2.0,2.86,5
16,3.2,3.25,5
17,2.4,3.28,5
18,3.8,3.45,5
19,3.6,3.58,5
20,4.8,3.86,5
21,3.4,3.52,5
22,3.4,3.74,5
23,4.0,3.96,5
24,4.0,3.31,5
25,4.8,3.69,5
26,3.8,3.45,5
27,3.4,3.15,5
28,3.4,3.48,5
29,3.0,3.37,5
30,3.6,3.24,5
31,4.2,4.07,5
32,2.8,3.61,5
33,4.2,3.96,5
34,2.2,3.19,5
35,2.0,3.2,5
36,3.0,3.33,5
37,3.4,3.47,5
38,3.4,3.81,5
39,3.2,3.16,5
40,3.4,3.42,5
41,4.2,3.81,5
42,3.2,3.67,5
43,4.4,3.49,5
44,3.0,3.29,5
45,3.0,3.45,5
46,4.2,3.69,5
47,1.8,2.07,5
48,4.4,4.04,5
49,3.6,3.21,5
50,4.0,3.51,5
51,3.6,3.62,5
52,2.8,3.53,5
53,5.0,4.96,5
54,3.4,2.78,5
55,4.6,3.87,5
56,5.0,3.61,5
57,4.0,3.52,5
58,3.2,3.15,5
59,3.6,3.64,5
60,2.4,3.24,5
61,3.2,3.23,5
62,1.8,2.84,5
63,5.0,4.46,5
64,3.8,3.87,5
65,3.2,3.13,5
66,4.2,3.93,5
67,3.6,3.44,5
68,4.0,3.7,5
69,3.2,3.64,5
70,3.4,3.28,5
71,5.0,4.21,5
72,3.4,3.71,5
73,3.6,3.69,5
74,3.8,3.66,5
75,4.4,3.77,5
