user_id,file_id,rating,ll_orig,mean_ll_pert,std_ll_pert,curvature_z,n_perturb_used,pred_rating
0,0,4,-inf,-inf,0.0,0.0,0,3.68
1,0,4,-inf,-inf,0.0,0.0,0,3.68
2,0,4,-1.6932,-2.6767,0.1914,5.1383,8,3.63
3,0,5,-inf,-inf,0.0,0.0,0,3.68
4,0,1,-inf,-inf,0.0,0.0,0,3.68
5,0,4,-inf,-inf,0.0,0.0,0,3.68
6,0,4,-inf,-inf,0.0,0.0,0,3.68
7,0,1,-1.7094,-2.7131,0.1072,9.3651,8,1.92
8,0,1,-1.7588,-2.8526,0.1481,7.3839,8,1.63
9,0,4,-inf,-inf,0.0,0.0,0,3.68
10,0,4,-inf,-inf,0.0,0.0,0,3.68
11,0,4,-1.6518,-2.6774,0.1212,8.4633,8,3.39
12,0,5,-inf,-inf,0.0,0.0,0,3.68
13,0,4,-inf,-inf,0.0,0.0,0,3.68
14,0,4,-inf,-inf,0.0,0.0,0,3.68
15,0,2,-1.9631,-2.7749,0.1803,4.5029,8,3.53
16,0,2,-inf,-inf,0.0,0.0,0,3.68
17,0,1,-1.6381,-2.8177,0.1757,6.7141,8,1.52
18,0,4,-inf,-inf,0.0,0.0,0,3.68
19,0,4,-inf,-inf,0.0,0.0,0,3.68
20,0,5,-1.7462,-2.6587,0.0635,14.3778,8,4.03
21,0,1,-1.6882,-2.6454,0.0966,9.9072,8,1.91
22,0,4,-inf,-inf,0.0,0.0,0,3.68
23,0,4,-inf,-inf,0.0,0.0,0,3.68
24,0,4,-1.859,-2.7596,0.157,5.7347,8,3.84
25,0,4,-inf,-inf,0.0,0.0,0,3.68
26,0,4,-1.8491,-2.7036,0.0885,9.6521,8,3.42
27,0,3,-2.5164,-3.3748,0.196,4.3788,8,3.0
28,0,3,-inf,-inf,0.0,0.0,0,3.68
29,0,3,-inf,-inf,0.0,0.0,0,3.68
30,0,5,-1.5964,-2.4716,0.2919,2.9979,8,2.97
31,0,2,-2.9364,-4.109,0.487,2.4081,8,3.28
32,0,4,-inf,-inf,0.0,0.0,0,3.68
33,0,4,-inf,-inf,0.0,0.0,0,3.68
34,0,2,-inf,-inf,0.0,0.0,0,3.68
35,0,2,-inf,-inf,0.0,0.0,0,3.68
36,0,3,-inf,-inf,0.0,0.0,0,3.68
37,0,4,-inf,-inf,0.0,0.0,0,3.68
38,0,4,-2.5798,-4.2415,0.4884,3.4025,8,3.77
39,0,3,-1.795,-2.8079,0.1482,6.8331,8,1.84
40,0,2,-inf,-inf,0.0,0.0,0,3.68
41,0,4,-2.6192,-3.7996,0.2428,4.8615,8,3.6
42,0,1,-inf,-inf,0.0,0.0,0,3.68
43,0,5,-inf,-inf,0.0,0.0,0,3.68
44,0,3,-inf,-inf,0.0,0.0,0,3.68
45,0,3,-inf,-inf,0.0,0.0,0,3.68
46,0,4,-inf,-inf,0.0,0.0,0,3.68
47,0,1,-1.6381,-2.6107,0.2821,3.4472,8,1.74
48,0,5,-inf,-inf,0.0,0.0,0,3.68
49,0,4,-inf,-inf,0.0,0.0,0,3.68
50,0,4,-inf,-inf,0.0,0.0,0,3.68
51,0,1,-3.3446,-4.626,0.4337,2.9547,8,2.69
52,0,4,-inf,-inf,0.0,0.0,0,3.68
53,0,5,-inf,-inf,0.0,0.0,0,3.68
54,0,2,-1.6381,-2.8948,0.2622,4.7939,8,1.87
55,0,4,-inf,-inf,0.0,0.0,0,3.68
56,0,5,-inf,-inf,0.0,0.0,0,3.68
57,0,4,-inf,-inf,0.0,0.0,0,3.68
58,0,2,-inf,-inf,0.0,0.0,0,3.68
59,0,4,-inf,-inf,0.0,0.0,0,3.68
60,0,2,-inf,-inf,0.0,0.0,0,3.68
61,0,4,-2.5206,-3.7332,0.329,3.6857,8,3.26
62,0,2,-inf,-inf,0.0,0.0,0,3.68
63,0,5,-inf,-inf,0.0,0.0,0,3.68
64,0,4,-inf,-inf,0.0,0.0,0,3.68
65,0,3,-inf,-inf,0.0,0.0,0,3.68
66,0,5,-inf,-inf,0.0,0.0,0,3.68
67,0,4,-inf,-inf,0.0,0.0,0,3.68
68,0,4,-inf,-inf,0.0,0.0,0,3.68
69,0,4,-inf,-inf,0.0,0.0,0,3.68
70,0,3,-inf,-inf,0.0,0.0,0,3.68
71,0,5,-1.4649,-2.3675,0.2034,4.4375,8,3.88
72,0,2,-inf,-inf,0.0,0.0,0,3.68
73,0,4,-inf,-inf,0.0,0.0,0,3.68
74,0,3,-2.7545,-3.486,0.1566,4.6707,8,3.27
75,0,5,-1.9894,-3.3267,0.2318,5.769,8,3.8
0,1,4,-inf,-inf,0.0,0.0,0,3.68
1,1,4,-inf,-inf,0.0,0.0,0,3.68
2,1,4,-1.919,-3.0899,0.213,5.4984,8,3.54
3,1,5,-inf,-inf,0.0,0.0,0,3.68
4,1,1,-1.5844,-2.5759,0.098,10.1192,8,2.16
5,1,4,-1.8293,-2.8191,0.0931,10.6344,8,2.96
6,1,4,-inf,-inf,0.0,0.0,0,3.68
7,1,1,-1.8737,-2.8028,0.0826,11.2542,8,2.21
8,1,1,-1.6519,-2.6689,0.127,8.0101,8,3.44
9,1,3,-inf,-inf,0.0,0.0,0,3.68
10,1,4,-inf,-inf,0.0,0.0,0,3.68
11,1,4,-1.4616,-2.5167,0.08,13.193,8,3.81
12,1,5,-inf,-inf,0.0,0.0,0,3.68
13,1,2,-2.5157,-3.5561,0.2763,3.7662,8,2.83
14,1,5,-1.6351,-2.6224,0.0961,10.2758,8,1.86
15,1,2,-2.0857,-2.9869,0.1248,7.2237,8,2.13
16,1,4,-inf,-inf,0.0,0.0,0,3.68
17,1,3,-1.5108,-2.3704,0.1638,5.2475,8,3.67
18,1,4,-inf,-inf,0.0,0.0,0,3.68
19,1,4,-inf,-inf,0.0,0.0,0,3.68
20,1,5,-inf,-inf,0.0,0.0,0,3.68
21,1,4,-3.2703,-4.6797,0.4097,3.4401,8,3.86
22,1,3,-inf,-inf,0.0,0.0,0,3.68
23,1,4,-inf,-inf,0.0,0.0,0,3.68
24,1,4,-inf,-inf,0.0,0.0,0,3.68
25,1,5,-inf,-inf,0.0,0.0,0,3.68
26,1,5,-inf,-inf,0.0,0.0,0,3.68
27,1,4,-inf,-inf,0.0,0.0,0,3.68
28,1,4,-inf,-inf,0.0,0.0,0,3.68
29,1,4,-1.5078,-2.3173,0.0587,13.8006,8,3.9
30,1,3,-inf,-inf,0.0,0.0,0,3.68
31,1,5,-1.6651,-2.5638,0.133,6.7555,8,4.3
32,1,3,-inf,-inf,0.0,0.0,0,3.68
33,1,5,-inf,-inf,0.0,0.0,0,3.68
34,1,2,-inf,-inf,0.0,0.0,0,3.68
35,1,4,-1.8101,-2.7506,0.1673,5.6209,8,3.89
36,1,4,-inf,-inf,0.0,0.0,0,3.68
37,1,3,-2.2092,-3.1229,0.313,2.9191,8,3.02
38,1,4,-inf,-inf,0.0,0.0,0,3.68
39,1,4,-1.6418,-2.6305,0.1265,7.8171,8,3.61
40,1,4,-inf,-inf,0.0,0.0,0,3.68
41,1,4,-2.2849,-3.5357,0.2818,4.4379,8,3.33
42,1,3,-inf,-inf,0.0,0.0,0,3.68
43,1,4,-inf,-inf,0.0,0.0,0,3.68
44,1,3,-1.766,-2.6894,0.0948,9.7396,8,2.89
45,1,3,-inf,-inf,0.0,0.0,0,3.68
46,1,4,-inf,-inf,0.0,0.0,0,3.68
47,1,4,-1.5704,-2.627,0.1703,6.2061,8,3.5
48,1,4,-inf,-inf,0.0,0.0,0,3.68
49,1,2,-1.7338,-2.6519,0.1019,9.0077,8,2.38
50,1,5,-2.0204,-2.9759,0.1838,5.1999,8,3.53
51,1,4,-2.9702,-4.2303,0.4069,3.0972,8,4.16
52,1,1,-inf,-inf,0.0,0.0,0,3.68
53,1,5,-inf,-inf,0.0,0.0,0,3.68
54,1,2,-1.6381,-2.9426,0.2912,4.4805,8,1.83
55,1,4,-inf,-inf,0.0,0.0,0,3.68
56,1,5,-inf,-inf,0.0,0.0,0,3.68
57,1,4,-inf,-inf,0.0,0.0,0,3.68
58,1,4,-inf,-inf,0.0,0.0,0,3.68
59,1,3,-inf,-inf,0.0,0.0,0,3.68
60,1,3,-inf,-inf,0.0,0.0,0,3.68
61,1,2,-3.8633,-5.5683,0.722,2.3615,8,2.43
62,1,1,-inf,-inf,0.0,0.0,0,3.68
63,1,5,-inf,-inf,0.0,0.0,0,3.68
64,1,4,-inf,-inf,0.0,0.0,0,3.68
65,1,3,-inf,-inf,0.0,0.0,0,3.68
66,1,4,-inf,-inf,0.0,0.0,0,3.68
67,1,2,-inf,-inf,0.0,0.0,0,3.68
68,1,4,-inf,-inf,0.0,0.0,0,3.68
69,1,4,-inf,-inf,0.0,0.0,0,3.68
70,1,4,-inf,-inf,0.0,0.0,0,3.68
71,1,5,-inf,-inf,0.0,0.0,0,3.68
72,1,3,-inf,-inf,0.0,0.0,0,3.68
73,1,3,-inf,-inf,0.0,0.0,0,3.68
74,1,4,-1.8202,-2.8194,0.0841,11.878,8,3.29
75,1,5,-1.6774,-2.6063,0.1188,7.8178,8,4.15
0,2,5,-inf,-inf,0.0,0.0,0,3.68
1,2,3,-inf,-inf,0.0,0.0,0,3.68
2,2,1,-inf,-inf,0.0,0.0,0,3.68
3,2,5,-inf,-inf,0.0,0.0,0,3.68
4,2,3,-1.561,-2.2751,0.2049,3.4842,8,3.37
5,2,4,-inf,-inf,0.0,0.0,0,3.68
6,2,2,-inf,-inf,0.0,0.0,0,3.68
7,2,4,-1.5775,-2.6227,0.1325,7.8872,8,3.51
8,2,2,-1.6519,-2.7252,0.1511,7.1036,8,2.25
9,2,3,-inf,-inf,0.0,0.0,0,3.68
10,2,4,-inf,-inf,0.0,0.0,0,3.68
11,2,4,-1.6525,-2.6309,0.1297,7.5447,8,3.81
12,2,5,-inf,-inf,0.0,0.0,0,3.68
13,2,2,-2.5334,-3.856,0.2956,4.4744,8,2.29
14,2,4,-inf,-inf,0.0,0.0,0,3.68
15,2,3,-inf,-inf,0.0,0.0,0,3.68
16,2,2,-inf,-inf,0.0,0.0,0,3.68
17,2,1,-2.5566,-4.0388,0.3131,4.7334,8,2.22
18,2,4,-inf,-inf,0.0,0.0,0,3.68
19,2,3,-inf,-inf,0.0,0.0,0,3.68
20,2,5,-inf,-inf,0.0,0.0,0,3.68
21,2,4,-3.2703,-4.7448,0.3728,3.9551,8,3.77
22,2,4,-inf,-inf,0.0,0.0,0,3.68
23,2,4,-inf,-inf,0.0,0.0,0,3.68
24,2,4,-inf,-inf,0.0,0.0,0,3.68
25,2,5,-inf,-inf,0.0,0.0,0,3.68
26,2,3,-inf,-inf,0.0,0.0,0,3.68
27,2,3,-inf,-inf,0.0,0.0,0,3.68
28,2,4,-inf,-inf,0.0,0.0,0,3.68
29,2,3,-inf,-inf,0.0,0.0,0,3.68
30,2,2,-inf,-inf,0.0,0.0,0,3.68
31,2,5,-inf,-inf,0.0,0.0,0,3.68
32,2,3,-inf,-inf,0.0,0.0,0,3.68
33,2,4,-inf,-inf,0.0,0.0,0,3.68
34,2,4,-inf,-inf,0.0,0.0,0,3.68
35,2,2,-1.855,-2.7755,0.073,12.6163,8,2.76
36,2,3,-inf,-inf,0.0,0.0,0,3.68
37,2,1,-1.7873,-2.7962,0.2878,3.5057,8,2.0
38,2,4,-inf,-inf,0.0,0.0,0,3.68
39,2,3,-inf,-inf,0.0,0.0,0,3.68
40,2,3,-inf,-inf,0.0,0.0,0,3.68
41,2,5,-2.9368,-4.1009,0.3918,2.9708,8,4.22
42,2,4,-inf,-inf,0.0,0.0,0,3.68
43,2,4,-inf,-inf,0.0,0.0,0,3.68
44,2,4,-inf,-inf,0.0,0.0,0,3.68
45,2,3,-inf,-inf,0.0,0.0,0,3.68
46,2,4,-inf,-inf,0.0,0.0,0,3.68
47,2,1,-1.6381,-2.6379,0.1964,5.0895,8,1.59
48,2,4,-inf,-inf,0.0,0.0,0,3.68
49,2,4,-inf,-inf,0.0,0.0,0,3.68
50,2,3,-2.4759,-3.4035,0.214,4.3339,8,3.0
51,2,5,-3.1675,-4.4558,0.4025,3.2008,8,4.5
52,2,2,-inf,-inf,0.0,0.0,0,3.68
53,2,5,-inf,-inf,0.0,0.0,0,3.68
54,2,4,-1.3879,-2.3455,0.1765,5.4248,8,3.99
55,2,5,-inf,-inf,0.0,0.0,0,3.68
56,2,5,-inf,-inf,0.0,0.0,0,3.68
57,2,4,-inf,-inf,0.0,0.0,0,3.68
58,2,2,-inf,-inf,0.0,0.0,0,3.68
59,2,4,-inf,-inf,0.0,0.0,0,3.68
60,2,2,-inf,-inf,0.0,0.0,0,3.68
61,2,3,-inf,-inf,0.0,0.0,0,3.68
62,2,2,-inf,-inf,0.0,0.0,0,3.68
63,2,5,-inf,-inf,0.0,0.0,0,3.68
64,2,4,-inf,-inf,0.0,0.0,0,3.68
65,2,3,-inf,-inf,0.0,0.0,0,3.68
66,2,4,-inf,-inf,0.0,0.0,0,3.68
67,2,4,-inf,-inf,0.0,0.0,0,3.68
68,2,4,-inf,-inf,0.0,0.0,0,3.68
69,2,2,-inf,-inf,0.0,0.0,0,3.68
70,2,3,-inf,-inf,0.0,0.0,0,3.68
71,2,5,-inf,-inf,0.0,0.0,0,3.68
72,2,4,-inf,-inf,0.0,0.0,0,3.68
73,2,4,-inf,-inf,0.0,0.0,0,3.68
74,2,4,-1.905,-2.9487,0.1701,6.1357,8,3.75
75,2,4,-3.1126,-4.2699,0.2485,4.6564,8,3.86
0,3,5,-inf,-inf,0.0,0.0,0,3.68
1,3,3,-inf,-inf,0.0,0.0,0,3.68
2,3,5,-inf,-inf,0.0,0.0,0,3.68
