user_id,file_id,rating,vader_compound,vader_pos,vader_neu,vader_neg,tb_polarity,tb_subjectivity,pred_rating
0,0,4,0.9966,0.139,0.852,0.009,0.177,0.3111,3.54
1,0,4,0.9559,0.083,0.867,0.05,0.0434,0.3904,3.37
2,0,4,0.9904,0.129,0.871,0.0,0.228,0.4419,3.71
3,0,5,0.999,0.157,0.827,0.016,0.1545,0.4471,4.85
4,0,1,0.984,0.093,0.877,0.031,0.2051,0.3911,2.35
5,0,4,0.9938,0.141,0.828,0.031,0.138,0.363,3.74
6,0,4,0.9989,0.163,0.806,0.031,0.0959,0.3339,3.79
7,0,1,0.7184,0.03,0.97,0.0,0.089,0.392,2.03
8,0,1,0.9945,0.182,0.784,0.033,0.1573,0.5359,2.38
9,0,4,0.9887,0.177,0.75,0.072,0.0512,0.5095,2.95
10,0,4,0.9927,0.088,0.894,0.019,0.2117,0.4481,3.75
11,0,4,0.9662,0.158,0.75,0.093,0.0833,0.4244,3.6
12,0,5,0.9949,0.15,0.77,0.081,0.1423,0.4323,4.21
13,0,4,0.9918,0.114,0.853,0.032,0.0732,0.2833,3.8
14,0,4,0.9935,0.124,0.836,0.04,0.1495,0.4882,3.9
15,0,2,0.9944,0.216,0.72,0.064,0.0675,0.3075,3.46
16,0,2,0.9988,0.2,0.738,0.063,0.0488,0.4479,3.01
17,0,1,0.8481,0.156,0.844,0.0,0.275,0.45,1.44
18,0,4,-0.9855,0.073,0.842,0.085,0.0126,0.3638,2.51
19,0,4,0.9886,0.111,0.852,0.038,0.0935,0.3551,3.87
20,0,5,0.854,0.072,0.892,0.036,0.2238,0.4871,3.88
21,0,1,0.9219,0.061,0.916,0.023,0.0346,0.4635,1.91
22,0,4,0.9929,0.112,0.87,0.019,0.1642,0.3663,4.21
23,0,4,0.9929,0.141,0.804,0.056,0.0661,0.2723,3.99
24,0,4,0.9864,0.137,0.846,0.018,0.3222,0.4222,3.78
25,0,4,0.9933,0.137,0.814,0.049,0.2105,0.3608,3.22
26,0,4,0.9607,0.101,0.865,0.033,0.2125,0.3426,3.63
27,0,3,-0.296,0.13,0.746,0.124,0.1738,0.2786,2.99
28,0,3,0.9959,0.16,0.769,0.071,0.1425,0.4697,3.29
29,0,3,0.9995,0.207,0.754,0.04,0.074,0.3662,3.35
30,0,5,0.9771,0.181,0.79,0.029,0.0893,0.625,3.28
31,0,2,0.0,0.0,1.0,0.0,0.1333,0.4833,3.24
32,0,4,0.998,0.134,0.821,0.044,0.0704,0.4733,3.72
33,0,4,0.9994,0.151,0.825,0.024,0.1511,0.4323,4.29
34,0,2,0.9961,0.189,0.773,0.039,0.087,0.5625,2.55
35,0,2,0.9963,0.135,0.865,0.0,0.1398,0.4333,2.93
36,0,3,0.995,0.13,0.816,0.053,0.1338,0.4342,3.24
37,0,4,0.995,0.132,0.844,0.024,0.0765,0.384,3.82
38,0,4,0.4939,0.174,0.826,0.0,0.0,0.0,3.38
39,0,3,0.9517,0.15,0.774,0.076,-0.025,0.2389,3.17
40,0,2,0.9981,0.174,0.753,0.072,0.1317,0.4977,2.73
41,0,4,0.0,0.0,1.0,0.0,-0.0778,0.2694,3.38
42,0,1,0.9964,0.161,0.764,0.075,0.2242,0.4169,3.24
43,0,5,0.9882,0.082,0.918,0.0,0.1,0.4032,4.29
44,0,3,0.9989,0.153,0.818,0.029,0.0989,0.4533,3.38
45,0,3,0.9992,0.178,0.799,0.023,0.15,0.43,4.4
46,0,4,0.996,0.156,0.768,0.076,0.1343,0.4181,3.16
47,0,1,0.8481,0.156,0.844,0.0,0.275,0.45,1.44
48,0,5,0.9834,0.147,0.758,0.095,0.1108,0.4933,4.36
49,0,4,0.9959,0.165,0.823,0.012,0.1476,0.3789,3.94
50,0,4,0.9988,0.19,0.798,0.012,0.1728,0.3723,3.95
51,0,1,0.0,0.0,1.0,0.0,0.0,0.6,1.93
52,0,4,0.9595,0.097,0.85,0.053,0.1032,0.416,3.74
53,0,5,0.9963,0.202,0.715,0.082,0.1536,0.4883,4.97
54,0,2,0.8481,0.156,0.844,0.0,0.275,0.45,1.44
55,0,4,0.998,0.117,0.85,0.033,0.1195,0.3693,3.59
56,0,5,0.9958,0.191,0.77,0.039,0.1605,0.5007,3.42
57,0,4,0.99,0.134,0.796,0.07,0.1416,0.4614,3.93
58,0,2,0.9941,0.15,0.799,0.051,0.125,0.4965,3.49
59,0,4,0.9994,0.114,0.868,0.018,0.1242,0.428,3.97
60,0,2,0.9919,0.081,0.919,0.0,0.1796,0.4506,2.78
61,0,4,0.0,0.0,1.0,0.0,0.45,0.825,3.84
62,0,2,0.9921,0.159,0.79,0.051,0.0949,0.5562,2.67
63,0,5,0.9994,0.108,0.854,0.038,0.0942,0.3745,3.62
64,0,4,0.9492,0.092,0.863,0.045,0.1279,0.424,3.87
65,0,3,0.9993,0.177,0.794,0.029,0.0602,0.4042,3.46
66,0,5,0.9969,0.133,0.84,0.026,0.1274,0.4228,4.33
67,0,4,0.9964,0.192,0.746,0.062,0.1523,0.406,3.89
68,0,4,0.9958,0.165,0.793,0.042,0.1236,0.4628,3.78
69,0,4,0.9972,0.154,0.828,0.017,0.1447,0.3,3.91
70,0,3,0.9638,0.045,0.955,0.0,0.2203,0.4932,3.15
71,0,5,0.9866,0.125,0.859,0.016,0.1537,0.4136,4.49
72,0,2,0.9902,0.114,0.835,0.051,0.0396,0.4008,3.91
73,0,4,0.9992,0.201,0.756,0.043,0.2145,0.524,3.56
74,0,3,0.9287,0.103,0.897,0.0,0.2875,0.625,3.18
75,0,5,0.6808,0.104,0.896,0.0,0.225,0.425,3.87
0,1,4,0.9962,0.144,0.836,0.02,0.1763,0.3995,3.86
1,1,4,0.9992,0.181,0.789,0.031,0.1448,0.4154,3.97
2,1,4,0.9217,0.123,0.848,0.029,0.05,0.175,3.26
3,1,5,0.999,0.157,0.828,0.016,0.1545,0.4471,4.88
4,1,1,0.0,0.0,1.0,0.0,0.1903,0.5003,2.14
5,1,4,0.996,0.191,0.774,0.035,0.1725,0.39,3.61
6,1,4,0.9948,0.134,0.825,0.04,0.1041,0.3798,3.43
7,1,1,0.9843,0.128,0.858,0.014,0.1986,0.5232,2.34
8,1,1,0.9881,0.13,0.848,0.023,0.0803,0.3879,2.97
9,1,3,0.9922,0.11,0.876,0.014,0.1921,0.3651,3.18
10,1,4,0.9973,0.159,0.819,0.022,0.1858,0.3627,3.96
11,1,4,0.9679,0.127,0.812,0.06,0.1199,0.449,3.82
12,1,5,0.9876,0.136,0.769,0.095,0.1076,0.4449,4.27
13,1,2,0.8225,0.132,0.868,0.0,-0.1,0.245,2.81
14,1,5,0.9648,0.167,0.726,0.107,0.0817,0.5675,3.33
15,1,2,0.9545,0.126,0.828,0.046,0.1625,0.4361,2.86
16,1,4,0.979,0.1,0.861,0.039,0.0491,0.4001,3.78
17,1,3,0.924,0.165,0.835,0.0,0.3182,0.4773,2.45
18,1,4,0.9952,0.127,0.849,0.024,0.0624,0.2652,3.9
19,1,4,0.9965,0.157,0.781,0.062,0.1263,0.3585,3.63
20,1,5,0.9974,0.169,0.81,0.021,0.1712,0.4744,4.52
21,1,4,0.0,0.0,1.0,0.0,0.1667,0.2361,3.78
22,1,3,0.9957,0.157,0.831,0.012,0.1926,0.3191,3.33
23,1,4,0.9929,0.141,0.804,0.056,0.0661,0.2723,3.99
24,1,4,0.9939,0.182,0.789,0.029,0.1179,0.4964,3.78
25,1,5,0.9966,0.164,0.789,0.048,0.0433,0.4103,3.96
26,1,5,0.9635,0.07,0.907,0.023,0.1254,0.3874,4.4
27,1,4,0.9926,0.153,0.77,0.077,0.1296,0.5302,3.49
28,1,4,0.9972,0.166,0.764,0.07,0.1411,0.4562,3.36
29,1,4,0.984,0.133,0.848,0.019,0.1271,0.2708,3.93
30,1,3,0.7754,0.103,0.814,0.083,0.0907,0.2833,3.06
31,1,5,0.9738,0.126,0.851,0.024,0.1167,0.5167,4.37
32,1,3,0.9941,0.181,0.744,0.075,0.1586,0.5046,3.45
33,1,5,0.999,0.198,0.719,0.083,0.1551,0.4788,4.47
34,1,2,0.9856,0.081,0.919,0.0,0.0974,0.3545,4.12
35,1,4,0.9898,0.253,0.722,0.026,0.2273,0.3909,3.67
36,1,4,0.8957,0.134,0.765,0.1,0.1646,0.4354,3.77
37,1,3,0.2778,0.104,0.817,0.079,0.45,0.7667,3.3
38,1,4,0.9924,0.167,0.78,0.053,0.0964,0.398,3.74
39,1,4,0.969,0.101,0.881,0.017,0.1236,0.3611,4.15
40,1,4,0.9943,0.123,0.831,0.047,0.1818,0.5494,3.4
41,1,4,0.0,0.0,1.0,0.0,0.25,0.45,3.16
42,1,3,0.9964,0.172,0.77,0.058,0.0949,0.4952,3.67
43,1,4,0.9761,0.11,0.83,0.06,0.1583,0.3194,3.89
44,1,3,0.9451,0.05,0.95,0.0,0.2038,0.3981,2.93
45,1,3,0.9987,0.158,0.835,0.007,0.2086,0.3872,3.24
46,1,4,0.9709,0.127,0.803,0.07,0.1545,0.4765,3.92
47,1,4,0.9501,0.202,0.798,0.0,0.25,0.25,3.42
48,1,4,0.9971,0.166,0.81,0.024,0.0948,0.3149,3.99
49,1,2,0.9969,0.201,0.768,0.03,0.1385,0.3375,2.74
50,1,5,0.975,0.174,0.77,0.056,0.0986,0.519,3.38
51,1,4,-0.7351,0.0,0.819,0.181,0.5,0.9,3.52
52,1,1,0.9913,0.15,0.767,0.083,0.0706,0.4795,2.5
53,1,5,0.9963,0.202,0.715,0.082,0.1536,0.4883,4.97
54,1,2,0.8481,0.156,0.844,0.0,0.275,0.45,1.44
55,1,4,0.9995,0.163,0.779,0.058,0.0658,0.4119,3.88
56,1,5,0.9939,0.103,0.877,0.02,0.1062,0.2713,4.46
57,1,4,0.9898,0.123,0.818,0.058,0.1442,0.4628,3.93
58,1,4,0.9941,0.15,0.799,0.051,0.125,0.4965,3.49
59,1,3,0.9957,0.142,0.834,0.024,0.1749,0.4557,3.48
60,1,3,0.8596,0.092,0.829,0.079,0.0817,0.3827,3.07
61,1,2,0.0,0.0,1.0,0.0,0.0,0.3333,2.77
62,1,1,0.9562,0.082,0.865,0.053,0.0474,0.4276,2.34
63,1,5,0.9998,0.214,0.78,0.005,0.123,0.3662,4.26
64,1,4,0.9492,0.092,0.863,0.045,0.1279,0.424,3.87
65,1,3,0.9983,0.182,0.809,0.009,0.1693,0.4061,3.72
66,1,4,0.9933,0.146,0.828,0.026,0.2427,0.4445,3.74
67,1,2,0.9941,0.169,0.73,0.1,0.1861,0.4393,3.03
68,1,4,0.9978,0.147,0.822,0.031,0.0958,0.3739,3.66
69,1,4,0.9902,0.142,0.78,0.078,0.1531,0.4733,4.07
70,1,4,0.9931,0.09,0.869,0.041,0.0695,0.4982,3.72
71,1,5,0.9973,0.204,0.749,0.047,0.097,0.3179,4.06
72,1,3,0.9968,0.121,0.866,0.013,0.1646,0.424,3.87
73,1,3,0.9988,0.172,0.817,0.011,0.1892,0.4026,3.45
74,1,4,0.9828,0.148,0.852,0.0,0.21,0.4381,3.56
75,1,5,0.9618,0.07,0.93,0.0,0.2294,0.4103,4.3
0,2,5,0.984,0.118,0.854,0.027,0.1804,0.5216,4.09
1,2,3,0.9925,0.136,0.815,0.049,0.117,0.3515,3.28
2,2,1,-0.9486,0.09,0.797,0.113,0.0091,0.5533,1.94
3,2,5,0.999,0.157,0.828,0.016,0.1545,0.4471,4.88
4,2,3,0.9926,0.22,0.762,0.018,0.2677,0.575,3.14
5,2,4,0.994,0.16,0.815,0.025,0.1815,0.4482,3.5
6,2,2,0.9949,0.141,0.82,0.039,0.1123,0.3922,2.84
7,2,4,0.9896,0.18,0.799,0.021,0.2963,0.7796,3.85
8,2,2,0.9881,0.13,0.848,0.023,0.0803,0.3879,2.97
9,2,3,0.9914,0.119,0.836,0.045,0.1042,0.4076,3.32
10,2,4,0.997,0.146,0.838,0.016,0.2095,0.3511,3.73
11,2,4,0.975,0.106,0.874,0.02,0.1176,0.2607,4.11
12,2,5,0.9974,0.171,0.766,0.063,0.1827,0.4446,4.18
13,2,2,-0.5267,0.0,0.934,0.066,0.0,0.125,2.7
14,2,4,0.8957,0.139,0.757,0.104,0.1234,0.4443,3.77
15,2,3,0.9775,0.085,0.891,0.024,0.0819,0.2903,3.38
16,2,2,0.9864,0.132,0.786,0.082,0.1458,0.4381,4.04
17,2,1,0.0,0.0,1.0,0.0,0.3333,0.55,2.0
18,2,4,0.9915,0.117,0.872,0.011,0.1475,0.5156,4.02
19,2,3,0.9967,0.181,0.793,0.026,0.1605,0.4439,3.46
20,2,5,0.9992,0.186,0.78,0.033,0.1663,0.4259,4.56
21,2,4,0.0,0.0,1.0,0.0,0.1667,0.2361,3.78
22,2,4,0.9988,0.251,0.741,0.008,0.1826,0.382,3.87
23,2,4,0.9929,0.141,0.804,0.056,0.0661,0.2723,3.99
24,2,4,0.9961,0.174,0.791,0.035,0.1557,0.4972,3.79
25,2,5,0.9978,0.17,0.808,0.022,0.208,0.4011,4.14
26,2,3,0.9922,0.148,0.775,0.077,0.0481,0.5557,2.94
27,2,3,0.9985,0.163,0.823,0.014,0.2179,0.4084,3.1
28,2,4,0.9941,0.204,0.712,0.084,0.1284,0.5231,3.79
29,2,3,0.9595,0.075,0.887,0.038,0.0633,0.3229,3.1
30,2,2,0.9705,0.077,0.898,0.025,0.217,0.4501,2.76
31,2,5,0.7415,0.092,0.832,0.076,0.1513,0.4333,4.1
32,2,3,0.3822,0.088,0.839,0.073,0.1021,0.3867,2.99
33,2,4,0.999,0.198,0.719,0.083,0.1551,0.4788,4.47
34,2,4,0.9963,0.172,0.736,0.092,0.0947,0.4262,3.84
35,2,2,0.9923,0.17,0.797,0.034,0.2113,0.4631,2.71
36,2,3,0.9957,0.159,0.767,0.073,0.1415,0.4326,3.21
37,2,1,0.2778,0.096,0.832,0.072,0.4333,0.5889,2.08
38,2,4,0.9935,0.15,0.817,0.033,0.1221,0.4904,3.78
39,2,3,0.9965,0.166,0.795,0.039,0.2798,0.3934,3.04
40,2,3,0.9971,0.197,0.737,0.067,0.2031,0.4802,3.23
41,2,5,0.0,0.0,1.0,0.0,0.05,0.5,3.35
42,2,4,0.9966,0.182,0.748,0.07,0.0438,0.4087,3.57
43,2,4,0.9969,0.157,0.827,0.016,0.1633,0.377,4.0
44,2,4,0.9987,0.173,0.82,0.007,0.2113,0.338,3.53
45,2,3,0.9978,0.135,0.834,0.031,0.0957,0.3668,3.47
46,2,4,0.9929,0.135,0.8,0.066,0.143,0.4575,3.9
47,2,1,0.8481,0.156,0.844,0.0,0.275,0.45,1.44
48,2,4,0.9971,0.166,0.81,0.024,0.0948,0.3149,3.99
49,2,4,0.9856,0.121,0.816,0.063,0.0964,0.4607,3.74
50,2,3,0.9666,0.211,0.789,0.0,0.2663,0.471,3.07
51,2,5,0.0,0.0,1.0,0.0,0.4,0.75,3.78
52,2,2,0.9959,0.165,0.774,0.06,0.1269,0.5193,2.67
53,2,5,0.9963,0.202,0.715,0.082,0.1536,0.4883,4.97
54,2,4,0.9902,0.189,0.787,0.024,0.2917,0.4139,3.75
55,2,5,0.9493,0.058,0.932,0.011,0.146,0.3463,4.06
56,2,5,0.9964,0.137,0.84,0.022,0.1911,0.3379,3.83
57,2,4,0.9929,0.164,0.79,0.046,0.2103,0.6088,3.59
58,2,2,0.9941,0.15,0.799,0.051,0.125,0.4965,3.49
59,2,4,0.9958,0.099,0.872,0.029,0.1427,0.449,3.89
60,2,2,0.9992,0.158,0.797,0.044,0.1287,0.5456,2.89
61,2,3,0.9791,0.077,0.889,0.034,0.2227,0.4802,2.97
62,2,2,0.9946,0.142,0.809,0.049,0.1073,0.4505,2.69
63,2,5,0.9983,0.192,0.747,0.06,0.0915,0.4919,4.3
64,2,4,0.9592,0.073,0.874,0.053,0.0347,0.3123,3.56
65,2,3,0.9995,0.241,0.717,0.041,0.1809,0.502,3.42
66,2,4,0.9876,0.098,0.891,0.011,0.3021,0.4564,3.9
67,2,4,0.9922,0.136,0.824,0.04,0.0897,0.3899,3.68
68,2,4,0.987,0.117,0.821,0.061,0.1348,0.3813,3.85
69,2,2,0.9932,0.158,0.773,0.07,0.1282,0.3827,2.66
70,2,3,0.9983,0.209,0.714,0.077,0.1058,0.4867,3.19
71,2,5,0.9934,0.098,0.887,0.016,0.0899,0.3163,4.53
72,2,4,0.9984,0.147,0.827,0.025,0.164,0.4028,3.82
73,2,4,0.9985,0.155,0.834,0.011,0.1548,0.3836,3.88
74,2,4,0.9705,0.219,0.74,0.041,0.2375,0.8125,3.54
75,2,4,0.0,0.0,1.0,0.0,0.4,0.5,3.0
0,3,5,0.9899,0.084,0.906,0.01,0.2805,0.3673,4.45
1,3,3,0.998,0.139,0.831,0.03,0.1914,0.3603,3.32
2,3,5,0.9988,0.153,0.838,0.01,0.231,0.3998,4.13
3,3,5,0.999,0.156,0.828,0.016,0.1545,0.4471,4.87
4,3,2,-0.4939,0.0,0.978,0.022,0.2576,0.7268,3.2
5,3,3,0.9925,0.15,0.814,0.036,0.0443,0.3612,3.35
6,3,2,0.9921,0.166,0.809,0.025,0.2006,0.359,3.4
7,3,1,0.6808,0.037,0.963,0.0,0.1679,0.3588,2.08
8,3,3,0.9979,0.152,0.836,0.012,0.2475,0.4942,3.18
9,3,3,0.9979,0.171,0.82,0.009,0.213,0.3622,3.23
10,3,2,0.9968,0.143,0.829,0.029,0.1318,0.3997,3.71
11,3,3,0.975,0.106,0.874,0.02,0.1176,0.2607,4.11
12,3,2,0.9968,0.15,0.784,0.067,0.171,0.392,2.88
13,3,3,0.0,0.0,1.0,0.0,0.5,0.5,3.05
14,3,4,0.9947,0.138,0.816,0.046,0.0087,0.4896,3.66
15,3,1,0.9968,0.208,0.712,0.08,0.0753,0.5021,2.37
16,3,4,0.9866,0.16,0.773,0.067,0.1102,0.4852,3.19
17,3,3,0.0,0.0,1.0,0.0,0.1667,0.3611,3.12
18,3,4,-0.9595,0.073,0.848,0.079,0.0131,0.3728,2.51
19,3,4,0.9985,0.19,0.735,0.074,0.0985,0.4521,3.8
20,3,5,0.9988,0.191,0.756,0.053,0.167,0.4573,4.56
21,3,4,0.0,0.0,1.0,0.0,0.1667,0.2361,3.78
22,3,2,0.9977,0.16,0.824,0.016,0.1979,0.354,3.46
23,3,4,0.9929,0.141,0.804,0.056,0.0661,0.2723,3.99
24,3,4,0.9744,0.109,0.848,0.043,0.158,0.4723,3.92
25,3,5,0.999,0.175,0.795,0.03,0.1704,0.4486,4.59
26,3,4,0.9964,0.157,0.812,0.031,0.1534,0.4817,3.87
27,3,3,0.9987,0.163,0.83,0.007,0.2427,0.4359,3.21
28,3,2,0.9866,0.146,0.811,0.043,0.1954,0.4713,2.69
29,3,4,0.9712,0.196,0.769,0.035,0.1333,0.4333,3.73
30,3,4,0.9977,0.198,0.79,0.011,0.2346,0.3917,3.49
31,3,4,0.992,0.148,0.837,0.015,0.1117,0.3586,3.78
32,3,2,0.9985,0.169,0.816,0.014,0.2431,0.3843,2.76
33,3,4,0.9971,0.12,0.849,0.03,0.2424,0.3984,3.79
34,3,2,0.9839,0.157,0.807,0.035,0.1926,0.4303,3.05
35,3,1,0.9848,0.216,0.757,0.027,0.3734,0.5063,2.35
36,3,3,0.9939,0.131,0.825,0.044,0.1542,0.5098,3.35
37,3,4,0.2778,0.1,0.825,0.076,0.45,0.5667,2.46
38,3,2,0.9943,0.161,0.768,0.071,0.113,0.3797,3.06
39,3,2,0.9559,0.083,0.881,0.036,0.1457,0.3116,2.78
40,3,4,0.9971,0.182,0.777,0.041,0.1847,0.5415,3.44
41,3,3,0.9559,0.082,0.874,0.044,0.1457,0.3237,2.99
42,3,4,0.9959,0.177,0.792,0.031,0.159,0.5211,3.58
43,3,5,0.9771,0.1,0.875,0.024,0.1303,0.5071,4.51
44,3,3,0.9648,0.087,0.871,0.043,0.195,0.4112,3.08
45,3,3,0.9965,0.176,0.796,0.028,0.3155,0.4556,3.06
46,3,5,0.9752,0.135,0.791,0.074,0.1512,0.5375,4.19
47,3,1,0.8481,0.156,0.844,0.0,0.275,0.45,1.44
48,3,4,0.9875,0.09,0.87,0.04,0.1155,0.3298,3.83
49,3,4,0.8474,0.086,0.855,0.059,0.1679,0.5496,3.47
50,3,5,0.9274,0.109,0.863,0.027,0.3388,0.5163,3.92
51,3,4,0.0,0.0,1.0,0.0,0.0,0.0,3.61
52,3,3,0.7875,0.119,0.787,0.094,0.1313,0.4363,3.79
53,3,5,0.9963,0.202,0.715,0.082,0.1536,0.4883,4.97
54,3,5,0.9989,0.17,0.807,0.023,0.1903,0.5128,4.28
55,3,5,0.9998,0.189,0.758,0.054,0.1031,0.4333,4.51
56,3,5,0.9904,0.142,0.788,0.071,0.1237,0.4482,4.35
57,3,4,0.9942,0.195,0.771,0.034,0.1359,0.5078,3.05
58,3,4,0.9941,0.15,0.799,0.051,0.125,0.4965,3.49
59,3,4,0.996,0.124,0.825,0.051,0.0759,0.4257,3.89
60,3,3,0.999,0.135,0.816,0.049,0.1242,0.3793,3.24
61,3,3,0.9959,0.181,0.795,0.025,0.1803,0.4033,3.34
62,3,2,0.9874,0.133,0.786,0.082,0.0978,0.4195,3.06
63,3,5,0.9945,0.107,0.893,0.0,-0.2693,0.6637,4.14
64,3,3,0.9975,0.167,0.803,0.029,0.2625,0.3996,3.35
65,3,4,0.9992,0.197,0.748,0.055,0.0093,0.4239,3.91
66,3,4,0.9985,0.112,0.863,0.025,0.1112,0.4104,3.82
67,3,4,0.9947,0.169,0.768,0.063,0.127,0.55,3.51
68,3,4,0.9956,0.109,0.849,0.043,0.0934,0.3311,3.93
69,3,4,0.9962,0.174,0.767,0.059,0.1083,0.5,3.5
70,3,3,0.9866,0.123,0.865,0.012,0.2054,0.5028,3.0
71,3,5,0.4939,0.1,0.9,0.0,-0.15,0.55,3.64
72,3,4,0.9985,0.169,0.808,0.023,0.1872,0.3922,3.79
73,3,4,0.9941,0.156,0.797,0.047,0.037,0.4051,4.06
74,3,4,0.9899,0.174,0.806,0.019,0.2258,0.5661,3.79
75,3,4,0.9918,0.126,0.863,0.012,0.3007,0.4762,3.84
0,4,5,0.9958,0.153,0.796,0.051,0.0428,0.4178,4.35
1,4,3,0.9986,0.152,0.798,0.05,0.1831,0.4876,3.29
2,4,2,0.9175,0.043,0.936,0.021,0.1888,0.5111,2.36
3,4,5,0.9961,0.122,0.833,0.045,0.1016,0.3823,3.53
4,4,2,0.0,0.0,1.0,0.0,0.1568,0.5364,2.28
5,4,4,0.9958,0.159,0.782,0.059,0.079,0.5517,3.36
6,4,2,0.9984,0.174,0.777,0.049,0.1185,0.4169,2.75
7,4,1,0.9896,0.164,0.8,0.036,0.1596,0.4722,3.74
8,4,2,0.9947,0.137,0.844,0.019,0.2289,0.452,3.78
9,4,3,0.9966,0.146,0.826,0.028,0.106,0.4261,3.21
10,4,3,0.9987,0.149,0.84,0.011,0.1778,0.3962,3.39
11,4,3,0.9983,0.175,0.79,0.035,0.1977,0.3556,3.05
12,4,5,0.9991,0.205,0.78,0.016,0.2064,0.4276,4.09
13,4,1,0.7476,0.137,0.863,0.0,0.0625,0.4375,3.13
14,4,4,0.9989,0.161,0.807,0.032,0.1513,0.4854,4.04
15,4,2,0.9655,0.13,0.813,0.057,0.115,0.5283,2.77
16,4,4,0.9975,0.164,0.757,0.079,0.1037,0.4725,3.81
17,4,4,0.9118,0.105,0.895,0.0,-0.4083,0.8667,3.54
18,4,3,0.996,0.095,0.878,0.027,0.0331,0.3363,3.48
19,4,3,0.9871,0.171,0.752,0.077,0.0693,0.4049,3.21
20,4,4,0.9986,0.158,0.811,0.031,0.2134,0.4753,3.68
21,4,4,0.0,0.0,1.0,0.0,0.1667,0.2361,3.78
22,4,4,0.9907,0.118,0.86,0.022,0.2259,0.3691,4.08
23,4,4,0.9929,0.141,0.804,0.056,0.0661,0.2723,3.99
24,4,4,0.9892,0.144,0.805,0.051,0.1123,0.4008,3.74
25,4,5,0.9941,0.14,0.831,0.029,0.1121,0.3594,4.21
26,4,3,0.9972,0.155,0.81,0.035,0.1543,0.5546,3.02
27,4,4,0.9973,0.149,0.825,0.026,0.1686,0.422,4.01
28,4,4,0.9959,0.155,0.804,0.041,0.2024,0.4635,3.57
29,4,1,0.4367,0.06,0.9,0.039,0.325,0.4542,1.97
30,4,4,0.9552,0.086,0.868,0.046,0.1625,0.375,3.64
31,4,5,0.9906,0.16,0.794,0.045,0.1433,0.4339,4.29
32,4,2,0.9953,0.119,0.873,0.009,0.1896,0.401,2.79
33,4,4,0.9985,0.143,0.845,0.013,0.1201,0.3172,3.92
34,4,1,0.9295,0.203,0.797,0.0,0.2292,0.3958,2.4
35,4,1,0.9928,0.149,0.835,0.016,0.1055,0.4448,2.54
36,4,2,0.9984,0.147,0.837,0.016,0.2062,0.3471,2.77
37,4,5,0.9996,0.203,0.778,0.019,0.2819,0.4597,4.41
38,4,3,0.9989,0.134,0.844,0.022,0.1758,0.4652,4.12
39,4,4,0.9929,0.129,0.845,0.026,0.1769,0.3941,3.82
40,4,4,0.9992,0.166,0.811,0.022,0.1733,0.3567,4.05
