user_id,true_avg_rating,pred_avg_rating,n_rows
0,2.8,2.83,5
1,3.6,3.12,5
2,1.0,2.4,5
3,5.0,3.59,5
4,1.0,2.21,5
5,1.8,2.19,5
6,2.4,2.73,5
7,2.2,2.51,5
8,1.8,2.67,5
9,3.0,2.58,5
10,2.4,2.24,5
11,3.0,2.87,5
12,3.0,2.79,5
13,1.2,1.88,5
14,2.6,2.82,5
15,4.0,3.6,5
16,1.0,2.33,5
17,2.8,2.69,5
18,3.6,3.51,5
19,1.8,1.98,5
20,1.4,2.11,5
21,3.4,3.05,5
22,3.2,2.27,5
23,4.0,3.94,5
24,2.6,3.23,5
25,4.0,2.76,5
26,3.6,2.57,5
27,1.0,1.89,5
28,3.0,3.42,5
29,1.2,1.74,5
30,2.8,2.3,5
31,2.2,2.36,5
32,2.2,2.22,5
33,4.6,3.09,5
34,3.0,3.02,5
35,1.8,2.12,5
36,1.4,2.23,5
37,2.4,2.2,5
38,2.6,2.77,5
39,2.0,2.08,5
40,3.0,3.14,5
41,2.0,2.18,5
42,1.6,2.17,5
43,2.2,2.48,5
44,3.6,2.61,5
45,1.8,2.6,5
46,2.6,1.82,5
47,1.0,1.76,5
48,2.0,2.43,5
49,1.2,2.3,5
50,2.2,2.51,5
51,3.8,2.59,5
52,2.2,2.17,5
53,1.8,2.09,5
54,2.2,1.93,5
55,4.8,3.28,5
56,2.2,2.72,5
57,1.0,2.11,5
58,1.4,1.76,5
59,3.8,2.61,5
60,2.4,2.52,5
61,4.8,3.08,5
62,1.0,1.95,5
63,4.8,2.66,5
64,4.0,2.87,5
65,2.4,1.56,5
66,3.8,3.69,5
67,4.2,3.24,5
68,2.4,2.27,5
69,2.8,2.75,5
70,2.4,2.91,5
71,3.6,2.61,5
72,2.4,1.82,5
73,1.6,2.18,5
74,1.6,2.74,5
75,3.4,2.88,5
