user_id,true_avg_rating,pred_avg_rating,n_rows
0,2.8,2.76,5
1,3.6,3.3,5
2,1.0,2.09,5
3,5.0,4.37,5
4,1.0,1.27,5
5,1.8,1.67,5
6,2.4,2.67,5
7,2.2,2.44,5
8,1.8,2.59,5
9,3.0,2.41,5
10,2.4,2.37,5
11,3.0,2.69,5
12,3.0,3.02,5
13,1.2,1.58,5
14,2.6,2.56,5
15,4.0,3.21,5
16,1.0,1.96,5
17,2.8,1.88,5
18,3.6,2.94,5
19,1.8,1.86,5
20,1.4,1.74,5
21,3.4,3.37,5
22,3.2,2.5,5
23,4.0,4.0,5
24,2.6,2.54,5
25,4.0,3.63,5
26,3.6,3.41,5
27,1.0,1.01,5
28,3.0,2.83,5
29,1.2,1.61,5
30,2.8,2.97,5
31,2.2,2.37,5
32,2.2,1.92,5
33,4.6,4.25,5
34,3.0,2.8,5
35,1.8,1.73,5
36,1.4,1.57,5
37,2.4,1.86,5
38,2.6,1.87,5
39,2.0,2.42,5
40,3.0,2.98,5
41,2.0,2.17,5
42,1.6,2.87,5
43,2.2,2.47,5
44,3.6,3.28,5
45,1.8,1.99,5
46,2.6,2.59,5
47,1.0,1.12,5
48,2.0,1.89,5
49,1.2,1.92,5
50,2.2,2.09,5
51,3.8,3.61,5
52,2.2,2.31,5
53,1.8,1.75,5
54,2.2,1.78,5
55,4.8,4.19,5
56,2.2,2.55,5
57,1.0,1.61,5
58,1.4,1.36,5
59,3.8,3.78,5
60,2.4,2.61,5
61,4.8,4.27,5
62,1.0,1.63,5
63,4.8,4.09,5
64,4.0,3.48,5
65,2.4,2.04,5
66,3.8,3.22,5
67,4.2,3.48,5
68,2.4,2.42,5
69,2.8,2.95,5
70,2.4,2.65,5
71,3.6,3.4,5
72,2.4,2.35,5
73,1.6,2.66,5
74,1.6,2.15,5
75,3.4,3.29,5
