user_id,true_avg_rating,pred_avg_rating,n_rows
0,2.8,2.74,5
1,3.6,3.14,5
2,1.0,1.93,5
3,5.0,4.38,5
4,1.0,1.28,5
5,1.8,1.91,5
6,2.4,2.75,5
7,2.2,2.52,5
8,1.8,2.46,5
9,3.0,2.54,5
10,2.4,2.41,5
11,3.0,2.83,5
12,3.0,2.96,5
13,1.2,1.91,5
14,2.6,2.57,5
15,4.0,3.44,5
16,1.0,2.15,5
17,2.8,2.33,5
18,3.6,2.85,5
19,1.8,2.01,5
20,1.4,1.7,5
21,3.4,3.21,5
22,3.2,3.29,5
23,4.0,3.98,5
24,2.6,2.58,5
25,4.0,3.48,5
26,3.6,3.35,5
27,1.0,1.01,5
28,3.0,3.01,5
29,1.2,1.54,5
30,2.8,2.79,5
31,2.2,2.38,5
32,2.2,2.09,5
33,4.6,3.96,5
34,3.0,2.98,5
35,1.8,2.04,5
36,1.4,1.72,5
37,2.4,2.03,5
38,2.6,2.1,5
39,2.0,2.46,5
40,3.0,2.67,5
41,2.0,2.2,5
42,1.6,2.75,5
43,2.2,2.6,5
44,3.6,3.27,5
45,1.8,2.03,5
46,2.6,2.39,5
47,1.0,1.21,5
48,2.0,2.33,5
49,1.2,1.77,5
50,2.2,2.05,5
51,3.8,3.22,5
52,2.2,2.33,5
53,1.8,1.63,5
54,2.2,1.61,5
55,4.8,3.82,5
56,2.2,2.44,5
57,1.0,1.48,5
58,1.4,1.33,5
59,3.8,3.56,5
60,2.4,2.76,5
61,4.8,4.1,5
62,1.0,1.65,5
63,4.8,3.61,5
64,4.0,3.4,5
65,2.4,2.28,5
66,3.8,3.29,5
67,4.2,3.53,5
68,2.4,2.37,5
69,2.8,2.92,5
70,2.4,2.87,5
71,3.6,3.41,5
72,2.4,2.5,5
73,1.6,2.38,5
74,1.6,2.14,5
75,3.4,2.9,5
