user_id,true_avg_rating,pred_avg_rating,n_rows
0,2.8,2.71,5
1,3.6,3.59,5
2,1.0,1.55,5
3,5.0,4.61,5
4,1.0,1.26,5
5,1.8,1.7,5
6,2.4,2.67,5
7,2.2,2.47,5
8,1.8,2.83,5
9,3.0,2.56,5
10,2.4,1.98,5
11,3.0,3.01,5
12,3.0,2.84,5
13,1.2,1.58,5
14,2.6,2.57,5
15,4.0,3.46,5
16,1.0,1.63,5
17,2.8,2.47,5
18,3.6,2.68,5
19,1.8,1.73,5
20,1.4,1.64,5
21,3.4,3.23,5
22,3.2,3.12,5
23,4.0,3.99,5
24,2.6,2.88,5
25,4.0,3.65,5
26,3.6,3.28,5
27,1.0,1.04,5
28,3.0,3.25,5
29,1.2,1.61,5
30,2.8,2.81,5
31,2.2,2.73,5
32,2.2,2.07,5
33,4.6,4.24,5
34,3.0,3.31,5
35,1.8,1.83,5
36,1.4,1.59,5
37,2.4,1.78,5
38,2.6,2.46,5
39,2.0,2.2,5
40,3.0,2.99,5
41,2.0,1.99,5
42,1.6,2.54,5
43,2.2,2.23,5
44,3.6,3.27,5
45,1.8,2.13,5
46,2.6,2.51,5
47,1.0,1.08,5
48,2.0,2.22,5
49,1.2,1.77,5
50,2.2,2.29,5
51,3.8,3.58,5
52,2.2,2.4,5
53,1.8,1.73,5
54,2.2,1.66,5
55,4.8,4.28,5
56,2.2,2.29,5
57,1.0,1.34,5
58,1.4,1.05,5
59,3.8,3.82,5
60,2.4,2.62,5
61,4.8,4.34,5
62,1.0,1.67,5
63,4.8,4.38,5
64,4.0,3.5,5
65,2.4,2.1,5
66,3.8,3.64,5
67,4.2,3.53,5
68,2.4,2.44,5
69,2.8,2.88,5
70,2.4,2.2,5
71,3.6,3.7,5
72,2.4,2.14,5
73,1.6,2.35,5
74,1.6,2.01,5
75,3.4,2.94,5
