user_id,true_avg_rating,pred_avg_rating,n_rows
0,2.8,2.89,5
1,3.6,3.2,5
2,1.0,1.93,5
3,5.0,4.28,5
4,1.0,1.55,5
5,1.8,1.56,5
6,2.4,2.51,5
7,2.2,2.64,5
8,1.8,2.95,5
9,3.0,2.14,5
10,2.4,2.26,5
11,3.0,3.07,5
12,3.0,3.13,5
13,1.2,1.89,5
14,2.6,2.42,5
15,4.0,3.42,5
16,1.0,1.94,5
17,2.8,2.2,5
18,3.6,2.87,5
19,1.8,1.93,5
20,1.4,1.64,5
21,3.4,3.1,5
22,3.2,2.8,5
23,4.0,4.0,5
24,2.6,2.58,5
25,4.0,3.39,5
26,3.6,3.38,5
27,1.0,1.03,5
28,3.0,3.01,5
29,1.2,1.55,5
30,2.8,2.83,5
31,2.2,2.07,5
32,2.2,2.11,5
33,4.6,4.12,5
34,3.0,3.0,5
35,1.8,1.87,5
36,1.4,1.6,5
37,2.4,1.77,5
38,2.6,1.94,5
39,2.0,2.15,5
40,3.0,2.75,5
41,2.0,2.25,5
42,1.6,2.7,5
43,2.2,2.45,5
44,3.6,3.51,5
45,1.8,2.06,5
46,2.6,2.34,5
47,1.0,1.1,5
48,2.0,2.14,5
49,1.2,1.69,5
50,2.2,2.01,5
51,3.8,3.4,5
52,2.2,2.45,5
53,1.8,1.72,5
54,2.2,1.56,5
55,4.8,4.2,5
56,2.2,2.4,5
57,1.0,1.8,5
58,1.4,1.16,5
59,3.8,3.74,5
60,2.4,2.73,5
61,4.8,3.93,5
62,1.0,1.64,5
63,4.8,4.02,5
64,4.0,3.09,5
65,2.4,2.44,5
66,3.8,3.38,5
67,4.2,3.47,5
68,2.4,2.34,5
69,2.8,2.83,5
70,2.4,2.58,5
71,3.6,3.67,5
72,2.4,2.32,5
73,1.6,2.6,5
74,1.6,2.31,5
75,3.4,3.06,5
