user_id,file_id,rating,avg_tree_depth,max_tree_depth,std_tree_depth,avg_dep_distance,root_children_mean,n_sentences,n_tokens,pred_rating
0,0,4,5.714,13.0,2.657,2.941,4.786,28,620,3.65
1,0,1,4.0,4.0,0.0,3.001,6.5,4,84,1.07
2,0,1,6.143,8.0,1.245,3.243,3.714,7,152,2.03
3,0,5,5.576,12.0,2.949,2.75,5.121,66,1620,4.77
4,0,1,4.0,5.0,1.0,2.958,8.0,4,88,1.0
5,0,3,6.0,10.0,3.428,3.062,3.75,8,156,2.56
6,0,4,7.429,9.0,1.591,2.788,4.143,7,204,3.51
7,0,4,6.676,10.0,2.138,3.559,5.618,34,1002,3.76
8,0,2,4.25,7.0,1.946,2.718,4.9,20,351,2.19
9,0,5,8.714,12.0,2.373,3.648,4.429,7,282,3.02
10,0,2,6.0,6.0,0.0,3.731,7.0,2,64,1.42
11,0,4,5.6,8.0,1.356,3.534,5.2,10,230,3.59
12,0,1,4.9,7.0,1.947,2.789,5.5,20,440,1.95
13,0,2,5.9,11.0,1.972,3.116,5.7,10,286,2.22
14,0,4,6.2,8.0,1.47,3.214,5.0,5,142,2.83
15,0,1,8.0,10.0,2.0,3.559,5.5,4,132,1.75
16,0,1,6.2,8.0,1.6,2.941,5.8,10,214,1.76
17,0,1,4.5,6.0,1.5,2.952,7.5,4,76,1.0
18,0,4,6.071,8.0,2.404,2.756,5.429,14,349,3.09
19,0,5,5.0,12.0,2.619,2.791,3.857,21,448,4.2
20,0,1,4.5,5.0,0.5,2.816,8.5,4,84,1.04
21,0,1,4.5,6.0,1.5,2.719,5.0,4,66,1.18
22,0,4,4.571,6.0,1.294,3.25,5.857,7,138,1.36
23,0,4,6.333,10.0,2.211,3.525,5.778,9,234,4.0
24,0,1,5.0,7.0,1.871,2.395,5.0,8,116,1.68
25,0,5,4.654,9.0,2.464,2.68,4.615,26,565,3.22
26,0,4,5.0,7.0,1.764,3.317,4.667,9,192,3.42
27,0,1,5.556,9.0,2.006,2.865,6.333,9,183,1.01
28,0,4,5.333,6.0,0.943,3.282,6.667,6,158,2.73
29,0,1,4.0,5.0,1.0,3.025,8.5,4,82,1.01
30,0,1,5.333,7.0,1.247,2.795,4.667,6,106,2.48
31,0,3,7.0,7.0,0.0,3.196,3.0,2,42,2.9
32,0,1,4.5,5.0,0.5,3.274,5.0,4,90,1.27
33,0,4,5.0,9.0,2.332,2.521,4.562,32,635,3.62
34,0,4,5.125,7.0,1.763,3.001,4.875,16,392,3.49
35,0,1,4.0,5.0,1.0,3.197,8.0,4,94,1.01
36,0,2,4.0,7.0,2.449,2.35,4.0,6,94,1.82
37,0,1,4.0,4.0,0.0,3.342,8.0,2,56,1.02
38,0,1,3.0,3.0,0.0,2.603,5.0,2,26,1.24
39,0,2,5.0,7.0,1.754,2.646,4.308,13,212,3.22
40,0,3,6.0,8.0,1.871,3.163,4.75,8,208,2.92
41,0,2,10.0,10.0,0.0,3.975,4.0,1,40,2.33
42,0,1,5.0,7.0,1.095,3.255,3.8,10,186,3.01
43,0,2,4.591,9.0,2.082,2.689,4.273,44,752,2.93
44,0,5,6.75,9.0,2.332,3.273,5.5,8,270,4.15
45,0,3,5.5,8.0,1.5,3.099,5.667,12,270,2.65
46,0,2,4.333,5.0,0.943,3.077,4.333,6,120,2.18
47,0,1,5.714,7.0,1.278,3.087,6.0,7,168,1.4
48,0,1,5.0,6.0,1.0,3.338,5.5,4,84,1.17
49,0,1,6.037,9.0,1.452,2.835,4.667,27,506,2.3
50,0,1,4.5,6.0,1.5,2.871,5.0,4,74,1.17
51,0,1,1.0,1.0,0.0,1.5,2.0,1,2,2.34
52,0,3,5.111,6.0,1.523,2.965,3.667,9,156,3.03
53,0,1,4.5,5.0,0.5,3.271,5.5,4,78,1.86
54,0,1,4.0,6.0,1.414,3.133,7.667,6,106,1.58
55,0,5,5.719,12.0,2.809,2.971,5.438,32,821,3.66
56,0,1,5.0,5.0,0.0,2.442,4.0,2,26,2.89
57,0,1,6.778,14.0,3.425,2.816,4.889,18,514,3.78
58,0,1,6.5,8.0,1.118,3.088,5.75,8,196,1.17
59,0,5,5.944,12.0,2.718,3.02,4.926,54,1306,4.56
60,0,4,4.815,8.0,1.785,2.571,4.407,54,900,3.79
61,0,5,5.0,5.0,0.0,2.071,2.0,1,14,4.42
62,0,1,6.714,10.0,2.814,2.912,3.714,7,142,1.72
63,0,5,5.36,13.0,2.423,3.077,5.22,100,2186,4.03
64,0,4,6.364,9.0,1.72,2.748,5.455,11,250,3.86
65,0,1,2.5,3.0,0.5,1.944,5.0,2,18,1.39
66,0,4,5.444,10.0,1.892,2.882,5.378,45,925,3.86
67,0,4,5.6,10.0,2.332,2.927,5.6,10,246,3.68
68,0,3,6.615,10.0,2.588,3.214,5.154,13,368,3.05
69,0,5,5.783,9.0,1.887,2.965,4.696,46,974,4.38
70,0,1,4.667,5.0,0.471,3.093,6.0,6,126,1.12
71,0,1,5.0,5.0,0.0,3.104,8.0,2,40,1.07
72,0,4,6.4,11.0,2.939,2.663,3.8,10,174,3.31
73,0,2,6.389,14.0,2.711,3.143,5.111,18,545,3.03
74,0,2,6.571,13.0,2.871,3.056,5.429,21,501,2.59
75,0,4,7.0,7.0,0.0,3.05,2.0,1,20,3.89
0,1,1,6.0,8.0,2.0,3.209,8.0,4,118,1.26
1,1,4,6.158,11.0,2.498,2.661,3.737,19,433,3.83
2,1,1,6.389,10.0,2.24,3.069,5.167,18,456,3.29
3,1,5,5.368,12.0,2.92,2.789,5.176,68,1597,4.77
4,1,1,5.0,7.0,2.0,3.066,8.5,4,102,1.13
5,1,3,4.222,6.0,1.812,2.798,3.667,9,122,2.65
6,1,1,5.143,9.0,2.474,2.726,3.857,7,138,2.15
7,1,2,7.083,9.0,1.935,3.151,5.0,12,330,2.54
8,1,1,3.459,8.0,2.035,2.447,5.054,37,473,2.65
9,1,1,5.0,6.0,1.0,2.906,7.0,4,66,1.04
10,1,1,4.909,6.0,0.668,3.087,4.909,11,220,1.99
11,1,3,5.294,9.0,2.051,2.892,4.235,34,670,3.26
12,1,2,6.125,11.0,2.421,2.874,4.5,16,381,2.94
13,1,1,3.0,5.0,1.633,2.518,3.0,3,28,1.67
14,1,4,4.833,7.0,2.409,2.471,4.167,12,204,3.08
15,1,4,6.333,8.0,2.357,4.992,9.667,3,218,3.29
16,1,1,5.0,6.0,0.816,2.808,6.333,6,116,1.32
17,1,4,4.0,5.0,0.816,2.607,6.0,6,102,2.63
18,1,4,8.667,12.0,2.494,2.719,4.667,6,158,2.47
19,1,1,3.0,5.0,1.936,2.135,4.5,8,120,1.39
20,1,1,4.5,6.0,1.5,2.952,8.5,4,96,1.0
21,1,4,6.0,6.0,0.0,2.4,3.0,1,20,3.91
22,1,4,4.467,7.0,1.147,2.969,4.867,30,540,3.26
23,1,4,6.333,10.0,2.211,3.525,5.778,9,234,4.0
24,1,4,7.667,9.0,0.943,3.131,4.333,6,176,3.2
25,1,4,4.474,12.0,2.754,2.515,4.07,57,922,4.28
26,1,5,5.571,9.0,3.403,2.282,4.238,21,498,4.14
