user_id,file_id,rating,token_count,total_connectives,connective_density_per_100w,unique_connectives,connective_entropy,count_temporal,count_comparison,count_cause,count_expansion,density_temporal,density_comparison,density_cause,density_expansion,enumeration_count,avg_connective_position,pred_rating
0,0,4,520,18,3.4615,2,0.7642,0,0,4,14,0.0,0.0,0.7692,2.6923,0,0.5268,3.62
1,0,1,70,2,2.8571,1,-0.0,0,2,0,0,0.0,2.8571,0.0,0.0,0,0.3134,1.02
2,0,1,138,2,1.4493,1,-0.0,2,0,0,0,1.4493,0.0,0.0,0.0,2,0.4948,2.38
3,0,5,1384,94,6.7919,3,0.7156,0,1,15,78,0.0,0.0723,1.0838,5.6358,0,0.5315,4.63
4,0,1,72,6,8.3333,2,0.9183,0,2,0,4,0.0,2.7778,0.0,5.5556,0,0.4823,1.01
5,0,3,132,6,4.5455,2,0.9183,0,0,2,4,0.0,0.0,1.5152,3.0303,0,0.6047,2.56
6,0,4,166,6,3.6145,2,0.9183,0,0,2,4,0.0,0.0,1.2048,2.4096,0,0.4713,3.2
7,0,4,814,26,3.1941,3,0.9957,0,0,12,14,0.0,0.0,1.4742,1.7199,0,0.5321,3.93
8,0,2,299,20,6.689,7,1.7394,1,7,4,8,0.3344,2.3411,1.3378,2.6756,0,0.4867,2.59
9,0,5,226,14,6.1947,2,0.9852,0,0,8,6,0.0,0.0,3.5398,2.6549,0,0.5087,3.04
10,0,2,56,4,7.1429,2,1.0,0,2,0,2,0.0,3.5714,0.0,3.5714,0,0.4898,1.34
11,0,4,186,12,6.4516,4,1.2516,2,0,2,8,1.0753,0.0,1.0753,4.3011,0,0.5139,3.45
12,0,1,373,12,3.2172,4,1.3844,0,3,2,7,0.0,0.8043,0.5362,1.8767,0,0.5354,1.61
13,0,2,256,10,3.9062,4,1.2955,0,3,6,1,0.0,1.1719,2.3438,0.3906,0,0.4717,2.14
14,0,4,124,10,8.0645,2,0.7219,0,0,2,8,0.0,0.0,1.6129,6.4516,0,0.5335,3.26
15,0,1,126,4,3.1746,2,1.0,0,2,2,0,0.0,1.5873,1.5873,0.0,0,0.4834,1.35
16,0,1,176,8,4.5455,3,0.8113,0,2,0,6,0.0,1.1364,0.0,3.4091,0,0.5187,1.66
17,0,1,64,2,3.125,1,-0.0,0,2,0,0,0.0,3.125,0.0,0.0,0,0.4131,1.01
18,0,4,290,9,3.1034,5,1.5305,0,3,2,4,0.0,1.0345,0.6897,1.3793,0,0.4741,2.17
19,0,5,377,19,5.0398,2,0.6292,0,3,0,16,0.0,0.7958,0.0,4.244,0,0.5405,4.27
20,0,1,70,6,8.5714,2,0.9183,0,2,0,4,0.0,2.8571,0.0,5.7143,0,0.472,1.01
21,0,1,56,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.47
22,0,4,118,2,1.6949,1,-0.0,0,0,0,2,0.0,0.0,0.0,1.6949,0,0.6121,1.94
23,0,4,196,10,5.102,1,-0.0,0,0,0,10,0.0,0.0,0.0,5.102,0,0.4547,3.97
24,0,1,100,2,2.0,1,-0.0,0,0,0,2,0.0,0.0,0.0,2.0,0,0.509,2.11
25,0,5,475,22,4.6316,4,1.2679,1,1,5,15,0.2105,0.2105,1.0526,3.1579,0,0.5062,3.55
26,0,4,162,4,2.4691,2,1.0,0,0,2,2,0.0,0.0,1.2346,1.2346,0,0.4663,3.34
27,0,1,159,7,4.4025,2,0.8631,0,2,0,5,0.0,1.2579,0.0,3.1447,0,0.5721,1.03
28,0,4,136,8,5.8824,3,0.8113,2,0,0,6,1.4706,0.0,0.0,4.4118,2,0.517,3.52
