user_id,file_id,sentence_length,rating,pred_rating
0,0,19.26,4,3.43
1,0,17.5,1,1.77
2,0,15.33,1,1.71
3,0,24.28,5,2.94
4,0,18.0,1,2.99
5,0,12.0,3,4.08
6,0,18.44,4,2.4
7,0,22.61,4,2.61
8,0,14.95,2,2.71
9,0,20.55,5,1.6
10,0,28.0,2,2.32
11,0,16.91,4,3.71
12,0,14.35,1,1.56
13,0,21.33,2,2.5
14,0,24.8,4,3.37
15,0,12.6,1,3.21
16,0,17.6,1,1.84
17,0,16.0,1,1.82
18,0,20.71,4,3.9
19,0,16.39,5,4.03
20,0,17.5,1,1.77
21,0,14.0,1,2.37
22,0,13.11,4,1.2
23,0,21.78,4,3.94
24,0,12.5,1,3.22
25,0,14.39,5,1.59
26,0,18.0,4,2.99
27,0,17.67,1,1.89
28,0,19.43,4,3.77
29,0,17.0,1,1.19
30,0,16.0,1,1.82
31,0,19.0,3,2.24
32,0,19.5,1,1.23
33,0,13.26,4,2.02
34,0,14.64,4,2.89
35,0,19.0,1,2.24
36,0,13.0,2,1.41
37,0,23.0,1,2.71
38,0,11.0,1,1.54
39,0,14.0,2,2.37
40,0,24.86,3,3.37
41,0,38.0,2,2.59
42,0,14.18,1,1.76
43,0,12.75,2,2.89
44,0,22.1,5,3.4
45,0,19.5,3,1.23
46,0,17.67,2,1.89
47,0,20.43,1,1.86
48,0,8.6,1,1.82
49,0,14.62,1,2.44
50,0,16.0,1,1.82
51,0,2.0,1,1.25
52,0,10.31,3,2.81
53,0,16.5,1,2.16
54,0,15.0,1,2.11
55,0,12.93,5,2.56
56,0,12.0,1,4.08
57,0,16.56,1,2.58
58,0,22.0,1,1.78
59,0,22.48,5,3.81
60,0,11.93,4,3.93
61,0,14.0,5,2.37
62,0,14.22,1,1.77
63,0,12.64,5,3.28
64,0,20.18,4,3.9
65,0,7.0,1,1.38
66,0,18.71,4,3.44
67,0,22.22,4,4.18
68,0,24.46,3,2.48
69,0,18.93,5,3.99
70,0,17.33,1,2.0
71,0,17.0,1,1.19
72,0,15.0,4,2.11
73,0,18.1,2,2.63
74,0,15.1,2,3.02
75,0,20.0,4,3.23
0,1,25.5,1,3.44
1,1,21.41,4,4.13
2,1,21.22,1,3.19
3,1,24.23,5,3.9
4,1,22.0,1,1.78
5,1,11.33,3,2.67
6,1,11.09,1,2.76
7,1,22.67,2,1.98
8,1,12.24,1,2.87
9,1,14.0,1,2.37
10,1,17.4,1,1.22
11,1,18.27,3,2.77
12,1,13.62,2,2.27
13,1,8.0,1,1.77
14,1,15.82,4,2.22
15,1,18.0,4,2.99
16,1,16.67,1,2.7
17,1,11.25,4,3.13
18,1,12.5,4,3.22
19,1,17.0,1,1.19
20,1,20.5,1,1.6
21,1,20.0,4,3.23
22,1,14.73,4,2.95
23,1,21.78,4,3.94
24,1,25.0,4,3.55
25,1,12.02,4,4.07
26,1,17.68,5,2.4
27,1,17.67,1,1.89
28,1,25.2,1,3.56
29,1,17.71,1,2.0
30,1,18.0,1,2.99
31,1,9.92,4,2.31
32,1,23.27,4,3.14
33,1,15.15,4,4.1
34,1,22.17,2,4.18
35,1,14.91,5,3.77
36,1,11.82,1,3.05
37,1,13.33,4,3.1
38,1,14.91,3,3.77
39,1,13.25,3,1.95
40,1,20.86,4,4.06
41,1,17.41,1,1.24
42,1,12.22,1,2.76
43,1,19.14,4,3.71
