user_id,true_avg_rating,pred_avg_rating,n_rows
0,4.6,4.2,5
1,4.2,4.13,5
2,3.6,4.13,5
3,5.0,4.13,5
4,4.4,4.13,5
5,3.6,4.13,5
6,4.0,4.1,5
7,4.2,4.12,5
8,3.0,3.83,5
9,3.6,4.13,5
10,2.8,4.13,5
11,3.8,4.03,5
12,5.0,4.09,5
13,3.2,3.78,5
14,5.0,4.09,5
15,4.2,4.1,5
16,3.8,4.13,5
17,3.8,3.67,5
18,3.4,4.13,5
19,5.0,4.13,5
20,5.0,4.13,5
21,4.0,4.03,5
22,4.0,4.13,5
23,3.8,3.82,5
24,4.0,4.09,5
25,4.0,4.13,5
26,4.4,4.22,5
27,3.6,4.13,5
28,3.0,4.13,5
29,4.2,4.05,5
30,3.8,4.11,5
31,4.4,4.1,5
32,4.6,4.13,5
33,4.6,4.13,5
34,4.2,4.12,5
35,1.8,3.73,5
36,4.2,4.13,5
37,5.0,4.13,5
38,4.2,4.13,5
39,2.4,4.13,5
40,3.2,3.8,5
41,4.8,4.05,5
42,4.6,4.13,5
43,5.0,4.22,5
44,3.6,4.13,5
45,2.8,4.13,5
46,5.0,4.13,5
47,4.6,4.13,5
48,4.0,3.95,5
49,4.8,4.13,5
50,4.4,4.1,5
51,4.4,4.13,5
52,3.4,3.79,5
53,5.0,4.13,5
54,4.4,4.13,5
55,4.8,4.13,5
56,4.2,4.13,5
57,4.4,4.1,5
58,2.0,4.13,5
59,4.0,4.21,5
60,3.8,4.13,5
61,5.0,4.13,5
62,4.0,4.13,5
63,5.0,4.13,5
64,5.0,4.21,5
65,3.6,3.93,5
66,4.0,4.11,5
67,4.0,4.13,5
68,3.8,4.13,5
69,4.0,4.13,5
70,3.8,3.96,5
71,5.0,4.06,5
72,4.6,4.13,5
73,3.6,4.18,5
74,3.8,3.84,5
75,4.6,4.11,5
