user_id,file_id,rating,ll_orig,mean_ll_pert,std_ll_pert,curvature_z,n_perturb_used,pred_rating
0,0,4,-inf,-inf,0.0,0.0,0,4.13
1,0,4,-inf,-inf,0.0,0.0,0,4.13
2,0,4,-inf,-inf,0.0,0.0,0,4.13
3,0,5,-inf,-inf,0.0,0.0,0,4.13
4,0,5,-inf,-inf,0.0,0.0,0,4.13
5,0,4,-inf,-inf,0.0,0.0,0,4.13
6,0,4,-inf,-inf,0.0,0.0,0,4.13
7,0,5,-inf,-inf,0.0,0.0,0,4.13
8,0,3,-inf,-inf,0.0,0.0,0,4.13
9,0,4,-inf,-inf,0.0,0.0,0,4.13
10,0,3,-inf,-inf,0.0,0.0,0,4.13
11,0,3,-2.5538,-3.0425,0.0582,8.39,8,3.61
12,0,5,-2.6065,-3.1255,0.1243,4.1741,8,3.9
13,0,1,-2.5947,-2.9505,0.0861,4.1316,8,2.5
14,0,5,-inf,-inf,0.0,0.0,0,4.13
15,0,5,-inf,-inf,0.0,0.0,0,4.13
16,0,4,-inf,-inf,0.0,0.0,0,4.13
17,0,4,-inf,-inf,0.0,0.0,0,4.13
18,0,4,-inf,-inf,0.0,0.0,0,4.13
19,0,5,-inf,-inf,0.0,0.0,0,4.13
20,0,5,-inf,-inf,0.0,0.0,0,4.13
21,0,4,-inf,-inf,0.0,0.0,0,4.13
22,0,5,-inf,-inf,0.0,0.0,0,4.13
23,0,4,-2.4381,-2.8622,0.0847,5.0062,8,3.91
24,0,4,-2.2361,-2.7195,0.1032,4.6827,8,3.94
25,0,5,-inf,-inf,0.0,0.0,0,4.13
26,0,5,-inf,-inf,0.0,0.0,0,4.13
27,0,3,-inf,-inf,0.0,0.0,0,4.13
28,0,3,-inf,-inf,0.0,0.0,0,4.13
29,0,4,-inf,-inf,0.0,0.0,0,4.13
30,0,4,-inf,-inf,0.0,0.0,0,4.13
31,0,5,-inf,-inf,0.0,0.0,0,4.13
32,0,5,-inf,-inf,0.0,0.0,0,4.13
33,0,4,-inf,-inf,0.0,0.0,0,4.13
34,0,5,-inf,-inf,0.0,0.0,0,4.13
35,0,4,-2.7545,-3.2088,0.0867,5.2394,8,3.88
36,0,5,-inf,-inf,0.0,0.0,0,4.13
37,0,5,-inf,-inf,0.0,0.0,0,4.13
38,0,4,-inf,-inf,0.0,0.0,0,4.13
39,0,2,-inf,-inf,0.0,0.0,0,4.13
40,0,4,-inf,-inf,0.0,0.0,0,4.13
41,0,5,-inf,-inf,0.0,0.0,0,4.13
42,0,5,-inf,-inf,0.0,0.0,0,4.13
43,0,5,-inf,-inf,0.0,0.0,0,4.13
44,0,2,-inf,-inf,0.0,0.0,0,4.13
45,0,2,-inf,-inf,0.0,0.0,0,4.13
46,0,5,-inf,-inf,0.0,0.0,0,4.13
47,0,4,-inf,-inf,0.0,0.0,0,4.13
48,0,4,-2.9733,-3.4034,0.1087,3.9562,8,3.45
49,0,5,-inf,-inf,0.0,0.0,0,4.13
50,0,4,-inf,-inf,0.0,0.0,0,4.13
51,0,4,-inf,-inf,0.0,0.0,0,4.13
52,0,4,-3.2155,-3.5935,0.0745,5.0737,8,3.95
53,0,5,-inf,-inf,0.0,0.0,0,4.13
54,0,5,-inf,-inf,0.0,0.0,0,4.13
55,0,5,-inf,-inf,0.0,0.0,0,4.13
56,0,5,-inf,-inf,0.0,0.0,0,4.13
57,0,5,-inf,-inf,0.0,0.0,0,4.13
58,0,2,-inf,-inf,0.0,0.0,0,4.13
59,0,4,-inf,-inf,0.0,0.0,0,4.13
60,0,4,-inf,-inf,0.0,0.0,0,4.13
61,0,5,-inf,-inf,0.0,0.0,0,4.13
62,0,4,-inf,-inf,0.0,0.0,0,4.13
63,0,5,-inf,-inf,0.0,0.0,0,4.13
64,0,5,-inf,-inf,0.0,0.0,0,4.13
65,0,4,-inf,-inf,0.0,0.0,0,4.13
66,0,4,-inf,-inf,0.0,0.0,0,4.13
67,0,4,-inf,-inf,0.0,0.0,0,4.13
68,0,4,-inf,-inf,0.0,0.0,0,4.13
69,0,4,-inf,-inf,0.0,0.0,0,4.13
70,0,5,-inf,-inf,0.0,0.0,0,4.13
71,0,5,-inf,-inf,0.0,0.0,0,4.13
72,0,5,-inf,-inf,0.0,0.0,0,4.13
73,0,4,-inf,-inf,0.0,0.0,0,4.13
74,0,5,-inf,-inf,0.0,0.0,0,4.13
75,0,4,-inf,-inf,0.0,0.0,0,4.13
0,1,4,-3.1731,-3.4996,0.062,5.263,8,3.89
1,1,4,-inf,-inf,0.0,0.0,0,4.13
2,1,2,-inf,-inf,0.0,0.0,0,4.13
