user_id,file_id,rating,avg_tree_depth,max_tree_depth,std_tree_depth,avg_dep_distance,root_children_mean,n_sentences,n_tokens,pred_rating
0,0,4,3.926,8.0,2.243,2.407,3.778,27,484,4.03
1,0,4,5.158,9.0,2.498,4.176,3.842,19,1146,4.15
2,0,4,4.19,9.0,1.842,3.296,4.286,21,545,4.0
3,0,5,4.186,8.0,2.004,2.946,4.136,59,1693,4.57
4,0,5,5.296,9.0,1.559,3.226,3.407,27,833,4.56
5,0,4,5.0,12.0,2.53,3.136,3.96,25,632,4.26
6,0,4,6.917,17.0,3.475,3.903,4.833,12,665,3.69
7,0,5,5.019,9.0,1.855,3.152,4.442,52,1146,4.51
8,0,3,4.828,10.0,1.931,2.721,4.31,29,486,3.37
9,0,4,6.462,12.0,2.561,3.421,3.923,13,685,4.1
10,0,3,5.25,9.0,1.785,3.446,4.562,16,728,3.4
11,0,3,5.3,9.0,2.283,2.724,2.9,10,284,3.14
12,0,5,4.615,9.0,2.058,2.74,4.231,13,342,4.32
13,0,1,5.2,9.0,2.638,3.41,5.2,5,472,2.59
14,0,5,5.5,10.0,2.363,3.559,5.0,12,619,4.65
15,0,5,5.5,11.0,3.065,3.19,3.571,14,626,3.94
16,0,4,5.63,10.0,2.163,3.809,4.926,27,916,4.21
17,0,4,4.583,8.0,1.656,2.992,4.688,48,971,3.98
18,0,4,6.292,12.0,2.525,3.519,4.75,24,903,4.35
19,0,5,4.942,14.0,2.699,3.431,4.663,104,3688,4.62
20,0,5,5.417,10.0,2.08,2.864,4.25,24,741,4.61
21,0,4,7.375,12.0,2.826,3.508,5.5,8,616,4.07
22,0,5,5.55,9.0,1.359,3.116,4.35,20,623,3.42
23,0,4,5.1,7.0,1.758,3.261,4.5,10,382,3.98
24,0,4,5.3,9.0,2.326,3.978,5.0,10,440,3.95
25,0,5,6.0,11.0,2.563,3.207,4.0,14,762,4.05
26,0,5,4.261,9.0,1.916,3.765,4.348,23,1123,4.71
27,0,3,4.552,9.0,1.763,2.848,3.793,58,986,3.63
28,0,3,7.231,12.0,3.117,4.157,5.615,13,1249,3.61
29,0,4,6.0,14.0,3.808,3.326,3.875,16,684,4.06
30,0,4,5.462,9.0,1.985,3.127,4.269,26,742,4.15
31,0,5,5.19,9.0,1.763,4.018,3.905,21,700,3.88
32,0,5,4.59,14.0,2.826,2.953,4.513,39,1488,4.76
33,0,4,4.06,10.0,1.907,2.547,3.821,67,1131,4.25
34,0,5,7.0,12.0,2.404,3.84,4.444,9,583,4.59
35,0,4,5.636,9.0,1.666,3.642,4.909,11,453,3.93
36,0,5,5.867,10.0,1.857,3.746,4.933,15,637,4.46
37,0,5,4.95,11.0,2.519,3.126,4.0,20,688,4.56
38,0,4,4.913,8.0,1.38,2.957,3.87,23,540,3.96
39,0,2,6.364,10.0,2.227,4.395,6.0,11,794,4.54
40,0,4,7.667,11.0,2.427,4.539,4.833,6,567,3.93
41,0,5,6.182,10.0,2.037,4.934,8.0,11,710,4.7
42,0,5,4.875,10.0,2.69,3.142,4.75,16,759,3.98
43,0,5,6.667,14.0,2.906,3.302,4.333,9,542,4.56
44,0,2,4.6,10.0,2.01,2.841,3.6,20,511,3.11
45,0,2,6.0,13.0,3.197,4.3,5.667,9,705,3.63
46,0,5,5.571,10.0,2.611,3.798,5.714,7,516,3.51
47,0,4,5.442,14.0,2.433,3.089,4.581,43,1080,4.12
48,0,4,4.882,13.0,2.805,2.701,3.882,17,396,3.9
49,0,5,5.231,9.0,2.326,3.295,5.077,13,598,4.68
50,0,4,5.583,10.0,2.871,4.44,5.5,12,633,3.85
51,0,4,6.625,13.0,3.08,3.368,4.625,16,701,3.88
52,0,4,3.947,11.0,1.835,2.695,3.474,38,464,4.03
53,0,5,6.5,10.0,2.012,3.627,4.9,10,623,4.6
54,0,5,4.805,11.0,2.244,2.963,4.024,41,941,4.82
55,0,5,5.673,18.0,3.413,3.286,3.98,49,2197,4.42
56,0,5,4.071,10.0,2.186,2.421,3.786,28,459,3.98
57,0,5,6.083,20.0,4.838,2.617,2.917,12,592,3.85
58,0,2,5.714,8.0,1.906,5.188,7.286,7,665,3.07
59,0,4,4.626,11.0,2.227,2.791,4.175,171,3284,4.02
60,0,4,4.245,10.0,1.824,2.654,3.735,49,858,4.02
61,0,5,3.039,10.0,2.195,2.526,4.299,77,1325,4.6
62,0,4,5.167,9.0,1.7,3.699,4.958,24,850,4.14
63,0,5,4.355,11.0,1.827,2.899,4.23,265,4800,3.81
64,0,5,5.864,13.0,2.785,3.333,4.818,22,934,4.56
65,0,4,6.7,13.0,2.83,3.715,4.6,10,670,3.9
66,0,4,5.0,10.0,2.418,3.512,4.154,13,628,3.88
67,0,4,6.222,9.0,1.872,6.33,6.667,9,787,3.91
68,0,4,5.083,10.0,2.929,3.217,4.708,24,929,4.1
69,0,4,3.899,8.0,1.661,2.421,3.424,99,1114,4.04
70,0,5,6.292,11.0,2.318,3.635,5.0,24,1224,4.8
71,0,5,7.0,11.0,2.449,3.828,5.333,15,740,4.71
72,0,5,7.25,22.0,5.509,3.633,4.583,12,928,3.66
73,0,4,5.737,10.0,2.099,3.366,4.211,19,693,4.16
74,0,5,6.621,13.0,2.906,3.683,4.655,29,1163,4.78
75,0,4,7.571,12.0,2.871,4.037,4.286,7,642,3.85
0,1,4,3.929,7.0,2.313,2.641,4.0,14,410,3.83
1,1,4,4.97,10.0,2.125,2.767,3.606,33,609,4.13
