user_id,file_id,rating,token_count,total_connectives,connective_density_per_100w,unique_connectives,connective_entropy,count_temporal,count_comparison,count_cause,count_expansion,density_temporal,density_comparison,density_cause,density_expansion,enumeration_count,avg_connective_position,pred_rating
0,0,4,378,15,3.9683,3,0.6998,1,0,1,13,0.2646,0.0,0.2646,3.4392,0,0.6384,3.97
1,0,4,736,14,1.9022,1,-0.0,0,0,0,14,0.0,0.0,0.0,1.9022,0,0.4698,4.14
2,0,4,367,12,3.2698,3,0.8113,0,3,0,9,0.0,0.8174,0.0,2.4523,0,0.4094,3.58
3,0,5,1197,20,1.6708,5,1.1918,2,2,1,15,0.1671,0.1671,0.0835,1.2531,0,0.5547,4.89
4,0,5,562,13,2.3132,5,1.1982,2,2,0,9,0.3559,0.3559,0.0,1.6014,0,0.4764,4.68
5,0,4,418,10,2.3923,2,0.469,1,0,0,9,0.2392,0.0,0.0,2.1531,0,0.5251,3.94
6,0,4,483,6,1.2422,3,1.4591,0,2,1,3,0.0,0.4141,0.207,0.6211,0,0.2072,3.88
7,0,5,871,29,3.3295,4,0.8996,1,1,3,24,0.1148,0.1148,0.3444,2.7555,0,0.4343,4.9
8,0,3,396,22,5.5556,4,1.2433,1,2,3,16,0.2525,0.5051,0.7576,4.0404,0,0.526,3.51
9,0,4,469,7,1.4925,2,0.5917,0,1,0,6,0.0,0.2132,0.0,1.2793,0,0.3011,4.07
10,0,3,517,8,1.5474,2,0.5436,0,1,0,7,0.0,0.1934,0.0,1.354,0,0.1943,3.19
11,0,3,203,5,2.4631,1,-0.0,0,0,0,5,0.0,0.0,0.0,2.4631,0,0.1723,3.43
12,0,5,279,11,3.9427,3,0.8659,1,1,0,9,0.3584,0.3584,0.0,3.2258,0,0.4821,4.46
13,0,1,323,4,1.2384,2,0.8113,0,1,0,3,0.0,0.3096,0.0,0.9288,0,0.2909,2.84
14,0,5,460,8,1.7391,2,0.8113,0,0,2,6,0.0,0.0,0.4348,1.3043,0,0.4561,4.59
15,0,5,357,2,0.5602,1,-0.0,0,0,0,2,0.0,0.0,0.0,0.5602,0,0.0933,3.85
16,0,4,676,40,5.9172,4,0.7726,6,0,1,33,0.8876,0.0,0.1479,4.8817,0,0.5125,4.14
17,0,4,684,25,3.655,4,0.6396,1,0,2,22,0.1462,0.0,0.2924,3.2164,0,0.5968,4.04
18,0,4,646,15,2.322,4,1.053,3,0,1,11,0.4644,0.0,0.1548,1.7028,0,0.5229,3.87
19,0,5,2666,67,2.5131,4,0.7141,2,3,3,59,0.075,0.1125,0.1125,2.2131,0,0.322,4.82
20,0,5,537,14,2.6071,5,1.3788,4,2,0,8,0.7449,0.3724,0.0,1.4898,0,0.3313,4.74
21,0,4,424,10,2.3585,5,1.4855,3,2,0,5,0.7075,0.4717,0.0,1.1792,0,0.4245,4.13
22,0,5,453,8,1.766,4,1.0,0,4,0,4,0.0,0.883,0.0,0.883,0,0.3419,3.51
23,0,4,258,3,1.1628,2,0.9183,1,0,0,2,0.3876,0.0,0.0,0.7752,0,0.5761,3.94
24,0,4,255,2,0.7843,1,-0.0,0,0,0,2,0.0,0.0,0.0,0.7843,0,0.0742,4.01
25,0,5,548,4,0.7299,1,-0.0,0,0,0,4,0.0,0.0,0.0,0.7299,0,0.199,4.12
26,0,5,697,15,2.1521,6,1.3996,0,5,2,8,0.0,0.7174,0.2869,1.1478,0,0.3486,4.53
27,0,3,685,19,2.7737,3,0.5907,1,1,0,17,0.146,0.146,0.0,2.4818,0,0.5876,3.53
28,0,3,924,10,1.0823,3,0.7219,2,0,0,8,0.2165,0.0,0.0,0.8658,0,0.571,3.58
29,0,4,509,7,1.3752,2,0.8631,0,2,0,5,0.0,0.3929,0.0,0.9823,0,0.3921,4.17
30,0,4,541,7,1.2939,2,0.5917,0,1,0,6,0.0,0.1848,0.0,1.1091,0,0.2113,4.44
31,0,5,465,8,1.7204,2,0.8113,0,0,2,6,0.0,0.0,0.4301,1.2903,0,0.6166,4.22
32,0,5,1038,20,1.9268,5,0.9918,0,4,1,15,0.0,0.3854,0.0963,1.4451,0,0.4406,4.88
33,0,4,828,23,2.7778,4,0.8077,0,3,1,19,0.0,0.3623,0.1208,2.2947,0,0.4524,4.64
34,0,5,397,7,1.7632,2,0.5917,0,1,0,6,0.0,0.2519,0.0,1.5113,0,0.249,4.58
35,0,4,317,6,1.8927,1,-0.0,0,0,0,6,0.0,0.0,0.0,1.8927,0,0.2967,3.9
36,0,5,411,7,1.7032,2,0.5917,1,0,0,6,0.2433,0.0,0.0,1.4599,0,0.3324,4.69
37,0,5,522,13,2.4904,4,0.9913,1,2,0,10,0.1916,0.3831,0.0,1.9157,0,0.337,4.89
38,0,4,397,3,0.7557,2,0.9183,1,0,0,2,0.2519,0.0,0.0,0.5038,0,0.0904,3.97
39,0,2,467,9,1.9272,2,0.7642,2,0,0,7,0.4283,0.0,0.0,1.4989,0,0.3879,3.71
40,0,4,420,7,1.6667,3,0.8631,0,2,0,5,0.0,0.4762,0.0,1.1905,0,0.3151,4.22
41,0,5,413,4,0.9685,1,-0.0,0,0,0,4,0.0,0.0,0.0,0.9685,0,0.1734,4.65
42,0,5,573,6,1.0471,4,1.0,3,0,0,3,0.5236,0.0,0.0,0.5236,0,0.2269,3.93
43,0,5,375,4,1.0667,2,0.8113,0,1,0,3,0.0,0.2667,0.0,0.8,0,0.1912,4.51
44,0,2,361,5,1.385,2,0.7219,0,1,0,4,0.0,0.277,0.0,1.108,0,0.086,3.34
45,0,2,497,6,1.2072,2,0.65,0,1,0,5,0.0,0.2012,0.0,1.006,0,0.363,4.15
46,0,5,342,5,1.462,2,0.971,0,2,0,3,0.0,0.5848,0.0,0.8772,0,0.0799,3.52
47,0,4,757,27,3.5667,3,0.455,1,1,0,25,0.1321,0.1321,0.0,3.3025,0,0.5803,4.05
48,0,4,275,9,3.2727,2,0.5033,0,1,0,8,0.0,0.3636,0.0,2.9091,0,0.4507,3.9
49,0,5,415,4,0.9639,1,-0.0,0,0,0,4,0.0,0.0,0.0,0.9639,0,0.5014,4.67
50,0,4,370,3,0.8108,1,-0.0,0,0,0,3,0.0,0.0,0.0,0.8108,0,0.0721,4.01
