user_id,file_id,rating,tokens,types,ttr,rttr,cttr,herdan_c,maas_a2,yules_k,mtld,hapax_ratio,dis_legomena_ratio,avg_word_len,pred_rating
0,0,4,378,213,0.5635,10.9555,7.7467,0.9034,0.0163,70.4068,103.9282,0.7136,0.1455,5.5185,4.03
1,0,4,736,198,0.269,7.2984,5.1607,0.8011,0.0301,113.8277,99.8799,0.1111,0.5808,4.9864,3.76
2,0,4,367,226,0.6158,11.7971,8.3418,0.9179,0.0139,49.5957,182.2457,0.6991,0.1681,5.4169,4.23
3,0,5,1197,392,0.3275,11.3302,8.0117,0.8425,0.0222,55.5133,124.2414,0.4796,0.1862,5.0936,4.88
4,0,5,562,255,0.4537,10.7565,7.606,0.8752,0.0197,69.0214,134.2673,0.5922,0.1922,5.2011,4.88
5,0,4,418,196,0.4689,9.5867,6.7788,0.8745,0.0208,81.1566,98.4226,0.6122,0.1786,5.3517,4.38
6,0,4,483,259,0.5362,11.7849,8.3332,0.8992,0.0163,50.7525,190.7787,0.6216,0.1931,5.0642,4.11
7,0,5,871,346,0.3972,11.7238,8.29,0.8636,0.0201,71.9708,92.2929,0.6098,0.1647,5.1056,4.72
8,0,3,396,257,0.649,12.9147,9.1321,0.9277,0.0121,54.3312,223.9517,0.7626,0.1362,5.5581,3.61
9,0,4,469,187,0.3987,8.6349,6.1058,0.8505,0.0243,111.2925,62.6873,0.5455,0.1818,4.9339,3.45
10,0,3,517,266,0.5145,11.6987,8.2722,0.8936,0.017,72.1317,116.162,0.688,0.1429,5.0232,3.78
11,0,3,203,125,0.6158,8.7733,6.2036,0.9087,0.0172,120.3621,73.8269,0.752,0.136,4.6158,3.25
12,0,5,279,164,0.5878,9.8184,6.9427,0.9056,0.0168,91.7254,91.1299,0.6951,0.1585,4.9104,4.59
13,0,1,323,148,0.4582,8.2349,5.823,0.8649,0.0234,130.5486,47.1669,0.6554,0.0946,4.418,2.33
14,0,5,460,209,0.4543,9.7447,6.8905,0.8713,0.021,110.8696,66.0833,0.6124,0.1914,4.5587,4.55
15,0,5,357,188,0.5266,9.95,7.0357,0.8909,0.0186,116.1249,96.2022,0.7128,0.133,4.9328,3.97
16,0,4,676,271,0.4009,10.4231,7.3702,0.8597,0.0215,93.0465,126.7425,0.5867,0.1734,5.4704,4.14
17,0,4,684,265,0.3874,10.1325,7.1648,0.8547,0.0223,92.2934,82.2897,0.6038,0.1623,4.9751,4.06
18,0,4,646,238,0.3684,9.364,6.6213,0.8457,0.0238,82.9108,68.1889,0.5,0.2185,4.7755,4.31
19,0,5,2666,460,0.1725,8.909,6.2996,0.7773,0.0282,65.7948,134.9858,0.1783,0.2565,5.2348,4.45
20,0,5,537,229,0.4264,9.8821,6.9877,0.8644,0.0216,110.8302,67.6929,0.6201,0.1703,4.9088,4.79
21,0,4,424,208,0.4906,10.1014,7.1427,0.8823,0.0195,89.7784,106.1223,0.6538,0.1587,4.8585,4.08
22,0,5,453,213,0.4702,10.0076,7.0765,0.8766,0.0202,115.5895,81.9647,0.615,0.2113,4.7682,4.15
23,0,4,258,150,0.5814,9.3386,6.6034,0.9023,0.0176,130.4008,91.0846,0.7867,0.0933,5.2209,3.94
24,0,4,255,126,0.4941,7.8904,5.5794,0.8728,0.023,159.3233,64.4332,0.6349,0.1587,4.5569,3.71
25,0,5,548,230,0.4197,9.8251,6.9474,0.8623,0.0218,116.815,91.0489,0.5696,0.2217,4.7044,4.33
26,0,5,697,247,0.3544,9.3558,6.6155,0.8415,0.0242,75.4618,112.4779,0.3846,0.3077,4.9369,4.72
27,0,3,685,252,0.3679,9.6284,6.8083,0.8468,0.0235,90.106,101.7524,0.5556,0.2024,5.0891,3.55
