user_id,file_id,rating,token_count,entity_count,entity_density,unique_entity_types,entity_label_entropy,avg_entity_length_tokens,ent_count_PERSON,ent_count_ORG,ent_count_GPE,ent_count_LOC,ent_count_NORP,ent_count_FAC,ent_count_EVENT,ent_count_WORK_OF_ART,ent_count_LAW,ent_count_LANGUAGE,ent_count_PRODUCT,ent_count_DATE,ent_count_TIME,ent_count_PERCENT,ent_count_MONEY,ent_count_QUANTITY,ent_count_ORDINAL,ent_count_CARDINAL,pred_rating
0,0,4,484.0,45.0,0.093,8.0,2.3343,1.8667,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,20.0,4.41
1,0,4,1146.0,154.0,0.1344,6.0,1.8385,1.526,19.0,30.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,87.0,4.07
2,0,4,545.0,81.0,0.1486,9.0,2.5254,2.0741,21.0,19.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,20.0,4.1
3,0,5,1693.0,320.0,0.189,9.0,2.1534,1.7438,110.0,50.0,1.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,4.0,20.0,6.0,0.0,0.0,0.0,0.0,117.0,4.81
4,0,5,833.0,137.0,0.1645,10.0,2.5962,1.8467,39.0,26.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,20.0,15.0,0.0,0.0,0.0,0.0,28.0,4.86
5,0,4,632.0,79.0,0.125,7.0,2.4338,1.9494,11.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,24.0,0.0,0.0,0.0,0.0,20.0,3.91
6,0,4,665.0,61.0,0.0917,8.0,2.4445,2.4426,11.0,14.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,2.0,0.0,0.0,0.0,0.0,14.0,4.06
7,0,5,1146.0,113.0,0.0986,8.0,2.4147,2.1858,17.0,23.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,34.0,0.0,0.0,0.0,0.0,25.0,4.66
8,0,3,486.0,23.0,0.0473,6.0,2.3551,2.2609,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,8.0,3.49
9,0,4,685.0,138.0,0.2015,8.0,2.0714,1.5507,40.0,32.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,50.0,4.34
10,0,3,728.0,108.0,0.1484,8.0,2.112,1.7222,33.0,14.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,45.0,3.56
11,0,3,284.0,47.0,0.1655,7.0,1.8111,1.5106,11.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,27.0,3.44
12,0,5,342.0,26.0,0.076,5.0,2.1001,2.3462,8.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,4.48
13,0,1,472.0,99.0,0.2097,8.0,1.9916,1.5253,16.0,18.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,52.0,2.14
14,0,5,619.0,124.0,0.2003,9.0,2.0854,1.6613,26.0,21.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,61.0,4.59
15,0,5,626.0,96.0,0.1534,6.0,2.1175,1.9792,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,12.0,0.0,0.0,43.0,3.92
16,0,4,916.0,109.0,0.119,9.0,2.6153,1.7431,15.0,9.0,3.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,11.0,33.0,0.0,0.0,0.0,0.0,28.0,3.98
17,0,4,971.0,122.0,0.1256,9.0,2.358,1.7869,43.0,17.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,30.0,0.0,0.0,0.0,0.0,21.0,4.19
18,0,4,903.0,113.0,0.1251,7.0,2.262,2.2478,24.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,33.0,0.0,0.0,0.0,0.0,33.0,3.86
19,0,5,3688.0,455.0,0.1234,8.0,2.3551,1.6901,134.0,68.0,18.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,21.0,0.0,0.0,6.0,0.0,162.0,4.77
20,0,5,741.0,144.0,0.1943,8.0,2.2119,1.4583,47.0,31.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,45.0,4.73
21,0,4,616.0,104.0,0.1688,7.0,2.111,1.6538,23.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,40.0,4.15
22,0,5,623.0,134.0,0.2151,8.0,2.2317,1.4851,33.0,15.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,59.0,4.4
23,0,4,382.0,36.0,0.0942,5.0,1.7892,1.8056,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,16.0,3.78
24,0,4,440.0,60.0,0.1364,6.0,1.995,2.0833,8.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,28.0,3.77
25,0,5,762.0,175.0,0.2297,8.0,2.0694,1.5029,59.0,32.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,65.0,4.1
26,0,5,1123.0,136.0,0.1211,8.0,2.2211,2.1029,12.0,23.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,21.0,0.0,0.0,64.0,4.74
27,0,3,986.0,103.0,0.1045,7.0,2.1603,1.7476,10.0,13.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,0.0,0.0,0.0,0.0,42.0,3.6
28,0,3,1249.0,281.0,0.225,12.0,1.9355,1.3879,34.0,57.0,2.0,0.0,5.0,1.0,0.0,1.0,2.0,0.0,4.0,13.0,2.0,0.0,1.0,0.0,0.0,159.0,3.53
