user_id,true_avg_rating,pred_avg_rating,n_rows
0,4.6,4.24,5
1,4.2,4.02,5
2,3.6,4.33,5
3,5.0,4.38,5
4,4.4,3.98,5
5,3.6,3.7,5
6,4.0,4.28,5
7,4.2,4.26,5
8,3.0,3.94,5
9,3.6,3.8,5
10,2.8,3.82,5
11,3.8,4.03,5
12,5.0,4.27,5
13,3.2,4.08,5
14,5.0,4.35,5
15,4.2,3.98,5
16,3.8,4.24,5
17,3.8,4.04,5
18,3.4,3.87,5
19,5.0,4.66,5
20,5.0,4.56,5
21,4.0,4.12,5
22,4.0,4.06,5
23,3.8,4.13,5
24,4.0,4.09,5
25,4.0,3.9,5
26,4.4,4.15,5
27,3.6,3.74,5
28,3.0,3.89,5
29,4.2,4.02,5
30,3.8,4.04,5
31,4.4,4.3,5
32,4.6,4.26,5
33,4.6,4.54,5
34,4.2,4.48,5
35,1.8,2.99,5
36,4.2,4.28,5
37,5.0,4.22,5
38,4.2,4.2,5
39,2.4,3.25,5
40,3.2,3.78,5
41,4.8,4.36,5
42,4.6,3.97,5
43,5.0,4.19,5
44,3.6,3.99,5
45,2.8,3.44,5
46,5.0,4.26,5
47,4.6,4.48,5
48,4.0,3.9,5
49,4.8,4.36,5
50,4.4,4.01,5
51,4.4,4.17,5
52,3.4,4.06,5
53,5.0,4.59,5
54,4.4,4.39,5
55,4.8,4.1,5
56,4.2,3.95,5
57,4.4,4.31,5
58,2.0,2.68,5
59,4.0,4.18,5
60,3.8,4.02,5
61,5.0,4.75,5
62,4.0,4.12,5
63,5.0,4.1,5
64,5.0,4.42,5
65,3.6,3.71,5
66,4.0,3.98,5
67,4.0,4.14,5
68,3.8,4.06,5
69,4.0,4.06,5
70,3.8,4.13,5
71,5.0,4.33,5
72,4.6,4.3,5
73,3.6,3.59,5
74,3.8,3.76,5
75,4.6,4.32,5
