user_id,true_avg_rating,pred_avg_rating,n_rows
0,4.6,4.37,5
1,4.2,3.95,5
2,3.6,4.03,5
3,5.0,4.73,5
4,4.4,4.1,5
5,3.6,3.8,5
6,4.0,4.05,5
7,4.2,4.15,5
8,3.0,3.42,5
9,3.6,3.88,5
10,2.8,3.62,5
11,3.8,3.83,5
12,5.0,4.36,5
13,3.2,3.71,5
14,5.0,4.17,5
15,4.2,3.92,5
16,3.8,4.26,5
17,3.8,3.53,5
18,3.4,3.64,5
19,5.0,4.73,5
20,5.0,4.66,5
21,4.0,3.92,5
22,4.0,3.94,5
23,3.8,3.8,5
24,4.0,4.08,5
25,4.0,4.08,5
26,4.4,4.22,5
27,3.6,3.76,5
28,3.0,3.49,5
29,4.2,4.07,5
30,3.8,3.91,5
31,4.4,4.03,5
32,4.6,4.44,5
33,4.6,4.67,5
34,4.2,4.31,5
35,1.8,2.81,5
36,4.2,4.17,5
37,5.0,4.56,5
38,4.2,4.16,5
39,2.4,3.26,5
40,3.2,3.59,5
41,4.8,4.44,5
42,4.6,4.11,5
43,5.0,4.52,5
44,3.6,3.75,5
45,2.8,3.64,5
46,5.0,4.56,5
47,4.6,4.54,5
48,4.0,3.91,5
49,4.8,4.45,5
50,4.4,4.08,5
51,4.4,4.11,5
52,3.4,3.8,5
53,5.0,4.94,5
54,4.4,4.32,5
55,4.8,4.57,5
56,4.2,3.89,5
57,4.4,4.2,5
58,2.0,2.1,5
59,4.0,3.94,5
60,3.8,4.0,5
61,5.0,4.79,5
62,4.0,3.99,5
63,5.0,4.47,5
64,5.0,4.53,5
65,3.6,3.76,5
66,4.0,3.85,5
67,4.0,3.9,5
68,3.8,4.01,5
69,4.0,4.05,5
70,3.8,3.89,5
71,5.0,4.5,5
72,4.6,4.29,5
73,3.6,3.71,5
74,3.8,3.85,5
75,4.6,4.2,5
