user_id,file_id,rating,token_count,pos_count_NOUN,pos_ratio_NOUN,pos_count_VERB,pos_ratio_VERB,pos_count_ADJ,pos_ratio_ADJ,pos_count_ADV,pos_ratio_ADV,pos_count_PRON,pos_ratio_PRON,pos_count_PROPN,pos_ratio_PROPN,pos_count_AUX,pos_ratio_AUX,pos_count_ADP,pos_ratio_ADP,pos_count_DET,pos_ratio_DET,pos_count_CCONJ,pos_ratio_CCONJ,pos_count_SCONJ,pos_ratio_SCONJ,pos_count_PART,pos_ratio_PART,pos_count_NUM,pos_ratio_NUM,pos_entropy,pred_rating
0,0,4,435.0,132.0,0.3034,39.0,0.0897,30.0,0.069,16.0,0.0368,14.0,0.0322,101.0,0.2322,5.0,0.0115,18.0,0.0414,15.0,0.0345,21.0,0.0483,3.0,0.0069,9.0,0.0207,32.0,0.0736,3.0091,4.07
1,0,4,779.0,315.0,0.4044,28.0,0.0359,63.0,0.0809,3.0,0.0039,3.0,0.0039,202.0,0.2593,1.0,0.0013,27.0,0.0347,12.0,0.0154,31.0,0.0398,1.0,0.0013,2.0,0.0026,89.0,0.1142,2.4111,4.1
2,0,4,401.0,111.0,0.2768,30.0,0.0748,21.0,0.0524,2.0,0.005,7.0,0.0175,151.0,0.3766,1.0,0.0025,8.0,0.02,6.0,0.015,22.0,0.0549,3.0,0.0075,1.0,0.0025,38.0,0.0948,2.5376,4.07
3,0,5,1265.0,275.0,0.2174,114.0,0.0901,80.0,0.0632,9.0,0.0071,29.0,0.0229,495.0,0.3913,13.0,0.0103,35.0,0.0277,29.0,0.0229,30.0,0.0237,4.0,0.0032,10.0,0.0079,136.0,0.1075,2.64,4.86
4,0,5,592.0,251.0,0.424,51.0,0.0861,31.0,0.0524,3.0,0.0051,6.0,0.0101,145.0,0.2449,1.0,0.0017,17.0,0.0287,8.0,0.0135,12.0,0.0203,1.0,0.0017,5.0,0.0084,61.0,0.103,2.4274,4.67
5,0,4,462.0,199.0,0.4307,32.0,0.0693,26.0,0.0563,3.0,0.0065,9.0,0.0195,79.0,0.171,4.0,0.0087,24.0,0.0519,5.0,0.0108,15.0,0.0325,1.0,0.0022,2.0,0.0043,63.0,0.1364,2.5747,3.84
6,0,4,498.0,156.0,0.3133,46.0,0.0924,21.0,0.0422,2.0,0.004,12.0,0.0241,190.0,0.3815,1.0,0.002,18.0,0.0361,9.0,0.0181,5.0,0.01,3.0,0.006,6.0,0.012,29.0,0.0582,2.449,4.19
7,0,5,878.0,289.0,0.3292,104.0,0.1185,70.0,0.0797,13.0,0.0148,18.0,0.0205,149.0,0.1697,7.0,0.008,65.0,0.074,34.0,0.0387,41.0,0.0467,7.0,0.008,12.0,0.0137,68.0,0.0774,2.9701,4.77
8,0,3,405.0,132.0,0.3259,58.0,0.1432,38.0,0.0938,12.0,0.0296,14.0,0.0346,29.0,0.0716,16.0,0.0395,33.0,0.0815,15.0,0.037,26.0,0.0642,6.0,0.0148,7.0,0.0173,13.0,0.0321,3.0994,3.36
9,0,4,505.0,145.0,0.2871,58.0,0.1149,25.0,0.0495,1.0,0.002,5.0,0.0099,131.0,0.2594,4.0,0.0079,23.0,0.0455,7.0,0.0139,21.0,0.0416,1.0,0.002,2.0,0.004,79.0,0.1564,2.6815,3.93
