user_id,file_id,rating,cosine_sim,q_norm,r_norm,norm_gap,pred_rating
0,0,4,0.7094,1.0,1.0,0.0,4.5
1,0,4,0.5094,1.0,1.0,0.0,3.89
2,0,4,0.6977,1.0,1.0,0.0,3.77
3,0,5,0.5084,1.0,1.0,0.0,4.27
4,0,5,0.596,1.0,1.0,0.0,4.71
5,0,4,0.7118,1.0,1.0,0.0,4.6
6,0,4,0.6986,1.0,1.0,0.0,3.72
7,0,5,0.795,1.0,1.0,0.0,4.67
8,0,3,0.7432,1.0,1.0,0.0,3.68
9,0,4,0.7005,1.0,1.0,0.0,3.76
10,0,3,-0.063,1.0,1.0,0.0,3.46
11,0,3,0.6996,1.0,1.0,0.0,3.74
12,0,5,0.6814,1.0,1.0,0.0,4.54
13,0,1,0.5891,1.0,1.0,0.0,3.24
14,0,5,0.6005,1.0,1.0,0.0,4.65
15,0,5,0.5806,1.0,1.0,0.0,4.37
16,0,4,0.5485,1.0,1.0,0.0,4.23
17,0,4,0.6958,1.0,1.0,0.0,3.8
18,0,4,0.7715,1.0,1.0,0.0,4.48
19,0,5,0.6746,1.0,1.0,0.0,4.51
20,0,5,0.6491,1.0,1.0,0.0,4.51
21,0,4,0.5017,1.0,1.0,0.0,4.25
22,0,5,0.5841,1.0,1.0,0.0,4.3
23,0,4,0.6065,1.0,1.0,0.0,4.05
24,0,4,-0.0938,1.0,1.0,0.0,4.2
25,0,5,0.6587,1.0,1.0,0.0,4.66
26,0,5,0.7224,1.0,1.0,0.0,4.47
27,0,3,0.6441,1.0,1.0,0.0,3.99
28,0,3,0.5105,1.0,1.0,0.0,3.78
29,0,4,0.6938,1.0,1.0,0.0,3.94
30,0,4,-0.0767,1.0,1.0,0.0,4.5
31,0,5,0.3511,1.0,1.0,0.0,3.91
32,0,5,0.6604,1.0,1.0,0.0,4.73
33,0,4,0.691,1.0,1.0,0.0,3.96
34,0,5,-0.0729,1.0,1.0,0.0,4.45
35,0,4,0.6171,1.0,1.0,0.0,4.03
36,0,5,0.6268,1.0,1.0,0.0,4.21
37,0,5,0.6795,1.0,1.0,0.0,4.67
38,0,4,-0.1087,1.0,1.0,0.0,4.3
39,0,2,0.6277,1.0,1.0,0.0,3.53
40,0,4,0.6409,1.0,1.0,0.0,4.26
41,0,5,-0.082,1.0,1.0,0.0,4.49
42,0,5,0.6102,1.0,1.0,0.0,4.0
43,0,5,0.6299,1.0,1.0,0.0,4.74
44,0,2,0.654,1.0,1.0,0.0,3.4
45,0,2,0.6695,1.0,1.0,0.0,4.45
46,0,5,0.6545,1.0,1.0,0.0,3.85
47,0,4,0.68,1.0,1.0,0.0,4.21
48,0,4,0.6527,1.0,1.0,0.0,3.41
49,0,5,0.5345,1.0,1.0,0.0,4.44
50,0,4,0.6461,1.0,1.0,0.0,4.31
51,0,4,0.5863,1.0,1.0,0.0,3.46
52,0,4,0.7658,1.0,1.0,0.0,4.03
53,0,5,0.6155,1.0,1.0,0.0,4.66
54,0,5,0.7117,1.0,1.0,0.0,4.35
55,0,5,0.6357,1.0,1.0,0.0,3.93
