user_id,file_id,rating,vader_compound,vader_pos,vader_neu,vader_neg,tb_polarity,tb_subjectivity,pred_rating
0,0,4,0.9939,0.181,0.77,0.049,0.1064,0.4278,3.72
1,0,4,0.9983,0.144,0.838,0.018,0.0999,0.4471,4.05
2,0,4,0.9589,0.089,0.885,0.026,0.0011,0.4452,3.86
3,0,5,0.9995,0.162,0.801,0.037,0.1308,0.4344,4.57
4,0,5,0.9976,0.165,0.789,0.046,0.0415,0.4369,4.44
5,0,4,0.9934,0.146,0.814,0.04,0.1247,0.3741,4.14
6,0,4,0.9931,0.148,0.803,0.049,0.0522,0.3694,3.97
7,0,5,0.9987,0.16,0.819,0.021,0.097,0.4507,4.68
8,0,3,0.9956,0.199,0.754,0.047,0.0578,0.4453,3.35
9,0,4,0.9916,0.111,0.871,0.018,0.0074,0.4808,4.09
10,0,3,0.9896,0.106,0.863,0.032,0.1043,0.4168,3.55
11,0,3,0.969,0.146,0.804,0.049,0.0185,0.3407,3.01
12,0,5,0.9926,0.199,0.772,0.03,0.2356,0.5075,4.36
13,0,1,0.9938,0.167,0.822,0.012,0.0533,0.5012,3.0
14,0,5,0.9935,0.126,0.869,0.005,0.0559,0.4193,4.63
15,0,5,0.9656,0.079,0.895,0.026,0.0149,0.5044,3.83
16,0,4,0.9908,0.081,0.899,0.02,-0.0398,0.5391,3.88
17,0,4,0.9953,0.131,0.819,0.05,0.152,0.5482,4.04
18,0,4,0.997,0.128,0.858,0.014,0.1643,0.5015,3.8
19,0,5,0.9988,0.083,0.876,0.042,-0.0318,0.4762,4.79
20,0,5,0.9934,0.116,0.864,0.021,-0.0679,0.5205,4.68
21,0,4,0.9909,0.114,0.872,0.014,0.0347,0.5067,4.07
22,0,5,0.9879,0.108,0.853,0.039,-0.072,0.5393,4.03
23,0,4,0.9761,0.138,0.819,0.043,-0.0917,0.5063,3.97
24,0,4,0.9836,0.13,0.854,0.016,0.0546,0.3815,3.98
25,0,5,0.9861,0.087,0.884,0.028,0.0079,0.5037,4.21
26,0,5,0.999,0.18,0.775,0.045,0.1013,0.4922,4.76
27,0,3,0.9977,0.148,0.822,0.03,0.188,0.5189,3.56
28,0,3,0.9971,0.108,0.87,0.022,0.0019,0.5003,3.71
29,0,4,0.9916,0.112,0.868,0.021,0.0235,0.5223,4.23
30,0,4,0.9686,0.078,0.879,0.043,-0.0833,0.4407,3.52
31,0,5,0.9661,0.074,0.895,0.032,0.0061,0.5089,3.89
32,0,5,0.9992,0.165,0.78,0.055,0.1198,0.4496,4.77
33,0,4,0.9936,0.121,0.82,0.059,0.081,0.4567,4.38
34,0,5,0.9926,0.138,0.834,0.028,0.0765,0.4659,4.73
35,0,4,0.9098,0.078,0.884,0.038,-0.0222,0.4928,3.91
36,0,5,0.9941,0.148,0.826,0.026,0.08,0.2763,4.3
37,0,5,0.9984,0.209,0.751,0.041,0.1479,0.5372,4.62
38,0,4,0.9906,0.149,0.801,0.05,0.0441,0.4507,3.86
39,0,2,0.9042,0.078,0.867,0.055,-0.0249,0.4685,4.04
40,0,4,0.9455,0.076,0.891,0.033,-0.0466,0.5361,3.87
41,0,5,0.9545,0.101,0.834,0.064,-0.1792,0.5454,4.48
42,0,5,0.9965,0.148,0.825,0.027,0.0798,0.5479,4.52
43,0,5,0.988,0.128,0.844,0.028,0.1213,0.6231,4.26
44,0,2,0.9884,0.129,0.843,0.028,-0.0963,0.568,3.06
45,0,2,0.9941,0.131,0.839,0.03,0.009,0.5117,4.53
46,0,5,0.9896,0.144,0.813,0.043,0.0439,0.489,3.93
47,0,4,0.9945,0.112,0.845,0.043,0.1417,0.588,3.92
48,0,4,0.8244,0.095,0.843,0.062,0.0072,0.4286,3.71
49,0,5,0.9931,0.126,0.859,0.015,0.0535,0.4892,4.81
50,0,4,0.9929,0.144,0.832,0.025,-0.0095,0.4531,4.08
51,0,4,0.9942,0.134,0.848,0.018,0.1619,0.5081,3.99
52,0,4,0.9858,0.184,0.733,0.083,0.1551,0.4644,3.85
53,0,5,0.9921,0.134,0.83,0.036,0.0931,0.4053,4.99
54,0,5,0.9991,0.201,0.76,0.038,0.1477,0.4997,4.73
55,0,5,0.9942,0.067,0.91,0.023,0.0768,0.439,4.44
56,0,5,0.9723,0.119,0.821,0.06,0.0511,0.4707,3.9
57,0,5,0.9819,0.106,0.85,0.044,-0.0098,0.4521,3.49
58,0,2,0.9726,0.08,0.9,0.02,-0.0085,0.4522,2.25
59,0,4,0.9999,0.156,0.813,0.03,0.1351,0.4874,4.27
60,0,4,0.9927,0.121,0.838,0.041,0.0686,0.3959,4.22
61,0,5,0.9958,0.098,0.861,0.041,0.018,0.4345,4.74
62,0,4,0.992,0.115,0.848,0.038,0.1017,0.433,4.2
63,0,5,0.9999,0.154,0.823,0.024,0.0582,0.4205,4.54
64,0,5,0.994,0.109,0.855,0.036,0.0937,0.528,4.9
65,0,4,0.9612,0.076,0.886,0.038,-0.0905,0.5502,3.83
66,0,4,0.9968,0.194,0.77,0.037,0.2158,0.5756,4.01
67,0,4,0.9925,0.112,0.871,0.017,-0.0432,0.4964,4.23
68,0,4,0.9928,0.123,0.834,0.043,0.0948,0.5497,4.25
69,0,4,0.9963,0.096,0.885,0.019,0.0172,0.5018,4.06
70,0,5,0.9875,0.081,0.875,0.044,0.012,0.4754,4.52
71,0,5,0.9948,0.148,0.806,0.046,0.1003,0.4101,4.62
72,0,5,0.9941,0.116,0.848,0.036,0.1389,0.4819,4.12
73,0,4,0.9943,0.139,0.823,0.038,0.049,0.5024,3.98
74,0,5,0.9992,0.181,0.788,0.031,0.2577,0.6258,4.49
75,0,4,0.9826,0.075,0.912,0.014,-0.0041,0.3911,3.82
0,1,4,0.9939,0.2,0.76,0.04,0.0856,0.4544,3.79
1,1,4,0.9973,0.189,0.778,0.034,0.0845,0.3996,4.06
2,1,2,0.999,0.14,0.829,0.031,0.1012,0.5102,4.67
3,1,5,0.9996,0.169,0.794,0.038,0.1246,0.4421,4.76
4,1,2,0.988,0.118,0.849,0.033,0.0287,0.4911,3.08
5,1,4,0.9959,0.146,0.828,0.026,0.1236,0.4528,3.96
6,1,4,0.9897,0.123,0.839,0.038,0.0575,0.5239,4.22
7,1,4,0.9948,0.169,0.804,0.028,0.1926,0.5461,3.89
8,1,3,0.9825,0.095,0.869,0.036,0.1078,0.4126,3.53
9,1,3,0.9965,0.143,0.834,0.023,0.128,0.4691,3.49
10,1,4,0.9826,0.083,0.904,0.013,0.0467,0.4866,3.85
11,1,4,0.9928,0.15,0.839,0.011,-0.0088,0.5098,3.91
12,1,5,0.9919,0.105,0.879,0.016,0.0015,0.4972,4.47
13,1,5,0.9985,0.114,0.87,0.016,0.0384,0.4643,4.63
14,1,5,0.9932,0.15,0.82,0.03,0.078,0.4678,4.39
15,1,4,0.9929,0.141,0.817,0.041,-0.0137,0.4892,4.04
16,1,4,0.9979,0.09,0.874,0.036,0.0242,0.5427,4.09
17,1,4,0.9393,0.214,0.762,0.025,0.45,0.6,3.69
18,1,3,0.9828,0.107,0.852,0.041,0.068,0.3458,3.91
19,1,5,0.9974,0.152,0.82,0.028,0.2544,0.5596,4.31
20,1,5,0.993,0.12,0.841,0.04,0.0943,0.5003,4.72
21,1,4,0.0,0.0,1.0,0.0,0.1667,0.2361,3.88
22,1,4,0.9578,0.114,0.828,0.059,-0.0093,0.4704,3.98
23,1,4,0.9761,0.138,0.819,0.043,-0.0917,0.5063,3.97
24,1,4,0.9986,0.166,0.796,0.038,0.1224,0.4861,4.35
25,1,3,0.9846,0.097,0.867,0.036,-0.075,0.4781,3.84
26,1,4,0.9936,0.124,0.831,0.045,0.2616,0.5298,4.0
27,1,3,0.994,0.116,0.855,0.029,0.1541,0.5562,3.51
28,1,3,0.9922,0.118,0.861,0.021,0.0441,0.4019,4.47
29,1,4,0.9674,0.175,0.759,0.066,0.0778,0.4181,3.6
30,1,3,0.9981,0.179,0.766,0.055,0.1489,0.4467,3.54
31,1,4,0.9838,0.125,0.818,0.058,0.0706,0.4175,3.82
32,1,5,0.9836,0.074,0.885,0.041,0.0581,0.5515,3.9
33,1,5,0.9986,0.145,0.798,0.057,0.0361,0.4897,4.83
34,1,2,0.9266,0.162,0.764,0.074,0.1567,0.3575,3.73
35,1,1,0.9851,0.126,0.834,0.04,0.0209,0.4325,2.47
36,1,4,0.9881,0.104,0.857,0.04,0.0591,0.4049,4.0
37,1,5,0.9963,0.152,0.819,0.029,0.1105,0.476,4.72
38,1,5,0.9918,0.122,0.839,0.04,0.1659,0.3878,4.47
39,1,4,0.9851,0.089,0.885,0.026,-0.0416,0.3727,4.03
40,1,4,0.9872,0.112,0.861,0.027,-0.0095,0.462,4.25
41,1,5,0.9887,0.113,0.861,0.027,0.051,0.5213,4.76
42,1,5,0.9899,0.125,0.833,0.042,0.0295,0.4554,3.89
43,1,5,0.9919,0.118,0.85,0.031,0.0886,0.5669,4.59
44,1,4,0.9949,0.154,0.815,0.031,0.015,0.4837,4.05
45,1,2,0.9955,0.145,0.833,0.021,0.1236,0.4038,3.31
46,1,5,0.9581,0.086,0.884,0.031,-0.0003,0.4296,4.31
47,1,5,0.9978,0.145,0.818,0.037,0.1688,0.544,4.6
48,1,4,0.9798,0.077,0.895,0.027,0.0123,0.5223,3.94
49,1,4,0.872,0.067,0.883,0.049,0.0262,0.5282,3.95
50,1,5,0.9874,0.127,0.85,0.022,0.2311,0.6745,3.43
51,1,4,0.9881,0.11,0.874,0.016,0.028,0.4829,4.06
52,1,4,0.9403,0.082,0.882,0.036,0.0211,0.4253,3.93
53,1,5,0.9921,0.134,0.83,0.036,0.0931,0.4053,4.99
54,1,5,0.9974,0.142,0.818,0.039,0.2002,0.5069,4.54
55,1,4,0.9862,0.066,0.893,0.041,0.0224,0.3306,4.03
56,1,4,0.9493,0.086,0.87,0.044,0.1541,0.4697,4.2
57,1,4,0.9888,0.074,0.904,0.022,-0.0257,0.4681,3.93
58,1,2,0.9726,0.083,0.897,0.021,-0.0085,0.4522,2.17
59,1,3,0.8268,0.026,0.967,0.008,0.1224,0.3703,3.62
60,1,4,0.9984,0.097,0.87,0.032,0.0723,0.4851,4.23
61,1,5,0.9964,0.169,0.799,0.032,0.2296,0.539,4.52
62,1,4,0.9709,0.104,0.851,0.045,-0.1492,0.5333,4.09
63,1,5,0.9991,0.104,0.859,0.037,0.0578,0.4428,4.81
64,1,5,0.994,0.109,0.855,0.036,0.0937,0.528,4.9
65,1,4,0.9892,0.121,0.843,0.036,-0.0207,0.4263,3.67
66,1,4,0.9674,0.092,0.878,0.03,0.0103,0.5272,4.04
67,1,4,0.9792,0.12,0.808,0.073,-0.0293,0.4843,3.88
68,1,4,0.998,0.163,0.809,0.027,0.0694,0.4805,4.17
