user_id,true_avg,pred_avg,n_rows
0,4.6,4.27,5
1,4.2,4.08,5
2,3.6,4.09,5
3,5.0,4.76,5
4,4.4,4.12,5
5,3.6,3.62,5
6,4.0,4.06,5
7,4.2,4.03,5
8,3.0,3.38,5
9,3.6,3.85,5
10,2.8,3.53,5
11,3.8,3.91,5
12,5.0,4.49,5
13,3.2,3.61,5
14,5.0,4.26,5
15,4.2,3.97,5
16,3.8,4.19,5
17,3.8,3.62,5
18,3.4,3.68,5
19,5.0,4.68,5
20,5.0,4.7,5
21,4.0,3.94,5
22,4.0,3.97,5
23,3.8,3.86,5
24,4.0,3.96,5
25,4.0,4.12,5
26,4.4,4.27,5
27,3.6,3.78,5
28,3.0,3.42,5
29,4.2,4.05,5
30,3.8,3.91,5
31,4.4,4.18,5
32,4.6,4.33,5
33,4.6,4.5,5
34,4.2,4.22,5
35,1.8,2.7,5
36,4.2,4.12,5
37,5.0,4.62,5
38,4.2,4.17,5
39,2.4,3.33,5
40,3.2,3.54,5
41,4.8,4.46,5
42,4.6,4.23,5
43,5.0,4.55,5
44,3.6,3.73,5
45,2.8,3.53,5
46,5.0,4.44,5
47,4.6,4.45,5
48,4.0,3.96,5
49,4.8,4.49,5
50,4.4,3.98,5
51,4.4,4.23,5
52,3.4,3.84,5
53,5.0,4.95,5
54,4.4,4.37,5
55,4.8,4.5,5
56,4.2,4.07,5
57,4.4,4.19,5
58,2.0,2.1,5
59,4.0,3.95,5
60,3.8,3.98,5
61,5.0,4.72,5
62,4.0,3.97,5
63,5.0,4.41,5
64,5.0,4.5,5
65,3.6,3.78,5
66,4.0,3.9,5
67,4.0,4.04,5
68,3.8,3.96,5
69,4.0,3.99,5
70,3.8,3.89,5
71,5.0,4.62,5
72,4.6,4.17,5
73,3.6,3.85,5
74,3.8,3.76,5
75,4.6,4.28,5
