user_id,file_id,rating,combo_11_E__add_perp_token_ner_disc__pred,cosine_sim,norm_gap,nli_mean_entail,nli_mean_contra,content_vs_function_ratio,pos_entropy,verbs_per_sentence,flesch_reading_ease,fk_grade_level,ttr,mtld,yules_k,avg_tree_depth,avg_dep_distance,entity_continuity,role_transitions,vader_compound,tb_subjectivity,sentence_length,avg_logprob,ppl,proportion_top100,entity_density,entity_label_entropy,connective_entropy,connective_density_per_100w
0,0,4.0,4.11,0.0,0.0,0.0,0.0,3.7412,3.211,1.6296,17.7159,19.5827,0.5635,103.9282,70.4068,3.9259,2.4073,0.2656,0.1681,0.9939,0.4278,378.0,0.0,0.0,0.0,0.093,2.3343,0.6998,3.9683
1,0,4.0,3.94,0.0,0.0,0.0,0.0,6.7143,2.6276,1.5263,23.5792,22.4301,0.269,99.8799,113.8277,5.1579,4.1759,0.944,0.1139,0.9983,0.4471,736.0,0.0,0.0,0.0,0.1344,1.8385,-0.0,1.9022
2,0,4.0,4.08,0.0,0.0,0.0,0.0,5.9455,2.8288,1.4762,38.4381,13.2392,0.6158,182.2457,49.5957,4.1905,3.2965,0.3057,0.2097,0.9589,0.4452,367.0,0.0,0.0,0.0,0.1486,2.5254,0.8113,3.2698
3,0,5.0,4.83,0.0,0.0,0.0,0.0,5.5464,2.9586,2.1525,39.4214,15.8055,0.3275,124.2414,55.5133,4.1864,2.946,0.5533,0.2044,0.9995,0.4344,1197.0,0.0,0.0,0.0,0.189,2.1534,1.1918,1.6708
4,0,5.0,4.81,0.0,0.0,0.0,0.0,7.6154,2.7624,1.9259,25.6683,20.4029,0.4537,134.2673,69.0214,5.2963,3.2256,0.4494,0.2016,0.9976,0.4369,562.0,0.0,0.0,0.0,0.1645,2.5962,1.1982,2.3132
5,0,4.0,4.48,0.0,0.0,0.0,0.0,5.381,2.8423,1.44,38.18,13.3409,0.4689,98.4226,81.1566,5.0,3.1358,0.4561,0.1676,0.9934,0.3741,418.0,0.0,0.0,0.0,0.125,2.4338,0.469,2.3923
6,0,4.0,4.05,0.0,0.0,0.0,0.0,6.4697,2.7523,3.9167,-7.282,32.9071,0.5362,190.7787,50.7525,6.9167,3.9025,0.3656,0.2391,0.9931,0.3694,483.0,0.0,0.0,0.0,0.0917,2.4445,1.4591,1.2422
7,0,5.0,4.76,0.0,0.0,0.0,0.0,3.2268,3.112,2.1346,40.4409,11.3938,0.3972,92.2929,71.9708,5.0192,3.1517,0.4124,0.3441,0.9987,0.4507,871.0,0.0,0.0,0.0,0.0986,2.4147,0.8996,3.3295
8,0,3.0,3.33,0.7432,0.0,0.0862,0.1407,2.2991,3.3841,2.5517,35.9014,11.1501,0.649,223.9517,54.3312,4.8276,2.7206,0.2645,0.4444,0.9956,0.4453,396.0,-3.5571,35.061,0.2348,0.0473,2.3551,1.2433,5.5556
9,0,4.0,4.16,0.0,0.0,0.0,0.0,5.137,2.9646,4.7692,21.7865,22.5798,0.3987,62.6873,111.2925,6.4615,3.4208,0.4615,0.2961,0.9916,0.4808,469.0,0.0,0.0,0.0,0.2015,2.0714,0.5917,1.4925
