user_id,file_id,rating,combo_ALL__pred,n_sentences,n_tokens,sentence_length,n_sentences_r,n_words_r,n_chars_r,syllables,polysyllables,words_per_sentence,syllables_per_word,chars_per_word,polysyllable_rate,flesch_reading_ease,fk_grade_level,gunning_fog,smog_index,ari,coleman_liau,tokens,types,ttr,rttr,cttr,herdan_c,maas_a2,yules_k,mtld,hapax_ratio,dis_legomena_ratio,avg_word_len,token_count,sentence_count,pos_prop_NOUN,pos_prop_PROPN,pos_prop_PRON,pos_prop_VERB,pos_prop_AUX,pos_prop_ADJ,pos_prop_ADV,pos_prop_ADP,pos_prop_DET,pos_prop_CCONJ,pos_prop_SCONJ,pos_prop_PART,pos_prop_NUM,pos_prop_INTJ,pos_prop_SYM,pos_prop_X,pos_prop_PUNCT,content_vs_function_ratio,pronoun_ratio,verbs_per_sentence,pos_entropy,avg_tree_depth,max_tree_depth,std_tree_depth,avg_dep_distance,root_children_mean,token_count_ner,entity_count,entity_density,unique_entity_types,entity_label_entropy,avg_entity_length_tokens,ent_count_PERSON,ent_count_ORG,ent_count_GPE,ent_count_LOC,ent_count_NORP,ent_count_FAC,ent_count_EVENT,ent_count_WORK_OF_ART,ent_count_LAW,ent_count_LANGUAGE,ent_count_PRODUCT,ent_count_DATE,ent_count_TIME,ent_count_PERCENT,ent_count_MONEY,ent_count_QUANTITY,ent_count_ORDINAL,ent_count_CARDINAL,vader_compound,vader_pos,vader_neu,vader_neg,tb_polarity,tb_subjectivity,disc_token_count,total_connectives,connective_density_per_100w,unique_connectives,connective_entropy,count_temporal,count_comparison,count_cause,count_expansion,density_temporal,density_comparison,density_cause,density_expansion,enumeration_count,avg_connective_position,unique_entities,avg_entities_per_sent,entity_continuity,entity_introductions,role_transitions,grid_density,cosine_sim,q_norm,r_norm,norm_gap,avg_logprob,ppl,proportion_top10,proportion_top100,proportion_top1000,proportion_over1000,mean_rank,median_rank,rank_entropy,n_pred_tokens,nli_mean_entail,nli_mean_contra,nli_max_contra,nli_frac_entail_gt50,nli_frac_contra_gt50,nli_pairs_evaluated,nli_r_to_q_entail,nli_q_to_r_entail,nli_r_to_q_contra,nli_q_to_r_contra,n_sentences_resp,ll_orig,mean_ll_pert,std_ll_pert,curvature_z,n_perturb_used
0,0,4.0,3.94,27.0,484.0,378.0,10.0,354.0,2046.0,641.0,64.0,35.4,1.8107,5.7797,0.1808,17.7159,19.5827,21.3916,17.5813,23.4922,17.3482,378.0,213.0,0.5635,10.9555,7.7467,0.9034,0.0163,70.4068,103.9282,0.7136,0.1455,5.5185,484.0,27.0,0.2727,0.2087,0.0289,0.0806,0.0103,0.062,0.0331,0.0372,0.031,0.0434,0.0062,0.0186,0.0661,0.0,0.0062,0.0,0.095,3.7412,0.0289,1.6296,3.211,3.9259,8.0,2.2431,2.4073,3.7778,484.0,45.0,0.093,8.0,2.3343,1.8667,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,20.0,0.9939,0.181,0.77,0.049,0.1064,0.4278,378.0,15.0,3.9683,3.0,0.6998,1.0,0.0,1.0,13.0,0.2646,0.0,0.2646,3.4392,0.0,0.6384,128.0,9.1481,0.2656,0.7344,0.1681,0.0715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,4.0,3.99,19.0,1146.0,736.0,13.0,652.0,3534.0,1020.0,84.0,50.1538,1.5644,5.4202,0.1288,23.5792,22.4301,25.2149,17.6506,29.1763,15.4809,736.0,198.0,0.269,7.2984,5.1607,0.8011,0.0301,113.8277,99.8799,0.1111,0.5808,4.9864,1146.0,19.0,0.2749,0.1763,0.0026,0.0244,0.0009,0.055,0.0026,0.0236,0.0105,0.0393,0.0009,0.0017,0.0785,0.0,0.0035,0.0017,0.3037,6.7143,0.0026,1.5263,2.6276,5.1579,9.0,2.4976,4.1759,3.8421,1146.0,154.0,0.1344,6.0,1.8385,1.526,19.0,30.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,87.0,0.9983,0.144,0.838,0.018,0.0999,0.4471,736.0,14.0,1.9022,1.0,-0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.9022,0.0,0.4698,125.0,27.3684,0.944,0.056,0.1139,0.2189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,4.0,4.1,21.0,545.0,367.0,16.0,344.0,1945.0,596.0,63.0,21.5,1.7326,5.6541,0.1831,38.4381,13.2392,15.9256,14.465,15.9507,16.0692,367.0,226.0,0.6158,11.7971,8.3418,0.9179,0.0139,49.5957,182.2457,0.6991,0.1681,5.4169,545.0,21.0,0.2055,0.2972,0.0128,0.055,0.0018,0.0385,0.0037,0.0147,0.011,0.0532,0.0055,0.0018,0.0807,0.0,0.0165,0.0,0.2018,5.9455,0.0128,1.4762,2.8288,4.1905,9.0,1.8418,3.2965,4.2857,545.0,81.0,0.1486,9.0,2.5254,2.0741,21.0,19.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,20.0,0.9589,0.089,0.885,0.026,0.0011,0.4452,367.0,12.0,3.2698,3.0,0.8113,0.0,3.0,0.0,9.0,0.0,0.8174,0.0,2.4523,0.0,0.4094,157.0,13.381,0.3057,0.6943,0.2097,0.0852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,5.0,4.79,59.0,1693.0,1197.0,34.0,1101.0,5930.0,1751.0,135.0,32.3824,1.5904,5.386,0.1226,39.4214,15.8055,17.8576,14.5125,20.1293,14.9557,1197.0,392.0,0.3275,11.3302,8.0117,0.8425,0.0222,55.5133,124.2414,0.4796,0.1862,5.0936,1693.0,59.0,0.1648,0.3148,0.0171,0.0673,0.0077,0.0473,0.0053,0.0207,0.0171,0.0372,0.0024,0.0059,0.1158,0.0,0.013,0.0018,0.1618,5.5464,0.0171,2.1525,2.9586,4.1864,8.0,2.004,2.946,4.1356,1693.0,320.0,0.189,9.0,2.1534,1.7438,110.0,50.0,1.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,4.0,20.0,6.0,0.0,0.0,0.0,0.0,117.0,0.9995,0.162,0.801,0.037,0.1308,0.4344,1197.0,20.0,1.6708,5.0,1.1918,2.0,2.0,1.0,15.0,0.1671,0.1671,0.0835,1.2531,0.0,0.5547,244.0,14.2542,0.5533,0.4467,0.2044,0.0584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,5.0,4.74,27.0,833.0,562.0,12.0,518.0,2848.0,841.0,68.0,43.1667,1.6236,5.4981,0.1313,25.6683,20.4029,22.5176,16.7282,26.0492,15.8429,562.0,255.0,0.4537,10.7565,7.606,0.8752,0.0197,69.0214,134.2673,0.5922,0.1922,5.2011,833.0,27.0,0.3013,0.1909,0.0072,0.0612,0.0012,0.0372,0.0036,0.0204,0.0096,0.0324,0.0012,0.006,0.09,0.0,0.012,0.0,0.2257,7.6154,0.0072,1.9259,2.7624,5.2963,9.0,1.5591,3.2256,3.4074,833.0,137.0,0.1645,10.0,2.5962,1.8467,39.0,26.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,20.0,15.0,0.0,0.0,0.0,0.0,28.0,0.9976,0.165,0.789,0.046,0.0415,0.4369,562.0,13.0,2.3132,5.0,1.1982,2.0,2.0,0.0,9.0,0.3559,0.3559,0.0,1.6014,0.0,0.4764,158.0,15.4074,0.4494,0.5506,0.2016,0.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,4.0,3.8,25.0,632.0,418.0,17.0,370.0,2137.0,641.0,65.0,21.7647,1.7324,5.7757,0.1757,38.18,13.3409,15.7329,14.2997,16.6558,16.801,418.0,196.0,0.4689,9.5867,6.7788,0.8745,0.0208,81.1566,98.4226,0.6122,0.1786,5.3517,632.0,25.0,0.3149,0.125,0.0142,0.0506,0.0063,0.0411,0.0047,0.038,0.0079,0.0285,0.0016,0.0032,0.0997,0.0,0.0206,0.0,0.2437,5.381,0.0142,1.44,2.8423,5.0,12.0,2.5298,3.1358,3.96,632.0,79.0,0.125,7.0,2.4338,1.9494,11.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,24.0,0.0,0.0,0.0,0.0,20.0,0.9934,0.146,0.814,0.04,0.1247,0.3741,418.0,10.0,2.3923,2.0,0.469,1.0,0.0,0.0,9.0,0.2392,0.0,0.0,2.1531,0.0,0.5251,114.0,11.48,0.4561,0.5439,0.1676,0.1007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,4.0,4.11,12.0,665.0,483.0,6.0,450.0,2400.0,734.0,60.0,75.0,1.6311,5.3333,0.1333,-7.282,32.9071,35.3333,21.1944,41.19,15.1653,483.0,259.0,0.5362,11.7849,8.3332,0.8992,0.0163,50.7525,190.7787,0.6216,0.1931,5.0642,665.0,12.0,0.2451,0.2932,0.018,0.0692,0.0015,0.0316,0.003,0.0271,0.0135,0.0256,0.0045,0.009,0.0556,0.0,0.0015,0.0,0.2015,6.4697,0.018,3.9167,2.7523,6.9167,17.0,3.4751,3.9025,4.8333,665.0,61.0,0.0917,8.0,2.4445,2.4426,11.0,14.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,2.0,0.0,0.0,0.0,0.0,14.0,0.9931,0.148,0.803,0.049,0.0522,0.3694,483.0,6.0,1.2422,3.0,1.4591,0.0,2.0,1.0,3.0,0.0,0.4141,0.207,0.6211,0.0,0.2072,186.0,30.8333,0.3656,0.6344,0.2391,0.1658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,5.0,4.74,52.0,1146.0,871.0,51.0,775.0,4293.0,1383.0,160.0,15.1961,1.7845,5.5394,0.2065,40.4409,11.3938,14.3365,13.2477,12.2584,14.8235,871.0,346.0,0.3972,11.7238,8.29,0.8636,0.0201,71.9708,92.2929,0.6098,0.1647,5.1056,1146.0,52.0,0.2522,0.13,0.0157,0.0908,0.0061,0.062,0.0113,0.0567,0.0297,0.0445,0.0061,0.0105,0.062,0.0009,0.0017,0.0,0.2199,3.2268,0.0157,2.1346,3.112,5.0192,9.0,1.8552,3.1517,4.4423,1146.0,113.0,0.0986,8.0,2.4147,2.1858,17.0,23.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,34.0,0.0,0.0,0.0,0.0,25.0,0.9987,0.16,0.819,0.021,0.097,0.4507,871.0,29.0,3.3295,4.0,0.8996,1.0,1.0,3.0,24.0,0.1148,0.1148,0.3444,2.7555,0.0,0.4343,177.0,8.7692,0.4124,0.5876,0.3441,0.0495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,3.0,3.34,29.0,486.0,396.0,33.0,385.0,2182.0,724.0,92.0,11.6667,1.8805,5.6675,0.239,35.9014,11.1501,14.2251,12.6676,11.0974,14.9879,396.0,257.0,0.649,12.9147,9.1321,0.9277,0.0121,54.3312,223.9517,0.7626,0.1362,5.5581,486.0,29.0,0.2716,0.0597,0.0288,0.1193,0.0329,0.0782,0.0247,0.0679,0.0309,0.0535,0.0123,0.0144,0.0267,0.0,0.0062,0.0247,0.1481,2.2991,0.0288,2.5517,3.3841,4.8276,10.0,1.931,2.7206,4.3103,486.0,23.0,0.0473,6.0,2.3551,2.2609,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,8.0,0.9956,0.199,0.754,0.047,0.0578,0.4453,396.0,22.0,5.5556,4.0,1.2433,1.0,2.0,3.0,16.0,0.2525,0.5051,0.7576,4.0404,0.0,0.526,121.0,6.0345,0.2645,0.7355,0.4444,0.0499,0.7432,1.0,1.0,0.0,-3.5571,35.061,0.0133,0.2348,0.7765,0.2235,1096.3201,333.0,4.8586,528.0,0.0862,0.1407,0.6362,0.0,0.0714,14.0,0.3894,0.0226,0.006,0.0083,8.0,-3.578,-3.833,0.1111,2.2938,6.0
9,0,4.0,4.03,13.0,685.0,469.0,8.0,398.0,2169.0,633.0,45.0,49.75,1.5905,5.4497,0.1131,21.7865,22.5798,24.4226,16.6781,29.1133,15.6495,469.0,187.0,0.3987,8.6349,6.1058,0.8505,0.0243,111.2925,62.6873,0.5455,0.1818,4.9339,685.0,13.0,0.2131,0.2117,0.0073,0.0847,0.0058,0.0365,0.0015,0.0336,0.0102,0.0453,0.0015,0.0029,0.146,0.0,0.0102,0.0044,0.1854,5.137,0.0073,4.7692,2.9646,6.4615,12.0,2.5605,3.4208,3.9231,685.0,138.0,0.2015,8.0,2.0714,1.5507,40.0,32.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,50.0,0.9916,0.111,0.871,0.018,0.0074,0.4808,469.0,7.0,1.4925,2.0,0.5917,0.0,1.0,0.0,6.0,0.0,0.2132,0.0,1.2793,0.0,0.3011,117.0,22.7692,0.4615,0.5385,0.2961,0.1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
