n_sentences,n_tokens,sentence_length,n_sentences_r,n_words_r,n_chars_r,syllables,polysyllables,words_per_sentence,syllables_per_word,chars_per_word,polysyllable_rate,flesch_reading_ease,fk_grade_level,gunning_fog,smog_index,ari,coleman_liau,tokens,types,ttr,rttr,cttr,herdan_c,maas_a2,yules_k,mtld,hapax_ratio,dis_legomena_ratio,avg_word_len,token_count,sentence_count,pos_prop_NOUN,pos_prop_PROPN,pos_prop_PRON,pos_prop_VERB,pos_prop_AUX,pos_prop_ADJ,pos_prop_ADV,pos_prop_ADP,pos_prop_DET,pos_prop_CCONJ,pos_prop_SCONJ,pos_prop_PART,pos_prop_NUM,pos_prop_INTJ,pos_prop_SYM,pos_prop_X,pos_prop_PUNCT,content_vs_function_ratio,pronoun_ratio,verbs_per_sentence,pos_entropy,avg_tree_depth,max_tree_depth,std_tree_depth,avg_dep_distance,root_children_mean,token_count_ner,entity_count,entity_density,unique_entity_types,entity_label_entropy,avg_entity_length_tokens,ent_count_PERSON,ent_count_ORG,ent_count_GPE,ent_count_LOC,ent_count_NORP,ent_count_FAC,ent_count_EVENT,ent_count_WORK_OF_ART,ent_count_LAW,ent_count_LANGUAGE,ent_count_PRODUCT,ent_count_DATE,ent_count_TIME,ent_count_PERCENT,ent_count_MONEY,ent_count_QUANTITY,ent_count_ORDINAL,ent_count_CARDINAL,vader_compound,vader_pos,vader_neu,vader_neg,tb_polarity,tb_subjectivity,disc_token_count,total_connectives,connective_density_per_100w,unique_connectives,connective_entropy,count_temporal,count_comparison,count_cause,count_expansion,density_temporal,density_comparison,density_cause,density_expansion,enumeration_count,avg_connective_position,unique_entities,avg_entities_per_sent,entity_continuity,entity_introductions,role_transitions,grid_density,cosine_sim,q_norm,r_norm,norm_gap,avg_logprob,ppl,proportion_top10,proportion_top100,proportion_top1000,proportion_over1000,mean_rank,median_rank,rank_entropy,n_pred_tokens,nli_mean_entail,nli_mean_contra,nli_max_contra,nli_frac_entail_gt50,nli_frac_contra_gt50,nli_pairs_evaluated,nli_r_to_q_entail,nli_q_to_r_entail,nli_r_to_q_contra,nli_q_to_r_contra,n_sentences_resp,ll_orig,mean_ll_pert,std_ll_pert,curvature_z,n_perturb_used,user_id,file_id,rating
27,484,378,10,354,2046,641,64,35.4,1.8107,5.7797,0.1808,17.7159,19.5827,21.3916,17.5813,23.4922,17.3482,378,213,0.5634920634920635,10.955537847308525,7.74673510337773,0.9033509257277872,0.016284885810356545,70.40676352845665,103.92818123393317,0.7136150234741784,0.14553990610328638,5.518518518518518,484,27,0.2727272727272727,0.20867768595041322,0.028925619834710745,0.08057851239669421,0.010330578512396695,0.06198347107438017,0.03305785123966942,0.0371900826446281,0.030991735537190084,0.04338842975206612,0.006198347107438017,0.01859504132231405,0.06611570247933884,0.0,0.006198347107438017,0.0,0.09504132231404959,3.7411764705882353,0.028925619834710745,1.6296296296296295,3.2109850923464505,3.925925925925926,8.0,2.2431116932928474,2.407344328406943,3.7777777777777777,484,45,0.09297520661157024,8,2.334296510714789,1.8666666666666667,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,20.0,0.9939,0.181,0.77,0.049,0.10642466329966332,0.42782407407407397,378,15,3.968253968253968,3,0.6998428398819105,1,0,1,13,0.26455026455026454,0.0,0.26455026455026454,3.439153439153439,0,0.6384,128,9.148148148148149,0.265625,0.734375,0.16806722689075632,0.07146990740740741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0
19,1146,736,13,652,3534,1020,84,50.1538,1.5644,5.4202,0.1288,23.5792,22.4301,25.2149,17.6506,29.1763,15.4809,736,198,0.26902173913043476,7.298376829667408,5.1607317479126005,0.8011032694786341,0.030130252535366112,113.82768194706995,99.87988550804644,0.1111111111111111,0.5808080808080808,4.986413043478261,1146,19,0.27486910994764396,0.1762652705061082,0.002617801047120419,0.02443280977312391,0.0008726003490401396,0.0549738219895288,0.002617801047120419,0.02356020942408377,0.010471204188481676,0.03926701570680628,0.0008726003490401396,0.0017452006980802793,0.07853403141361257,0.0,0.0034904013961605585,0.0017452006980802793,0.3036649214659686,6.714285714285714,0.002617801047120419,1.5263157894736843,2.6276272707606796,5.157894736842105,9.0,2.4976443195167732,4.175857386885926,3.8421052631578947,1146,154,0.1343804537521815,6,1.8384540746677391,1.525974025974026,19.0,30.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,87.0,0.9983,0.144,0.838,0.018,0.09989361702127664,0.44709219858156035,736,14,1.902173913043478,1,-1.4428232973175175e-12,0,0,0,14,0.0,0.0,0.0,1.902173913043478,0,0.4698,125,27.36842105263158,0.944,0.056,0.11392405063291139,0.21894736842105264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,4.0
21,545,367,16,344,1945,596,63,21.5,1.7326,5.6541,0.1831,38.4381,13.2392,15.9256,14.465,15.9507,16.0692,367,226,0.6158038147138964,11.7971039719645,8.341812216938854,0.9179005687954578,0.013902523387553056,49.59573536071988,182.245709880252,0.6991150442477876,0.168141592920354,5.416893732970027,545,21,0.20550458715596331,0.29724770642201837,0.012844036697247707,0.05504587155963303,0.001834862385321101,0.03853211009174312,0.003669724770642202,0.014678899082568808,0.011009174311926606,0.05321100917431193,0.005504587155963303,0.001834862385321101,0.08073394495412844,0.0,0.01651376146788991,0.0,0.2018348623853211,5.945454545454545,0.012844036697247707,1.4761904761904763,2.8287980783129276,4.190476190476191,9.0,1.841817105315592,3.2964987546889972,4.285714285714286,545,81,0.14862385321100918,9,2.525385071303699,2.074074074074074,21.0,19.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,20.0,0.9589,0.089,0.885,0.026,0.0011408730158730144,0.4452380952380952,367,12,3.269754768392371,3,0.8112781244562475,0,3,0,9,0.0,0.8174386920980927,0.0,2.452316076294278,0,0.4094,157,13.380952380952381,0.3057324840764331,0.6942675159235668,0.20967741935483872,0.08522899605702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,4.0
59,1693,1197,34,1101,5930,1751,135,32.3824,1.5904,5.386,0.1226,39.4214,15.8055,17.8576,14.5125,20.1293,14.9557,1197,392,0.32748538011695905,11.330236935115169,8.01168736927022,0.8424973182441665,0.02222236950175518,55.5133308068277,124.24138633354832,0.47959183673469385,0.18622448979591838,5.093567251461988,1693,59,0.16479621972829298,0.31482575310100414,0.017129356172474897,0.06733608978145304,0.00767867690490254,0.04725339633786178,0.005316007088009451,0.02067336089781453,0.017129356172474897,0.03721204961606615,0.002362669816893089,0.005906674542232723,0.11577082102776137,0.0,0.01299468399291199,0.0017720023626698169,0.16184288245717662,5.546448087431694,0.017129356172474897,2.152542372881356,2.9585852729255064,4.186440677966102,8.0,2.004017797133214,2.946026845324783,4.135593220338983,1693,320,0.18901358535144713,9,2.1534175102813116,1.74375,110.0,50.0,1.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,4.0,20.0,6.0,0.0,0.0,0.0,0.0,117.0,0.9995,0.162,0.801,0.037,0.1307968833600856,0.434390048154093,1197,20,1.670843776106934,5,1.1917601481752027,2,2,1,15,0.1670843776106934,0.1670843776106934,0.0835421888053467,1.2531328320802004,0,0.5547,244,14.254237288135593,0.5532786885245902,0.44672131147540983,0.20435510887772193,0.058419005279244235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,5.0
27,833,562,12,518,2848,841,68,43.1667,1.6236,5.4981,0.1313,25.6683,20.4029,22.5176,16.7282,26.0492,15.8429,562,255,0.45373665480427045,10.756525785544744,7.606012324966643,0.8751894379137655,0.019712631385921515,69.02141563556692,134.267295892112,0.592156862745098,0.19215686274509805,5.201067615658363,833,27,0.3013205282112845,0.1908763505402161,0.007202881152460984,0.061224489795918366,0.0012004801920768306,0.03721488595438175,0.003601440576230492,0.02040816326530612,0.009603841536614645,0.03241296518607443,0.0012004801920768306,0.006002400960384154,0.09003601440576231,0.0,0.012004801920768308,0.0,0.22569027611044418,7.615384615384615,0.007202881152460984,1.9259259259259258,2.7623574144117913,5.296296296296297,9.0,1.559078902211051,3.2256472698489707,3.4074074074074074,833,137,0.1644657863145258,10,2.596244744559622,1.8467153284671534,39.0,26.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,20.0,15.0,0.0,0.0,0.0,0.0,28.0,0.9976,0.165,0.789,0.046,0.04148148148148146,0.43691358024691357,562,13,2.313167259786477,5,1.198183947907471,2,2,0,9,0.35587188612099646,0.35587188612099646,0.0,1.6014234875444842,0,0.4764,158,15.407407407407407,0.44936708860759494,0.5506329113924051,0.20155038759689922,0.09751523675574308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,5.0
25,632,418,17,370,2137,641,65,21.7647,1.7324,5.7757,0.1757,38.18,13.3409,15.7329,14.2997,16.6558,16.801,418,196,0.4688995215311005,9.586673365672562,6.778801745887531,0.8745142733415023,0.020791336707998886,81.15656692841281,98.42255005012312,0.6122448979591837,0.17857142857142858,5.351674641148326,632,25,0.314873417721519,0.125,0.014240506329113924,0.05063291139240506,0.006329113924050633,0.04113924050632911,0.004746835443037975,0.0379746835443038,0.007911392405063292,0.028481012658227847,0.0015822784810126582,0.0031645569620253164,0.09968354430379747,0.0,0.020569620253164556,0.0,0.24367088607594936,5.380952380952381,0.014240506329113924,1.44,2.842310031253501,5.0,12.0,2.5298221281347035,3.135810693217262,3.96,632,79,0.125,7,2.433845822597688,1.9493670886075949,11.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,24.0,0.0,0.0,0.0,0.0,20.0,0.9934,0.146,0.814,0.04,0.12466666666666668,0.3740833333333334,418,10,2.3923444976076556,2,0.4689955935863958,1,0,0,9,0.23923444976076555,0.0,0.0,2.15311004784689,0,0.5251,114,11.48,0.45614035087719296,0.543859649122807,0.1676300578034682,0.10070175438596492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,4.0
12,665,483,6,450,2400,734,60,75.0,1.6311,5.3333,0.1333,-7.282,32.9071,35.3333,21.1944,41.19,15.1653,483,259,0.5362318840579711,11.784908059506213,8.33318840453684,0.8991606937523846,0.0163169958754102,50.75250011787954,190.77874485908845,0.6216216216216216,0.19305019305019305,5.064182194616977,665,12,0.24511278195488723,0.2932330827067669,0.01804511278195489,0.06917293233082707,0.0015037593984962407,0.031578947368421054,0.0030075187969924814,0.02706766917293233,0.013533834586466165,0.02556390977443609,0.004511278195488722,0.009022556390977444,0.055639097744360905,0.0,0.0015037593984962407,0.0,0.20150375939849624,6.46969696969697,0.01804511278195489,3.9166666666666665,2.7523091798665034,6.916666666666667,17.0,3.4751099103321734,3.9025158305207674,4.833333333333333,665,61,0.09172932330827067,8,2.444512983082112,2.442622950819672,11.0,14.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,2.0,0.0,0.0,0.0,0.0,14.0,0.9931,0.148,0.803,0.049,0.05215686274509805,0.36941176470588244,483,6,1.2422360248447206,3,1.4591479170229167,0,2,1,3,0.0,0.4140786749482402,0.2070393374741201,0.6211180124223603,0,0.2072,186,30.833333333333332,0.3655913978494624,0.6344086021505376,0.2391304347826087,0.16577060931899643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,4.0
52,1146,871,51,775,4293,1383,160,15.1961,1.7845,5.5394,0.2065,40.4409,11.3938,14.3365,13.2477,12.2584,14.8235,871,346,0.39724454649827784,11.72376275299036,8.28995214366175,0.8636259930803586,0.02014493637712988,71.97080041811608,92.2928529556221,0.6098265895953757,0.16473988439306358,5.105625717566016,1146,52,0.25218150087260033,0.1300174520069808,0.015706806282722512,0.09075043630017451,0.006108202443280977,0.06195462478184991,0.011343804537521814,0.056719022687609075,0.029668411867364748,0.04450261780104712,0.006108202443280977,0.010471204188481676,0.06195462478184991,0.0008726003490401396,0.0017452006980802793,0.0,0.2198952879581152,3.2268041237113403,0.015706806282722512,2.1346153846153846,3.1119530945810823,5.019230769230769,9.0,1.8552460402389988,3.1516759848824973,4.4423076923076925,1146,113,0.09860383944153578,8,2.4147080280114306,2.185840707964602,17.0,23.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,34.0,0.0,0.0,0.0,0.0,25.0,0.9987,0.16,0.819,0.021,0.09700056116722786,0.4506705948372613,871,29,3.3295063145809416,4,0.8995676323814146,1,1,3,24,0.1148105625717566,0.1148105625717566,0.34443168771526983,2.7554535017221586,0,0.4343,177,8.76923076923077,0.4124293785310734,0.5875706214689266,0.34408602150537637,0.04954367666232073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,5.0
29,486,396,33,385,2182,724,92,11.6667,1.8805,5.6675,0.239,35.9014,11.1501,14.2251,12.6676,11.0974,14.9879,396,257,0.648989898989899,12.914735926080875,9.132097350565314,0.9277197480245083,0.012084140877502,54.331190694827065,223.9517234988881,0.7626459143968871,0.13618677042801555,5.558080808080808,486,29,0.2716049382716049,0.059670781893004114,0.02880658436213992,0.11934156378600823,0.03292181069958848,0.07818930041152264,0.024691358024691357,0.06790123456790123,0.030864197530864196,0.053497942386831275,0.012345679012345678,0.01440329218106996,0.026748971193415638,0.0,0.006172839506172839,0.024691358024691357,0.14814814814814814,2.299145299145299,0.02880658436213992,2.5517241379310347,3.3840636440897254,4.827586206896552,10.0,1.9310344827586206,2.720554435266564,4.310344827586207,486,23,0.047325102880658436,6,2.355114000355869,2.260869565217391,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,8.0,0.9956,0.199,0.754,0.047,0.05783880471380473,0.44526515151515156,396,22,5.555555555555556,4,1.243300368533187,1,2,3,16,0.25252525252525254,0.5050505050505051,0.7575757575757576,4.040404040404041,0,0.526,121,6.0344827586206895,0.2644628099173554,0.7355371900826446,0.4444444444444444,0.04987175833570818,0.7432172298431396,0.9999999403953552,0.9999999403953552,0.0,-3.557088851928711,35.06098072730953,0.013257575757575758,0.23484848484848486,0.7765151515151515,0.22348484848484848,1096.3200757575758,333.0,4.858602979137658,528.0,0.08616065233945847,0.14069654047489166,0.636183500289917,0.0,0.07142857142857142,14.0,0.38936153054237366,0.02263001911342144,0.006024198606610298,0.008303657174110413,8.0,-3.578047037124634,-3.8329888582229614,0.11114300900181151,2.2938176719328847,6,8,0,3.0
13,685,469,8,398,2169,633,45,49.75,1.5905,5.4497,0.1131,21.7865,22.5798,24.4226,16.6781,29.1133,15.6495,469,187,0.39872068230277186,8.63485770529071,6.105766437991972,0.8505034081685675,0.024306006656514622,111.2924563899964,62.6873485839167,0.5454545454545454,0.18181818181818182,4.933901918976546,685,13,0.21313868613138687,0.2116788321167883,0.0072992700729927005,0.08467153284671533,0.00583941605839416,0.0364963503649635,0.00145985401459854,0.033576642335766425,0.010218978102189781,0.04525547445255475,0.00145985401459854,0.00291970802919708,0.145985401459854,0.0,0.010218978102189781,0.004379562043795621,0.1854014598540146,5.136986301369863,0.0072992700729927005,4.769230769230769,2.9646337722705516,6.461538461538462,12.0,2.5605103041681905,3.4208086872344556,3.923076923076923,685,138,0.20145985401459854,8,2.0713963329315477,1.5507246376811594,40.0,32.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,50.0,0.9916,0.111,0.871,0.018,0.007424242424242423,0.48083333333333333,469,7,1.4925373134328357,2,0.591672778579442,0,1,0,6,0.0,0.21321961620469082,0.0,1.2793176972281448,0,0.3011,117,22.76923076923077,0.46153846153846156,0.5384615384615384,0.29608938547486036,0.1946088099934254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,4.0
